statement_id	record_unit_id	page	loci	lesson_level	source_instruction_de	whole_variant_count	whole_variant_plan_de	whole_variant_cues_de	target_surface_sequence	target_architecture_sequence	readback_de
H1-S001	H1	f10r	f10r.2	L3_CODEBOOK	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	2	E001:PFLANZENTEIL->dchey [WURZEL] || E005:GEFAESS->os [MISCHGEFAESS]	Die Pflanzenzeichnung liefert WURZEL; daher dchey. || Der frische Wurzelposten erhaelt danach Wasser; daher Mischgefaess os.	dchey cthoor char chty os chair otytchol oky daiin etyd	W P P P W P p P P P	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.
H1-S002	H1	f10r	f10r.5	L1_PRODUCTIVE	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	qokchy qotchol chol cthy	P P P P	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.
H2-S001	H2	f10r	f10r.6	L1_PRODUCTIVE	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	P P P P P P P P P	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.
H2-S002	H2	f10r	f10r.8	L1_PRODUCTIVE	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	qotchor chor otol chol cholor chol daiin dar	P P P P P P P P	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß
H2-S003	H2	f10r	f10r.9	L3_CODEBOOK	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	1	E032:GEFAESS->oykchor [ZUBEREITUNGSGEFAESS]	Ein fortgefuehrter Folgeansatz geht in weitere Bearbeitung; daher Zubereitungsgefaess oykchor.	oykchor shor chor chy kaiiin dy chodaiin	W P P P P P P	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.
H3-S001	H3	f11r	f11r.1	L3_CODEBOOK	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	4	E041:TRENNEN->cfhy [GROB_TRENNEN_ODER_AUSWRINGEN] || E043:TRENNEN->cphy [FEIN_TRENNEN_ODER_NACHSEIHEN] || E044:KLARLAUF->shey [KLARLAUF] || E045:KUEHLEN->tchody [FERTIGPRODUKT_KALTSTELLEN]	Erste grobe Trennung vor der Standzeit; daher cfhy. || Zweite feine Trennung nach der Standzeit und vor Klarlauf; daher cphy. || Klarlaufkopf; auf H3 wird die lokale Form shey kopiert. || Der eben gewonnene Klarlauf ist Fertigprodukt; daher tchody.	tshol schoal cfhy shfydaiin cphy shey tchody	p P W P W W W	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
H3-S002	H3	f11r	f11r.1	L1_PRODUCTIVE	Lege einen Zutatenteil zurueck.	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	shoyty	P	Lege einen Zutatenteil zurueck.
H3-S003	H3	f11r	f11r.4	L3_CODEBOOK	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.	1	E047:VORIGES->dchol [VORIGEN_POSTEN_AUFNEHMEN]	Voriges-Kopf; auf H3 wird die lokale Form dchol kopiert.	dchol chy kchy dy daiin	W P P P P	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.
H3-S004	H3	f11r	f11r.7	L1_PRODUCTIVE	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	qotchy okchol cthy dy	P P P P	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit
H4-S001	H4	f55v	f55v.5	L3_CODEBOOK	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	1	E060:KUEHLEN->ody [PORTION_ABKUEHLEN]	Eine abgemessene Portion wird abgekuehlt; daher ody.	qokaiin chaiin ykain ykan ody	P P P P W	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab
H4-S002	H4	f55v	f55v.5	L2_BOUND_CARRIERS	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	daiin chedy talam	P P p	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.
H4-S003	H4	f55v	f55v.11	L1_PRODUCTIVE	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	ykaiin cheoar cheeky oldy	P P P P	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung
H4-S004	H4	f55v	f55v.11	L1_PRODUCTIVE	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	aiin okal oltchy or y orain	P P P P P P	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.
H5-S001	H5	f56r	f56r.5|f56r.7	L1_PRODUCTIVE	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	0	KEIN_CODEBUCHGRIFF	Nur P/p-Bauteile verwenden.	chochor cho chodaly daiin sho kchol otchor choky dal	P P P P P P P P P	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.
H5-S002	H5	f56r	f56r.8	L3_CODEBOOK	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	2	E083:VORIGES->schol [VORIGEN_POSTEN_AUFNEHMEN] || E086:AUFTRAGEN->cheeckhody [AUFTRAGEN]	Voriges-Kopf; auf H5 wird die lokale Form schol kopiert. || Bereiteten Posten auftragen und Zelle schliessen; daher cheeckhody.	schol choy choky cheeckhody	W P P W	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.
