page	locus	reader	world	source_text	base_json	extended_json	confidence
f77r	f77r.25	zl3b_clean	Q_JOINT	otedy qokar shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""[chedy]"", ""[daror]""]"	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	zl3b_clean	R_JOINT	otedy qokar shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""[chedy]"", ""[daror]""]"	"[""Quelle?"", ""[qokar]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	it2a_clean	Q_JOINT	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""[chedy]"", ""[daror]""]"	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	it2a_clean	R_JOINT	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""[chedy]"", ""[daror]""]"	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	rf1b_clean	Q_JOINT	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""[chedy]"", ""[daror]""]"	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.25	rf1b_clean	R_JOINT	otedy qokor shedy qokal shedar dal chedy daror	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""[chedy]"", ""[daror]""]"	"[""Quelle?"", ""[qokor]"", ""[shedy]"", ""[qokal]"", ""[shedar]"", ""[dal]"", ""wird?"", ""[daror]""]"	C0_UNCONFIRMED
f77r	f77r.26	zl3b_clean	Q_JOINT	qoteedy qokeedy qokaiin chcthy lchedy qokaly	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	C0_UNCONFIRMED
f77r	f77r.26	zl3b_clean	R_JOINT	qoteedy qokeedy qokaiin chcthy lchedy qokaly	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	C0_UNCONFIRMED
f77r	f77r.26	it2a_clean	Q_JOINT	qoteedy qokeedy qokaiin chcthy lchedy qokaly	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	C0_UNCONFIRMED
f77r	f77r.26	it2a_clean	R_JOINT	qoteedy qokeedy qokaiin chcthy lchedy qokaly	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	"[""[qoteedy]"", ""[qokeedy]"", ""[qokaiin]"", ""[chcthy]"", ""[lchedy]"", ""[qokaly]""]"	C0_UNCONFIRMED
