page	locus	kind	reader	whole	ordinals_json
f1r	f1r.11	P	it2a_clean	ol	[3]
f1r	f1r.13	P	rf1b_clean	ol	[8]
f4r	f4r.1	P	zl3b_clean	ol	[4]
f4r	f4r.1	P	it2a_clean	ol	[4]
f4r	f4r.1	P	rf1b_clean	ol	[4]
f13r	f13r.1	P	rf1b_clean	ol	[3]
f18r	f18r.8	P	rf1b_clean	ol	[3]
f18r	f18r.10	P	zl3b_clean	ol	[4]
f18r	f18r.10	P	it2a_clean	ol	[4]
f18r	f18r.10	P	rf1b_clean	ol	[4]
f20v	f20v.3	P	rf1b_clean	ol	[3]
f20v	f20v.11	P	zl3b_clean	ol	[3]
f21r	f21r.3	P	it2a_clean	ol	[3]
f21r	f21r.6	P	zl3b_clean	ol	[10]
f31r	f31r.4	P	zl3b_clean	chedy	[9]
f31r	f31r.4	P	rf1b_clean	chedy	[9]
f31r	f31r.6	P	it2a_clean	chedy	[5]
f31r	f31r.7	P	zl3b_clean	chedy	[7]
f31r	f31r.7	P	it2a_clean	chedy	[7]
f31r	f31r.7	P	rf1b_clean	chedy	[9]
f31r	f31r.14	P	zl3b_clean	chedy	[3]
f31r	f31r.14	P	it2a_clean	chedy	[3]
f31r	f31r.14	P	rf1b_clean	chedy	[4]
f32v	f32v.11	P	zl3b_clean	ol	[1]
f32v	f32v.11	P	it2a_clean	ol	[1]
f32v	f32v.11	P	rf1b_clean	ol	[1]
f55v	f55v.3	P	zl3b_clean	chedy	[6]
f55v	f55v.3	P	zl3b_clean	ol	[9]
f55v	f55v.3	P	it2a_clean	chedy	[6]
f55v	f55v.3	P	it2a_clean	ol	[9]
f55v	f55v.3	P	rf1b_clean	ol	[10]
f55v	f55v.5	P	zl3b_clean	chedy	[7]
f55v	f55v.5	P	it2a_clean	chedy	[7]
f55v	f55v.8	P	zl3b_clean	chedy	[2]
f55v	f55v.10	P	zl3b_clean	ol	[2, 12]
f55v	f55v.10	P	it2a_clean	ol	[2, 11]
f55v	f55v.10	P	rf1b_clean	ol	[2, 11]
f55v	f55v.11	P	rf1b_clean	ol	[4]
f66r	f66r.52	P	zl3b_clean	chedy	[9]
f66r	f66r.52	P	it2a_clean	chedy	[9]
f66r	f66r.53	P	zl3b_clean	chedy	[4]
f66r	f66r.53	P	it2a_clean	chedy	[4]
f66r	f66r.53	P	rf1b_clean	chedy	[4]
f66r	f66r.61	P	zl3b_clean	chedy	[8]
f66r	f66r.61	P	zl3b_clean	ol	[10]
f66r	f66r.61	P	it2a_clean	chedy	[8]
f66r	f66r.61	P	it2a_clean	ol	[10]
f66r	f66r.61	P	rf1b_clean	chedy	[7]
f66r	f66r.61	P	rf1b_clean	ol	[9]
f66r	f66r.62	P	zl3b_clean	ol	[1]
f66r	f66r.62	P	it2a_clean	ol	[1]
f66r	f66r.62	P	rf1b_clean	ol	[1]
f66r	f66r.63	P	zl3b_clean	chedy	[6]
f66r	f66r.63	P	it2a_clean	chedy	[6]
f66r	f66r.63	P	rf1b_clean	chedy	[7]
f66r	f66r.65	P	it2a_clean	chedy	[4]
f66r	f66r.68	P	zl3b_clean	ol	[2]
f66r	f66r.68	P	it2a_clean	ol	[2]
f66r	f66r.68	P	rf1b_clean	ol	[2]
f66r	f66r.69	P	zl3b_clean	ol	[4]
f66r	f66r.69	P	it2a_clean	ol	[4]
f66r	f66r.69	P	rf1b_clean	ol	[4]
f66r	f66r.72	P	zl3b_clean	ol	[5]
f66r	f66r.72	P	it2a_clean	ol	[5]
f66r	f66r.75	P	zl3b_clean	ol	[5, 12]
f66r	f66r.75	P	it2a_clean	ol	[5, 12]
f66r	f66r.75	P	rf1b_clean	ol	[5]
f67r2	f67r2.73	P	it2a_clean	ol	[9]
f69v	f69v.2	C	zl3b_clean	ol	[29]
f70v2	f70v2.1	C	it2a_clean	ol	[29, 37]
f70v2	f70v2.21	C	zl3b_clean	chedy	[15]
f70v2	f70v2.21	C	it2a_clean	chedy	[15]
f72r1	f72r1.1	C	rf1b_clean	ol	[26]
f72r2	f72r2.22	C	zl3b_clean	ol	[5, 7]
f72r2	f72r2.22	C	it2a_clean	ol	[5]
f72r2	f72r2.22	C	rf1b_clean	ol	[6, 8]
f72r3	f72r3.26	C	zl3b_clean	chedy	[20, 21]
f72r3	f72r3.26	C	it2a_clean	chedy	[20, 21]
f75r	f75r.1	P	zl3b_clean	chedy	[5]
f75r	f75r.5	P	zl3b_clean	ol	[7]
f75r	f75r.5	P	it2a_clean	ol	[7, 8]
f75r	f75r.5	P	rf1b_clean	ol	[6, 7]
f75r	f75r.7	P	zl3b_clean	chedy	[4, 8]
f75r	f75r.7	P	it2a_clean	chedy	[4, 8]
f75r	f75r.12	P	zl3b_clean	ol	[6]
f75r	f75r.12	P	it2a_clean	ol	[6, 10]
f75r	f75r.12	P	rf1b_clean	ol	[6, 10]
f75r	f75r.14	P	it2a_clean	ol	[2]
f75r	f75r.15	P	zl3b_clean	chedy	[5]
f75r	f75r.15	P	it2a_clean	chedy	[6]
f75r	f75r.15	P	rf1b_clean	chedy	[5]
f75r	f75r.16	P	zl3b_clean	chedy	[9]
f75r	f75r.16	P	it2a_clean	chedy	[9]
f75r	f75r.16	P	rf1b_clean	chedy	[9]
f75r	f75r.21	P	zl3b_clean	ol	[6]
f75r	f75r.21	P	it2a_clean	ol	[6]
f75r	f75r.21	P	rf1b_clean	ol	[6]
f75r	f75r.22	P	zl3b_clean	chedy	[4, 8]
f75r	f75r.22	P	it2a_clean	chedy	[4, 8]
f75r	f75r.22	P	rf1b_clean	chedy	[4]
f75r	f75r.23	P	it2a_clean	chedy	[7]
f75r	f75r.23	P	rf1b_clean	chedy	[6]
f75r	f75r.24	P	zl3b_clean	ol	[7]
f75r	f75r.24	P	it2a_clean	ol	[7]
f75r	f75r.24	P	rf1b_clean	ol	[7]
f75r	f75r.26	P	zl3b_clean	ol	[2, 5]
f75r	f75r.26	P	it2a_clean	ol	[2, 5]
f75r	f75r.26	P	rf1b_clean	ol	[2, 5]
f75r	f75r.27	P	rf1b_clean	ol	[13]
f75r	f75r.28	P	it2a_clean	chedy	[13]
f75r	f75r.28	P	it2a_clean	ol	[5]
f75r	f75r.29	P	zl3b_clean	chedy	[11]
f75r	f75r.29	P	zl3b_clean	ol	[6]
f75r	f75r.29	P	it2a_clean	chedy	[11]
f75r	f75r.29	P	it2a_clean	ol	[5]
f75r	f75r.29	P	rf1b_clean	chedy	[12]
f75r	f75r.29	P	rf1b_clean	ol	[6]
f75r	f75r.30	P	zl3b_clean	chedy	[9]
f75r	f75r.30	P	it2a_clean	chedy	[8]
f75r	f75r.30	P	rf1b_clean	chedy	[9]
f75r	f75r.33	P	zl3b_clean	chedy	[6]
f75r	f75r.33	P	it2a_clean	chedy	[4]
f75r	f75r.34	P	zl3b_clean	ol	[8]
f75r	f75r.34	P	it2a_clean	ol	[7]
f75r	f75r.34	P	rf1b_clean	ol	[9]
f75r	f75r.35	P	it2a_clean	ol	[8]
f75r	f75r.46	P	zl3b_clean	chedy	[8]
f75r	f75r.46	P	it2a_clean	chedy	[8]
f76r	f76r.3	P	zl3b_clean	chedy	[12]
f76r	f76r.3	P	zl3b_clean	ol	[11]
f76r	f76r.3	P	it2a_clean	chedy	[12]
f76r	f76r.3	P	it2a_clean	ol	[11]
f76r	f76r.3	P	rf1b_clean	ol	[11]
f76r	f76r.9	P	zl3b_clean	chedy	[13]
f76r	f76r.9	P	it2a_clean	chedy	[12]
f76r	f76r.9	P	rf1b_clean	chedy	[12]
f76r	f76r.11	P	zl3b_clean	chedy	[4]
f76r	f76r.11	P	zl3b_clean	ol	[5]
f76r	f76r.11	P	it2a_clean	chedy	[4]
f76r	f76r.11	P	it2a_clean	ol	[5]
f76r	f76r.11	P	rf1b_clean	chedy	[4]
f76r	f76r.11	P	rf1b_clean	ol	[5]
f76r	f76r.12	P	zl3b_clean	ol	[6]
f76r	f76r.12	P	it2a_clean	ol	[7]
f76r	f76r.12	P	rf1b_clean	ol	[6]
f76r	f76r.13	P	zl3b_clean	chedy	[12]
f76r	f76r.13	P	it2a_clean	chedy	[11]
f76r	f76r.13	P	rf1b_clean	chedy	[11]
f76r	f76r.15	P	zl3b_clean	chedy	[13]
f76r	f76r.15	P	it2a_clean	chedy	[14]
f76r	f76r.15	P	rf1b_clean	chedy	[12]
f76r	f76r.16	P	zl3b_clean	chedy	[2]
f76r	f76r.16	P	it2a_clean	chedy	[2]
f76r	f76r.16	P	rf1b_clean	chedy	[2]
f76r	f76r.17	P	zl3b_clean	chedy	[10]
f76r	f76r.17	P	it2a_clean	chedy	[10]
f76r	f76r.17	P	rf1b_clean	chedy	[10]
f76r	f76r.19	P	zl3b_clean	chedy	[5]
f76r	f76r.19	P	it2a_clean	chedy	[5]
f76r	f76r.19	P	rf1b_clean	chedy	[5]
f76r	f76r.20	P	zl3b_clean	chedy	[3]
f76r	f76r.20	P	it2a_clean	chedy	[3]
f76r	f76r.23	P	zl3b_clean	chedy	[3, 4, 12]
f76r	f76r.23	P	it2a_clean	chedy	[3, 4, 12]
f76r	f76r.23	P	rf1b_clean	chedy	[3, 13]
f76r	f76r.24	P	zl3b_clean	chedy	[9]
f76r	f76r.24	P	it2a_clean	chedy	[9]
f76r	f76r.24	P	rf1b_clean	chedy	[8]
f76r	f76r.28	P	zl3b_clean	ol	[4]
f76r	f76r.28	P	it2a_clean	ol	[4]
f76r	f76r.28	P	rf1b_clean	ol	[5]
f76r	f76r.30	P	zl3b_clean	chedy	[4]
f76r	f76r.30	P	it2a_clean	chedy	[4]
f76r	f76r.30	P	rf1b_clean	chedy	[4]
f76r	f76r.32	P	zl3b_clean	chedy	[11, 13]
f76r	f76r.32	P	it2a_clean	chedy	[11, 13]
f76r	f76r.32	P	rf1b_clean	chedy	[11]
f76r	f76r.33	P	zl3b_clean	ol	[14]
f76r	f76r.35	P	zl3b_clean	chedy	[9]
f76r	f76r.35	P	it2a_clean	chedy	[9]
f76r	f76r.35	P	rf1b_clean	chedy	[9]
f76r	f76r.36	P	zl3b_clean	ol	[9]
f76r	f76r.36	P	rf1b_clean	ol	[8, 15]
f76r	f76r.41	P	zl3b_clean	chedy	[12]
f76r	f76r.41	P	it2a_clean	chedy	[12]
f76r	f76r.41	P	rf1b_clean	chedy	[13]
f76r	f76r.44	P	zl3b_clean	ol	[7]
f76r	f76r.46	P	zl3b_clean	chedy	[7, 9]
f76r	f76r.46	P	it2a_clean	chedy	[7, 9]
f76r	f76r.46	P	rf1b_clean	chedy	[9]
f76r	f76r.49	P	zl3b_clean	chedy	[9]
f76r	f76r.49	P	it2a_clean	chedy	[8]
f76r	f76r.49	P	rf1b_clean	chedy	[9]
f76r	f76r.51	P	zl3b_clean	chedy	[9]
f76r	f76r.51	P	it2a_clean	chedy	[9]
f76r	f76r.51	P	rf1b_clean	chedy	[9]
f76r	f76r.53	P	zl3b_clean	ol	[4]
f76r	f76r.53	P	it2a_clean	ol	[4]
f76r	f76r.53	P	rf1b_clean	ol	[4]
f76r	f76r.54	P	zl3b_clean	chedy	[3]
f76r	f76r.54	P	it2a_clean	chedy	[3]
f76r	f76r.54	P	rf1b_clean	chedy	[3]
f76r	f76r.56	P	zl3b_clean	ol	[2]
f76r	f76r.56	P	it2a_clean	ol	[2]
f76r	f76r.56	P	rf1b_clean	ol	[2]
f77r	f77r.9	P	zl3b_clean	ol	[2]
f77r	f77r.9	P	it2a_clean	ol	[3]
f77r	f77r.12	P	zl3b_clean	chedy	[5]
f77r	f77r.12	P	it2a_clean	chedy	[5]
f77r	f77r.12	P	it2a_clean	ol	[8]
f77r	f77r.13	P	zl3b_clean	chedy	[6, 10]
f77r	f77r.13	P	it2a_clean	chedy	[5, 9]
f77r	f77r.13	P	rf1b_clean	chedy	[14]
f77r	f77r.16	P	zl3b_clean	chedy	[3]
f77r	f77r.16	P	it2a_clean	chedy	[3]
f77r	f77r.21	P	zl3b_clean	chedy	[6]
f77r	f77r.21	P	it2a_clean	chedy	[6]
f77r	f77r.21	P	rf1b_clean	chedy	[6]
f77r	f77r.23	P	zl3b_clean	chedy	[3, 7]
f77r	f77r.23	P	it2a_clean	chedy	[3, 7]
f77r	f77r.23	P	rf1b_clean	chedy	[10]
f77r	f77r.25	P	zl3b_clean	chedy	[7]
f77r	f77r.25	P	it2a_clean	chedy	[7]
