page	locus	kind	reader	source_text	hits_json
f69v	f69v.2	C	zl3b_clean	yka chol ykar dal ykady iokeeor cheey choly ykeeal cheo oaram ockhy sheey aiin y daiial cheody cheal yetey chear y dy ykey ch y dy chol ykar ol y ykeeody chey dal ody airchy choky ychey chey	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 29, ""words"": [""ol""]}]"
f70v2	f70v2.1	C	it2a_clean	okcheo dar otey ykeey tchy otsheo oteotey shey sheckh opcheol dair dateey sal ody choteey choeteedy oteoteotsho yteos alain sheodaly ckho aiin cholkal chotear oteody cholaiin oteeeo al ol sheeor okey chol dy otees cho r ol ar otoaiin oteeody sos todaiin chokain otalal otcham	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 29, ""words"": [""ol""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 37, ""words"": [""ol""]}]"
f70v2	f70v2.21	C	zl3b_clean	daii amdy otar am aral otair chedaiin oteey dair shchey daiin chalaly oteody chotol chedy oteotey oteeeor ar alody daiir oteedar oteey teey dalal cheoltey oteedy sheeteey okeeol ykeeos shey ykair arar alos	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 15, ""words"": [""chedy""]}]"
f70v2	f70v2.21	C	it2a_clean	daimdy otar am ar al otard chedaiin otchy dair shchey daiin chalaly oteody chotol chedy oteatey otcheor ar alody daiir oteedar otchy tchy dal al cheoltey oteedy sheeteey s hs keeol ykeeos shey okear ar ar alos	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 15, ""words"": [""chedy""]}]"
f72r1	f72r1.1	C	rf1b_clean	oteeo cthe chlol cheol olchear al oteey chedal otee y okeo aly chol chokeol cheolky okaiir okee y sheoltey cheor aiin dal okochey sho okaley ol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal ar okeeos aiin oteey o kaiin	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 26, ""words"": [""ol""]}]"
f72r2	f72r2.22	C	zl3b_clean	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 5, ""words"": [""ol""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 7, ""words"": [""ol""]}]"
f72r2	f72r2.22	C	it2a_clean	oteey tey teodal chokaly ol cheol yaiin oteodaiin shokal otey otaiin otal y dal okaly dalchdy cseteeey okal shey qoteeody sheycthy chotal chees otoees aiin	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 5, ""words"": [""ol""]}]"
f72r2	f72r2.22	C	rf1b_clean	oteey tey teo al chokaly ol cheol ol aiin oteo aiin shokal otey otaiin otaly dal okaly dalch y eteeey okal ey qoteeody sheocthy chotal chas otoees aiin	"[{""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 6, ""words"": [""ol""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 8, ""words"": [""ol""]}]"
f72r3	f72r3.26	C	zl3b_clean	oteey arary eeer che shees opcholalaiin oteeor am sheal okaipchy oteees ar am olaiin otedar olol choty oteol sheshdy chedy chedy dy shes eedy sheol shy ckhol	"[{""pattern"": ""EXACT_CHEDY_DUPLICATE"", ""first_ordinal"": 20, ""words"": [""chedy"", ""chedy""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 20, ""words"": [""chedy""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 21, ""words"": [""chedy""]}]"
f72r3	f72r3.26	C	it2a_clean	oteey arary eeer chem shses opcholalaiin oteeor am sheal otaipchy oteees ar am olaiin otedas olol choty oteol sheshdy chedy chedy dy shes eedy sheol chy ckhol	"[{""pattern"": ""EXACT_CHEDY_DUPLICATE"", ""first_ordinal"": 20, ""words"": [""chedy"", ""chedy""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 20, ""words"": [""chedy""]}, {""pattern"": ""NON_P_ADDITION"", ""first_ordinal"": 21, ""words"": [""chedy""]}]"
f75r	f75r.5	P	it2a_clean	shey kar chey ckhey r ain ol ol sheedy qokeey qoky	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 7, ""words"": [""ol"", ""ol""]}]"
f75r	f75r.5	P	rf1b_clean	sheykar chey ckhey r ain ol ol sheedy qokeey qoky	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 6, ""words"": [""ol"", ""ol""]}]"
f76r	f76r.23	P	zl3b_clean	sheedy qokedy chedy chedy qokain chckhy olchy l ain shedy olaiin chedy qokey	"[{""pattern"": ""EXACT_CHEDY_DUPLICATE"", ""first_ordinal"": 3, ""words"": [""chedy"", ""chedy""]}]"
f76r	f76r.23	P	it2a_clean	sheedy qokedy chedy chedy qokain chckhy olchy l ain shedy olain chedy qokey	"[{""pattern"": ""EXACT_CHEDY_DUPLICATE"", ""first_ordinal"": 3, ""words"": [""chedy"", ""chedy""]}]"
f81r	f81r.4	P	zl3b_clean	dchedy qokain ol ol chcthy ykeedy al	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 3, ""words"": [""ol"", ""ol""]}]"
f81r	f81r.4	P	it2a_clean	dchedy qokain ol ol chcthy ykeedy al	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 3, ""words"": [""ol"", ""ol""]}]"
f81r	f81r.4	P	rf1b_clean	dchedy qokain ol ol chcthy ykeedy al	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 3, ""words"": [""ol"", ""ol""]}]"
f81r	f81r.5	P	zl3b_clean	qol cheol okeey ol ol olaiin ol or ain	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 4, ""words"": [""ol"", ""ol""]}]"
f81r	f81r.5	P	it2a_clean	qol cheol okeey ol ol ol aiin ol orain	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 4, ""words"": [""ol"", ""ol""]}, {""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 5, ""words"": [""ol"", ""ol""]}]"
f81r	f81r.5	P	rf1b_clean	qol cheol okeey ol ol ol aiin ol or ain	"[{""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 4, ""words"": [""ol"", ""ol""]}, {""pattern"": ""EXACT_OL_DUPLICATE"", ""first_ordinal"": 5, ""words"": [""ol"", ""ol""]}]"
