at	record	version	target	target_word	direct_observations	sample_observations	sample_splits	parent_mentions	status	row_status
f83r.4:3	F83_P1	L	f83r.4:7	shedy	NONE	NONE	NONE	NONE	UNSUPPORTED	recorded
f83r.7:8	F83_P1	L	NONE	NONE	NONE	NONE	NONE	NONE	MISSING_TARGET	recorded
f83r.9:3	F83_P2	L	f83r.11:2	shedy	NONE	NONE	NONE	NONE	UNSUPPORTED	recorded
f83r.11:6	F83_P2	L	f83r.11:9	lchedy	NONE	NONE	NONE	NONE	UNSUPPORTED	recorded
f83r.12:8	F83_P2	L	f83r.13:3	shedy	NONE	NONE	NONE	NONE	UNSUPPORTED	recorded
f83r.13:7	F83_P2	L	NONE	NONE	NONE	NONE	NONE	NONE	MISSING_TARGET	recorded
f83r.20:4	F83_P3	L	NONE	NONE	NONE	NONE	NONE	NONE	MISSING_TARGET	recorded
f83r.20:7	F83_P3	L	NONE	NONE	NONE	NONE	NONE	NONE	MISSING_TARGET	recorded
f83r.21:2	F83_P3	L	NONE	NONE	NONE	NONE	NONE	NONE	MISSING_TARGET	recorded
f83r.21:8	F83_P3	L	NONE	NONE	NONE	NONE	NONE	NONE	MISSING_TARGET	recorded
f83r.23:5	F83_P3	L	f83r.24:6	shedy	NONE	NONE	NONE	NONE	UNSUPPORTED	recorded
f83r.25:4	F83_P4	L	f83r.26:2	qokeey	NONE	NONE	NONE	NONE	UNSUPPORTED	recorded
f83r.28:4	F83_P4	L	f83r.28:5	shedy	NONE	f83r.28:3	f83r.27:3	f83r.26:5	SUPPORTED_SAMPLE	recorded
