at	patient	status	row_status
f83r.2:10	f83r.1:6	BOUND	recorded
f83r.4:2	f83r.3:7	BOUND	recorded
f83r.4:9	f83r.4:7	BOUND	recorded
f83r.6:6	f83r.5:7	BOUND	recorded
f83r.8:5	f83r.6:8	BOUND	recorded
f83r.16:5	f83r.15:9	BOUND	recorded
f83r.21:5	f83r.20:3	BOUND	recorded
f83r.22:5	f83r.20:3	BOUND	recorded
f83r.23:9	f83r.23:4	BOUND	recorded
f83r.25:5	f83r.25:3	BOUND	recorded
f83r.27:2	f83r.26:5	BOUND	recorded
f83r.42:5	f83r.41:2	BOUND	recorded
f83r.43:3	f83r.41:2	BOUND	recorded
f83r.49:3	NONE	MISSING_MATERIAL	recorded
