window_id	locus	source_start_ordinal	source_end_ordinal	source_surfaces	source_verb_lemmas	source_working_de	checkpoint_ordinal	checkpoint_surface	checkpoint_working_de	checkpoint_class	target_start_ordinal	target_end_ordinal	target_surfaces	target_verb_lemmas	target_working_de	target_reference_class	source_material_class	competing_checkpoint_material	expected_decision	rationale_de	forbidden_inference
V73A001	f105v.14	8	8	odar	abmessen	Anteil I des Ansatzes abmessen.	9	kard	Erhitzter Drogenanteil I, abgezogen.	MATERIAL_BEARING_NOMINAL	10	10	chtchy	trocknen|nachtrocknen	Droge kalt trocknen und leicht nachtrocknen.	WRITTEN_TARGET_OBJECT_NOT_DEICTIC	WRITTEN_MATERIAL_IN_ACTION	1	CONTROL_NO_DEICTIC_TARGET	Der Mittelblock nennt selbst einen Drogenanteil und das Ziel schreibt Droge; eine deiktische Ausgangsfortsetzung wird nicht benötigt.	Weder Kard noch Nähe als allgemeine Materialfortsetzung exportieren.
V73A002	f115r.23	1	1	dchey	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen.	2	keey	Heiß am Ende des Grades.	WORKING_STATE_LIKE_NO_MATERIAL_HEAD	3	3	qokeod	bereiten|abschließen	Heißen Auszug bereiten und abschließen.	WRITTEN_TARGET_OBJECT_NOT_DEICTIC	WRITTEN_MATERIAL_IN_ACTION	0	CONTROL_NO_DEICTIC_TARGET	Der Mittelblock ist in der Arbeitsglosse zustandsartig, aber nicht extern als reiner Zustandscheckpoint belegt; zudem schreibt das Ziel seinen heißen Auszug und ist nicht deiktisch.	Keinen Zustandscheckpoint-Carry ohne exakt belegten Checkpoint und deiktisches objektloses Ziel ergänzen.
V73A003	f115r.23	3	3	qokeod	bereiten|abschließen	Heißen Auszug bereiten und abschließen.	4	chody	Leicht getrocknete Zubereitung, abgeschlossen.	MATERIAL_BEARING_NOMINAL	5	5	qokcho	erhitzen|trocknen|ansetzen	Erhitze, trockne und setze an.	OBJECTLESS_NONDEICTIC	WRITTEN_MATERIAL_IN_ACTION	1	CONTROL_NO_DEICTIC_TARGET	Das Ziel ist objektlos, besitzt aber keinen rückverweisenden Marker; die Zubereitung im Mittelblock ist selbst materiell.	Objektlosigkeit oder unmittelbare Nachbarschaft nicht als Carry-Lizenz behandeln.
V73A004	f26r.2	4	4	ykecthey	erhitzen|abschließen	Hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen.	5	chedy	Mittlere Trockenstufe erreicht.	EXACT_STATE_ONLY_RESULT_CHECKPOINT	6	7	ytedy|dy	abkühlen|abschließen	Hiervon bis zur Mittelstufe abkühlen und abschließen.	DEICTIC_OBJECTLESS	WRITTEN_MATERIAL_IN_ACTION	0	ADMIT_C011_OCCURRENCE_BOUND	Nur hier trifft ein eigener geschriebener Materialpatient auf genau einen extern als objektlos belegten Ergebniszustand und unmittelbar danach auf eine deiktische objektlose Aktion; das selektiert C011 als B-Arbeitshypothese.	#3 und #5 nicht als Donor verwenden; #5 nicht in die Quellspanne nehmen; nicht über #6 zu #8 oder als allgemeine Carry-Regel exportieren.
V73A005	f30r.9	5	5	chcthey	trocknen	Krautdroge bis zur mittleren Stufe trocknen.	6	chor	Pflanzenteil.	MATERIAL_BEARING_NOMINAL	7	7	cheky	erhitzen	Bis zur mittleren Trockenstufe, dann leicht erhitzen.	OBJECTLESS_NONDEICTIC	WRITTEN_MATERIAL_IN_ACTION	1	CONTROL_NO_DEICTIC_TARGET	Der Mittelblock nennt einen Pflanzenteil und das Ziel ist nicht deiktisch.	Den Pflanzenteil nicht als unsichtbaren Carry-Operator behandeln.
V73A006	f75r.3	4	4	qey	nehmen	Die vorstehende Mittelstufenportion anschließend nehmen.	5	kain	Heiß, Grad II.	WORKING_STATE_LIKE_NO_MATERIAL_HEAD	6	6	sheeky	einweichen|erhitzen|abschließen	Vollständig einweichen, erhitzen und abschließen.	OBJECTLESS_NONDEICTIC	WRITTEN_MATERIAL_IN_ACTION	0	CONTROL_NO_DEICTIC_TARGET	Der Mittelblock ist nur in der Arbeitsglosse zustandsartig und das Ziel nicht deiktisch; der bereits zugelassene QEY-Teilnehmer darf keine neue allgemeine Carry-Regel erzeugen.	Eine frühere lokale QEY-Kante nicht auf SHEEKY übertragen.
V73A007	f76v.10	1	1	cphdor	abmessen	Eine Portion Arzneikompositum abmessen.	2	shedal	Feuchte abgemessene Rohstoffmenge I in der Gradmitte.	MATERIAL_BEARING_NOMINAL	3	3	qopchdy	nehmen	Fertig getrocknetes Pulver nehmen.	WRITTEN_TARGET_OBJECT_NOT_DEICTIC	WRITTEN_MATERIAL_IN_ACTION	1	CONTROL_NO_DEICTIC_TARGET	Mittelblock und Ziel tragen eigene Materialköpfe; das Ziel ist nicht deiktisch.	Rohstoffmenge und Pulver nicht aufgrund der Geometrie gleichsetzen.
V73A008	f77v.7	3	3	qy	nehmen	Hiervon nehmen.	4	rr	Getrocknete Wurzel.	MATERIAL_BEARING_NOMINAL	5	5	ycheedy	trocknen	Hiervon bis zur Endstufe trocknen.	DEICTIC_OBJECTLESS	UNRESOLVED_REFERENCE_NO_WRITTEN_MATERIAL	1	HOLD_DEICTIC_MATERIAL_COMPETITOR	Der unmittelbare Mittelblock ist ein sichtbarer Materialkonkurrent und schon der Teilnehmer von QY ist zwischen H004-Quellen ungeklärt; H005 bleibt gehalten.	Weder die Wurzel noch einen hypothetischen QY-Ausgang an YCHEEDY binden.
V73A009	f80r.17	11	11	sheky	einweichen|erhitzen|abschließen	Bis zur Mittelstufe einweichen, erhitzen und abschließen.	12	qokal	Rohstoffklasse I, heiß am Gradanfang.	MATERIAL_BEARING_NOMINAL	13	13	da	abmessen	Eine Teilmenge abmessen.	WRITTEN_TARGET_OBJECT_NOT_DEICTIC	UNRESOLVED_OR_IMPLICIT_MATERIAL	1	CONTROL_NO_DEICTIC_TARGET	Der Mittelblock trägt eine Rohstoffklasse und das Ziel schreibt eine Teilmenge; keine deiktische Ausgangsfortsetzung liegt vor.	Keine allgemeine Fortsetzung aus der plausiblen Arbeitsfolge ableiten.
V73A010	f86v3.19	1	1	dchey	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen.	2	otain	Kalter Ansatz, Grad II.	MATERIAL_BEARING_NOMINAL	3	3	olkechy	erhitzen|trocknen|abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen.	WRITTEN_TARGET_OBJECT_NOT_DEICTIC	WRITTEN_MATERIAL_IN_ACTION	1	CONTROL_NO_DEICTIC_TARGET	Mittelblock und Ziel schreiben jeweils einen Ansatzkopf; das Ziel ist nicht deiktisch.	Portion, kalten Ansatz und Holzansatz nicht durch Nähe identifizieren.
