entry_id	entry_tier	entry_type	recognition_form	portable_value_de	teaching_rule_de
R-Y	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	Y	DIES	Grundtafel: frei zusammensetzen.
R-OK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OK	SETZEN	Grundtafel: frei zusammensetzen.
R-E	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	E	KURZ	Grundtafel: frei zusammensetzen.
R-DY	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DY	SCHLIESSEN	Grundtafel: frei zusammensetzen.
R-O	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	O	AUSFÜHREN	Grundtafel: frei zusammensetzen.
R-OL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OL	FORTSETZEN	Grundtafel: frei zusammensetzen.
R-EE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EE	LÄNGER	Grundtafel: frei zusammensetzen.
R-OT	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OT	DANACH	Grundtafel: frei zusammensetzen.
R-AL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AL	ZIEL	Grundtafel: frei zusammensetzen.
R-CH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CH	NEHMEN	Grundtafel: frei zusammensetzen.
R-D_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	D_ADDR	TEIL	Grundtafel: frei zusammensetzen.
R-SH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SH	HALTEN	Grundtafel: frei zusammensetzen.
R-AR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AR	QUELLE	Grundtafel: frei zusammensetzen.
R-K	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	K	GEBEN	Grundtafel: frei zusammensetzen.
R-AIIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIIN	SOLLWERT	Grundtafel: frei zusammensetzen.
