event_id	diagram_unit	physical_page	locus	surface	owner_id	visible_owner_de	component_recipe	local_address_reading_de	diagram_model	correction_status
P912-E0848	f75r	f75r	f75r.47	sal	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	S+AL	Zielklasse wählen; am zweiten Grad eintragen und schließen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0849	f75r	f75r	f75r.47	okeedy	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	OK+EE+DY	Zielklasse wählen; am zweiten Grad eintragen und schließen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0850	f75r	f75r	f75r.48	daly	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	AL+Y	Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0851	f75r	f75r	f75r.48	ychey	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	Y+Y	Diesen Zielplatz mit dem wiederholten Gegenplatz verbinden.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0852	f75r	f75r	f75r.49	sols	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	OL+S	Dieselbe Klasse an der unteren Quelladresse fortführen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0853	f75r	f75r	f75r.49	dara	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	D_ADDR+AR+A_ADDR	Dieselbe Klasse an der unteren Quelladresse fortführen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0854	f75r	f75r	f75r.50	ychty	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	Y+CH+T+Y	Diesen Platz auswählen, markieren und wieder als laufenden Platz setzen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0855	f75r	f75r	f75r.51	saino	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	S+AIN+O	Eine Einheit auswählen und ihren örtlichen Gang aufrufen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0856	f75r	f75r	f75r.52	saldy	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	S+AL+DY	Den gewählten Zielplatz schließen.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E0857	f75r	f75r	f75r.53	dainy	F75R_UPPER_LEFT_TRIANGULAR_INSET	dreieckige Insel zwischen Rinnsal und breitem Ablauf	AIN+Y	Eine Einheit gehört zu diesem Platz.	BECKEN_UND_FIGURENSTATIONEN	F75_TRIANGULAR_INSET_CORRECTED
P912-E1111	f81v	f81v	f81v.28	otain	f81v	gemeinsames Bad- und Beckenfeld	OT+AIN	gemeinsames Bad- und Beckenfeld: nächster Platz, Einheit.	GEMEINSAMES_BADFELD	UNCHANGED
P912-E1112	f81v	f81v	f81v.28	olkal	f81v	gemeinsames Bad- und Beckenfeld	OL+K+AL	gemeinsames Bad- und Beckenfeld: gleiche Reihe weiter, Wert zuordnen, Zielplatz.	GEMEINSAMES_BADFELD	UNCHANGED
P912-E1185	f82r	f82r	f82r.10	oroldair	f82r	mehrere lokale Bad- und Leitungsstationen	OR+OL+D_ADDR+AIR	mehrere lokale Bad- und Leitungsstationen: Eintragsklasse, gleiche Reihe weiter, Unterplatz, Ringlauf.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
P912-E1392	f82r	f82r	f82r.34	okor	f82r	mehrere lokale Bad- und Leitungsstationen	OK+OR	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Eintragsklasse.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
P912-E1393	f82r	f82r	f82r.35	darol	f82r	mehrere lokale Bad- und Leitungsstationen	DA+R+OL	mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, gleiche Reihe weiter.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
P912-E1394	f82r	f82r	f82r.36	okal	f82r	mehrere lokale Bad- und Leitungsstationen	OK+AL	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Zielplatz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
P912-E1395	f82r	f82r	f82r.37	okaldy	f82r	mehrere lokale Bad- und Leitungsstationen	OK+AL+DY	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Zielplatz, Eintrag schließen.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
P912-E1396	f82r	f82r	f82r.38	darary	f82r	mehrere lokale Bad- und Leitungsstationen	DA+R+AR+Y	mehrere lokale Bad- und Leitungsstationen: zweite Stufe, Zustandsmarke, Quell- oder Bezugsstelle, dieser Platz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
P912-E1397	f82r	f82r	f82r.39	okairady	f82r	mehrere lokale Bad- und Leitungsstationen	OK+AIR+A_ADDR+D_ADDR+Y	mehrere lokale Bad- und Leitungsstationen: Platz aktivieren, Ringlauf, lokale Adresse, Unterplatz, dieser Platz.	LOKALE_BAD_UND_LEITUNGSSTATIONEN	UNCHANGED
