pair_id	operator_frame	ar_recipe	ar_surface	ar_status	ar_reading_de	al_recipe	al_surface	al_status	al_reading_de	attested_counterpart_events	predicted_surface	already_active_prediction	decision
ARAL01	ADDRESS	AR	char|dar|sar	ATTESTED	QUELLE	AL	al|chal|cheal|dal|sal|tal	ATTESTED	ZIELSTELLE	15	NONE	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL02	OK+ADDRESS	OK+AR	qokar	ATTESTED	ANSETZEN · QUELLE	OK+AL	okal|qokal	ATTESTED	ANSETZEN · ZIELSTELLE	7	NONE	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL03	OT+ADDRESS	OT+AR	otar	ATTESTED	DANACH · QUELLE	OT+AL	otal|qotal	ATTESTED	DANACH · ZIELSTELLE	4	NONE	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL04	K+ADDRESS	K+AR	skar	ATTESTED	ZUGEBEN · QUELLE	K+AL	kchal	ATTESTED	ZUGEBEN · ZIELSTELLE	2	NONE	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL05	L+CHD+ADDRESS	L+CHD+AR	lchedar	ATTESTED	LEITEN · UMSETZEN · QUELLE	L+CHD+AL	lchedal	ATTESTED	LEITEN · UMSETZEN · ZIELSTELLE	2	NONE	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL06	SHED+ADDRESS	SHED+AR	shedar	PREDICTION_ONLY	STEHENLASSEN · QUELLE	SHED+AL	shedal	ATTESTED	STEHENLASSEN · ZIELSTELLE	2	shedar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL07	ADDRESS+CHD+DY	AR+CHD+DY	darchdy	PREDICTION_ONLY	QUELLE · UMSETZEN · SCHLUSS	AL+CHD+DY	dalchdy	ATTESTED	ZIELSTELLE · UMSETZEN · SCHLUSS	1	darchdy	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL08	ADDRESS+DY	AR+DY	dardy	PREDICTION_ONLY	QUELLE · SCHLUSS	AL+DY	daldy	ATTESTED	ZIELSTELLE · SCHLUSS	1	dardy	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL09	ADDRESS+R+OR	AR+R+OR	chearror	PREDICTION_ONLY	QUELLE · KUEHLEN · ANSATZ	AL+R+OR	chealror	ATTESTED	ZIELSTELLE · KUEHLEN · ANSATZ	1	chearror	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL10	ADDRESS+Y	AR+Y	chary	ATTESTED	QUELLE · POSTEN	AL+Y	chaly	PREDICTION_ONLY	ZIELSTELLE · POSTEN	1	chaly	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL11	CH+CKH+ADDRESS	CH+CKH+AR	chckhar	PREDICTION_ONLY	ENTNEHMEN · DURCHLASS · QUELLE	CH+CKH+AL	chckhal	ATTESTED	ENTNEHMEN · DURCHLASS · ZIELSTELLE	1	chckhar	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL12	CH+E+O+ADDRESS	CH+E+O+AR	cheoar	ATTESTED	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	CH+E+O+AL	cheoal	PREDICTION_ONLY	ENTNEHMEN · KURZ · ARBEITSGANG · ZIELSTELLE	1	cheoal	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL13	CHD+ADDRESS	CHD+AR	chdar	PREDICTION_ONLY	UMSETZEN · QUELLE	CHD+AL	chdal	ATTESTED	UMSETZEN · ZIELSTELLE	1	chdar	YES	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL14	EE+ADDRESS	EE+AR	cheedar	ATTESTED	LANG · QUELLE	EE+AL	cheedal	PREDICTION_ONLY	LANG · ZIELSTELLE	1	cheedal	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL15	HO+ADDRESS+Y	HO+AR+Y	chodary	PREDICTION_ONLY	ZUTAT · QUELLE · POSTEN	HO+AL+Y	chodaly	ATTESTED	ZUTAT · ZIELSTELLE · POSTEN	1	chodary	NO	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
ARAL16	K+HO+ADDRESS	K+HO+AR	kchoar	ATTESTED	ZUGEBEN · ZUTAT · QUELLE	K+HO+AL	kchoal	PREDICTION_ONLY	ZUGEBEN · ZUTAT · ZIELSTELLE	1	kchoal	YES	AR_SOURCE__AL_TARGET__SAME_OPERATOR_FRAME
