case_id	master_position	surface	card_no	semantic_component_parse	command_de	single_card_identifies_case
C1	2	os	PROC005	OS	FACH	YES
C1	3	lsho	PROC084	LSH+O	WASCHEN · GANG	YES
C2	1	cthy	PROC014	CTH+Y	BEREIT · DIES	YES
C2	2	cthaiin	PROC017	CTH+AIIN	BEREIT · MASS	YES
C2	3	qoctholy	PROC018	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	YES
C2	4	ches	PROC124	CH+E+S	ABZIEHEN · KURZ · TEILEN	YES
C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C3	1	cfhy	PROC028	CFH+Y	AUSWRINGEN · DIES	YES
C3	2	cphy	PROC030	P+Y	HINEIN · DIES	YES
C4	2	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	YES
C4	3	ykan	PROC040	Y+K+AN	DIES · ZUFUEHREN · NACHPORTION	YES
C4	5	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	YES
C4	6	talam	PROC043	TALAM	VERWAHREN	YES
C5	1	cho	PROC052	HO	GABE	YES
C5	3	kchoar	PROC063	K+HO+AR	ZUFUEHREN · GABE · QUELLE	YES
C5	4	chodaly	PROC053	HO+AL+Y	GABE · ZIEL · DIES	YES
C5	5	daiiin	PROC169	DA+IIN	ZWEIT · STUFE	YES
