fragment_id	source_case	surviving_cards	source_positions	surface_fragment	card_fragment	matching_cases	matching_case_count	unique_case_recovery	owner_or_margin_needed
C1_K1_01	C1	1	1	qokaiin	PROC038	C1|C3|C4|C5	4	NO	YES
C1_K1_02	C1	1	2	os	PROC005	C1	1	YES	NO
C1_K1_03	C1	1	3	lsho	PROC084	C1	1	YES	NO
C1_K1_04	C1	1	4	qokal	PROC048	C1|C2|C3|C4	4	NO	YES
C1_K1_05	C1	1	5	shey	PROC031	C1|C3	2	NO	YES
C1_K1_06	C1	1	6	shedy	PROC078	C1|C3|C5	3	NO	YES
C1_K2_01	C1	2	1|2	qokaiin os	PROC038|PROC005	C1	1	YES	NO
C1_K2_02	C1	2	1|3	qokaiin lsho	PROC038|PROC084	C1	1	YES	NO
C1_K2_03	C1	2	1|4	qokaiin qokal	PROC038|PROC048	C1|C3|C4	3	NO	YES
C1_K2_04	C1	2	1|5	qokaiin shey	PROC038|PROC031	C1|C3	2	NO	YES
C1_K2_05	C1	2	1|6	qokaiin shedy	PROC038|PROC078	C1|C3|C5	3	NO	YES
C1_K2_06	C1	2	2|3	os lsho	PROC005|PROC084	C1	1	YES	NO
C1_K2_07	C1	2	2|4	os qokal	PROC005|PROC048	C1	1	YES	NO
C1_K2_08	C1	2	2|5	os shey	PROC005|PROC031	C1	1	YES	NO
C1_K2_09	C1	2	2|6	os shedy	PROC005|PROC078	C1	1	YES	NO
C1_K2_10	C1	2	3|4	lsho qokal	PROC084|PROC048	C1	1	YES	NO
C1_K2_11	C1	2	3|5	lsho shey	PROC084|PROC031	C1	1	YES	NO
C1_K2_12	C1	2	3|6	lsho shedy	PROC084|PROC078	C1	1	YES	NO
C1_K2_13	C1	2	4|5	qokal shey	PROC048|PROC031	C1|C3	2	NO	YES
C1_K2_14	C1	2	4|6	qokal shedy	PROC048|PROC078	C1|C3	2	NO	YES
C1_K2_15	C1	2	5|6	shey shedy	PROC031|PROC078	C1|C3	2	NO	YES
C1_K3_01	C1	3	1|2|3	qokaiin os lsho	PROC038|PROC005|PROC084	C1	1	YES	NO
C1_K3_02	C1	3	1|2|4	qokaiin os qokal	PROC038|PROC005|PROC048	C1	1	YES	NO
C1_K3_03	C1	3	1|2|5	qokaiin os shey	PROC038|PROC005|PROC031	C1	1	YES	NO
C1_K3_04	C1	3	1|2|6	qokaiin os shedy	PROC038|PROC005|PROC078	C1	1	YES	NO
C1_K3_05	C1	3	1|3|4	qokaiin lsho qokal	PROC038|PROC084|PROC048	C1	1	YES	NO
C1_K3_06	C1	3	1|3|5	qokaiin lsho shey	PROC038|PROC084|PROC031	C1	1	YES	NO
C1_K3_07	C1	3	1|3|6	qokaiin lsho shedy	PROC038|PROC084|PROC078	C1	1	YES	NO
C1_K3_08	C1	3	1|4|5	qokaiin qokal shey	PROC038|PROC048|PROC031	C1|C3	2	NO	YES
C1_K3_09	C1	3	1|4|6	qokaiin qokal shedy	PROC038|PROC048|PROC078	C1|C3	2	NO	YES
C1_K3_10	C1	3	1|5|6	qokaiin shey shedy	PROC038|PROC031|PROC078	C1|C3	2	NO	YES
C1_K3_11	C1	3	2|3|4	os lsho qokal	PROC005|PROC084|PROC048	C1	1	YES	NO
C1_K3_12	C1	3	2|3|5	os lsho shey	PROC005|PROC084|PROC031	C1	1	YES	NO
C1_K3_13	C1	3	2|3|6	os lsho shedy	PROC005|PROC084|PROC078	C1	1	YES	NO
C1_K3_14	C1	3	2|4|5	os qokal shey	PROC005|PROC048|PROC031	C1	1	YES	NO
C1_K3_15	C1	3	2|4|6	os qokal shedy	PROC005|PROC048|PROC078	C1	1	YES	NO
C1_K3_16	C1	3	2|5|6	os shey shedy	PROC005|PROC031|PROC078	C1	1	YES	NO
C1_K3_17	C1	3	3|4|5	lsho qokal shey	PROC084|PROC048|PROC031	C1	1	YES	NO
C1_K3_18	C1	3	3|4|6	lsho qokal shedy	PROC084|PROC048|PROC078	C1	1	YES	NO
C1_K3_19	C1	3	3|5|6	lsho shey shedy	PROC084|PROC031|PROC078	C1	1	YES	NO
C1_K3_20	C1	3	4|5|6	qokal shey shedy	PROC048|PROC031|PROC078	C1|C3	2	NO	YES
C1_K4_01	C1	4	1|2|3|4	qokaiin os lsho qokal	PROC038|PROC005|PROC084|PROC048	C1	1	YES	NO
C1_K4_02	C1	4	1|2|3|5	qokaiin os lsho shey	PROC038|PROC005|PROC084|PROC031	C1	1	YES	NO
C1_K4_03	C1	4	1|2|3|6	qokaiin os lsho shedy	PROC038|PROC005|PROC084|PROC078	C1	1	YES	NO
C1_K4_04	C1	4	1|2|4|5	qokaiin os qokal shey	PROC038|PROC005|PROC048|PROC031	C1	1	YES	NO
C1_K4_05	C1	4	1|2|4|6	qokaiin os qokal shedy	PROC038|PROC005|PROC048|PROC078	C1	1	YES	NO
C1_K4_06	C1	4	1|2|5|6	qokaiin os shey shedy	PROC038|PROC005|PROC031|PROC078	C1	1	YES	NO
C1_K4_07	C1	4	1|3|4|5	qokaiin lsho qokal shey	PROC038|PROC084|PROC048|PROC031	C1	1	YES	NO
C1_K4_08	C1	4	1|3|4|6	qokaiin lsho qokal shedy	PROC038|PROC084|PROC048|PROC078	C1	1	YES	NO
C1_K4_09	C1	4	1|3|5|6	qokaiin lsho shey shedy	PROC038|PROC084|PROC031|PROC078	C1	1	YES	NO
C1_K4_10	C1	4	1|4|5|6	qokaiin qokal shey shedy	PROC038|PROC048|PROC031|PROC078	C1|C3	2	NO	YES
C1_K4_11	C1	4	2|3|4|5	os lsho qokal shey	PROC005|PROC084|PROC048|PROC031	C1	1	YES	NO
C1_K4_12	C1	4	2|3|4|6	os lsho qokal shedy	PROC005|PROC084|PROC048|PROC078	C1	1	YES	NO
C1_K4_13	C1	4	2|3|5|6	os lsho shey shedy	PROC005|PROC084|PROC031|PROC078	C1	1	YES	NO
C1_K4_14	C1	4	2|4|5|6	os qokal shey shedy	PROC005|PROC048|PROC031|PROC078	C1	1	YES	NO
C1_K4_15	C1	4	3|4|5|6	lsho qokal shey shedy	PROC084|PROC048|PROC031|PROC078	C1	1	YES	NO
C1_K5_01	C1	5	1|2|3|4|5	qokaiin os lsho qokal shey	PROC038|PROC005|PROC084|PROC048|PROC031	C1	1	YES	NO
C1_K5_02	C1	5	1|2|3|4|6	qokaiin os lsho qokal shedy	PROC038|PROC005|PROC084|PROC048|PROC078	C1	1	YES	NO
C1_K5_03	C1	5	1|2|3|5|6	qokaiin os lsho shey shedy	PROC038|PROC005|PROC084|PROC031|PROC078	C1	1	YES	NO
C1_K5_04	C1	5	1|2|4|5|6	qokaiin os qokal shey shedy	PROC038|PROC005|PROC048|PROC031|PROC078	C1	1	YES	NO
C1_K5_05	C1	5	1|3|4|5|6	qokaiin lsho qokal shey shedy	PROC038|PROC084|PROC048|PROC031|PROC078	C1	1	YES	NO
C1_K5_06	C1	5	2|3|4|5|6	os lsho qokal shey shedy	PROC005|PROC084|PROC048|PROC031|PROC078	C1	1	YES	NO
C1_K6_01	C1	6	1|2|3|4|5|6	qokaiin os lsho qokal shey shedy	PROC038|PROC005|PROC084|PROC048|PROC031|PROC078	C1	1	YES	NO
C2_K1_01	C2	1	1	cthy	PROC014	C2	1	YES	NO
C2_K1_02	C2	1	2	cthaiin	PROC017	C2	1	YES	NO
C2_K1_03	C2	1	3	qoctholy	PROC018	C2	1	YES	NO
C2_K1_04	C2	1	4	ches	PROC124	C2	1	YES	NO
C2_K1_05	C2	1	5	qokal	PROC048	C1|C2|C3|C4	4	NO	YES
C2_K1_06	C2	1	6	qokeeedy	PROC119	C2	1	YES	NO
C2_K2_01	C2	2	1|2	cthy cthaiin	PROC014|PROC017	C2	1	YES	NO
C2_K2_02	C2	2	1|3	cthy qoctholy	PROC014|PROC018	C2	1	YES	NO
C2_K2_03	C2	2	1|4	cthy ches	PROC014|PROC124	C2	1	YES	NO
C2_K2_04	C2	2	1|5	cthy qokal	PROC014|PROC048	C2	1	YES	NO
C2_K2_05	C2	2	1|6	cthy qokeeedy	PROC014|PROC119	C2	1	YES	NO
C2_K2_06	C2	2	2|3	cthaiin qoctholy	PROC017|PROC018	C2	1	YES	NO
C2_K2_07	C2	2	2|4	cthaiin ches	PROC017|PROC124	C2	1	YES	NO
C2_K2_08	C2	2	2|5	cthaiin qokal	PROC017|PROC048	C2	1	YES	NO
C2_K2_09	C2	2	2|6	cthaiin qokeeedy	PROC017|PROC119	C2	1	YES	NO
C2_K2_10	C2	2	3|4	qoctholy ches	PROC018|PROC124	C2	1	YES	NO
C2_K2_11	C2	2	3|5	qoctholy qokal	PROC018|PROC048	C2	1	YES	NO
C2_K2_12	C2	2	3|6	qoctholy qokeeedy	PROC018|PROC119	C2	1	YES	NO
C2_K2_13	C2	2	4|5	ches qokal	PROC124|PROC048	C2	1	YES	NO
C2_K2_14	C2	2	4|6	ches qokeeedy	PROC124|PROC119	C2	1	YES	NO
C2_K2_15	C2	2	5|6	qokal qokeeedy	PROC048|PROC119	C2	1	YES	NO
C2_K3_01	C2	3	1|2|3	cthy cthaiin qoctholy	PROC014|PROC017|PROC018	C2	1	YES	NO
C2_K3_02	C2	3	1|2|4	cthy cthaiin ches	PROC014|PROC017|PROC124	C2	1	YES	NO
C2_K3_03	C2	3	1|2|5	cthy cthaiin qokal	PROC014|PROC017|PROC048	C2	1	YES	NO
C2_K3_04	C2	3	1|2|6	cthy cthaiin qokeeedy	PROC014|PROC017|PROC119	C2	1	YES	NO
C2_K3_05	C2	3	1|3|4	cthy qoctholy ches	PROC014|PROC018|PROC124	C2	1	YES	NO
C2_K3_06	C2	3	1|3|5	cthy qoctholy qokal	PROC014|PROC018|PROC048	C2	1	YES	NO
C2_K3_07	C2	3	1|3|6	cthy qoctholy qokeeedy	PROC014|PROC018|PROC119	C2	1	YES	NO
C2_K3_08	C2	3	1|4|5	cthy ches qokal	PROC014|PROC124|PROC048	C2	1	YES	NO
C2_K3_09	C2	3	1|4|6	cthy ches qokeeedy	PROC014|PROC124|PROC119	C2	1	YES	NO
C2_K3_10	C2	3	1|5|6	cthy qokal qokeeedy	PROC014|PROC048|PROC119	C2	1	YES	NO
C2_K3_11	C2	3	2|3|4	cthaiin qoctholy ches	PROC017|PROC018|PROC124	C2	1	YES	NO
C2_K3_12	C2	3	2|3|5	cthaiin qoctholy qokal	PROC017|PROC018|PROC048	C2	1	YES	NO
C2_K3_13	C2	3	2|3|6	cthaiin qoctholy qokeeedy	PROC017|PROC018|PROC119	C2	1	YES	NO
C2_K3_14	C2	3	2|4|5	cthaiin ches qokal	PROC017|PROC124|PROC048	C2	1	YES	NO
C2_K3_15	C2	3	2|4|6	cthaiin ches qokeeedy	PROC017|PROC124|PROC119	C2	1	YES	NO
C2_K3_16	C2	3	2|5|6	cthaiin qokal qokeeedy	PROC017|PROC048|PROC119	C2	1	YES	NO
C2_K3_17	C2	3	3|4|5	qoctholy ches qokal	PROC018|PROC124|PROC048	C2	1	YES	NO
C2_K3_18	C2	3	3|4|6	qoctholy ches qokeeedy	PROC018|PROC124|PROC119	C2	1	YES	NO
C2_K3_19	C2	3	3|5|6	qoctholy qokal qokeeedy	PROC018|PROC048|PROC119	C2	1	YES	NO
C2_K3_20	C2	3	4|5|6	ches qokal qokeeedy	PROC124|PROC048|PROC119	C2	1	YES	NO
C2_K4_01	C2	4	1|2|3|4	cthy cthaiin qoctholy ches	PROC014|PROC017|PROC018|PROC124	C2	1	YES	NO
C2_K4_02	C2	4	1|2|3|5	cthy cthaiin qoctholy qokal	PROC014|PROC017|PROC018|PROC048	C2	1	YES	NO
C2_K4_03	C2	4	1|2|3|6	cthy cthaiin qoctholy qokeeedy	PROC014|PROC017|PROC018|PROC119	C2	1	YES	NO
C2_K4_04	C2	4	1|2|4|5	cthy cthaiin ches qokal	PROC014|PROC017|PROC124|PROC048	C2	1	YES	NO
C2_K4_05	C2	4	1|2|4|6	cthy cthaiin ches qokeeedy	PROC014|PROC017|PROC124|PROC119	C2	1	YES	NO
C2_K4_06	C2	4	1|2|5|6	cthy cthaiin qokal qokeeedy	PROC014|PROC017|PROC048|PROC119	C2	1	YES	NO
C2_K4_07	C2	4	1|3|4|5	cthy qoctholy ches qokal	PROC014|PROC018|PROC124|PROC048	C2	1	YES	NO
C2_K4_08	C2	4	1|3|4|6	cthy qoctholy ches qokeeedy	PROC014|PROC018|PROC124|PROC119	C2	1	YES	NO
