case_id	surviving_cards	fragments	unique	ambiguous	all_unique
C1	1	6	2	4	NO
C1	2	15	9	6	NO
C1	3	20	16	4	NO
C1	4	15	14	1	NO
C1	5	6	6	0	YES
C1	6	1	1	0	YES
C2	1	6	5	1	NO
C2	2	15	15	0	YES
C2	3	20	20	0	YES
C2	4	15	15	0	YES
C2	5	6	6	0	YES
C2	6	1	1	0	YES
C3	1	6	2	4	NO
C3	2	15	9	6	NO
C3	3	20	16	4	NO
C3	4	15	14	1	NO
C3	5	6	6	0	YES
C3	6	1	1	0	YES
C4	1	6	4	2	NO
C4	2	15	14	1	NO
C4	3	20	20	0	YES
C4	4	15	15	0	YES
C4	5	6	6	0	YES
C4	6	1	1	0	YES
C5	1	6	4	2	NO
C5	2	15	14	1	NO
C5	3	20	20	0	YES
C5	4	15	15	0	YES
C5	5	6	6	0	YES
C5	6	1	1	0	YES
