model	edition	paragraph	at	word	polarity	patient	patient_word	axis	value	status	prior_action	prior_word	prior_value	next_action	next_word	relation	intervening_before	intervening_after
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.38|G011	shy	POSITIVE	ZL3b|f116r.38|G007	okaiin	moisture	wet	NONTHERMAL_FEATURE						NOT_COMPARED		
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.43|G010	oty	POSITIVE	ZL3b|f116r.42|G008	shey	thermal	cold	NO_PRIOR_THERMAL_ACTION						NOT_COMPARED		
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.45|G005	chy	POSITIVE	ZL3b|f116r.44|G003	qokain	thermal	hot	NO_PRIOR_THERMAL_ACTION						NOT_COMPARED		
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.38|G011	shy	POSITIVE	ZL3b|f116r.38|G007	okaiin	moisture	wet	NONTHERMAL_FEATURE						NOT_COMPARED		
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.43|G010	oty	POSITIVE	ZL3b|f116r.42|G008	shey	thermal	cold	NO_PRIOR_THERMAL_ACTION						NOT_COMPARED		
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.45|G005	chy	NEGATIVE	ZL3b|f116r.44|G005	ol	thermal	hot	NO_PRIOR_THERMAL_ACTION						NOT_COMPARED		
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.43|G011	dy	POSITIVE					NO_STANDALONE_FEATURE						NOT_COMPARED		
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.45|G012	dy	POSITIVE	ZL3b|f75v.45|G002	qokar			NO_STANDALONE_FEATURE	ZL3b|f75v.45|G011	qoky	warm			NOT_COMPARED		
AMV	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.43|G011	dy	NEGATIVE					NO_STANDALONE_FEATURE						NOT_COMPARED		
AMV	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.45|G012	dy	POSITIVE	ZL3b|f75v.45|G002	qokar			NO_STANDALONE_FEATURE	ZL3b|f75v.45|G011	qoky	warm			NOT_COMPARED		
NRC	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.38|G011	shy	POSITIVE	IT2a|f116r.38|G006	shey	moisture	wet	NONTHERMAL_FEATURE						NOT_COMPARED		
NRC	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.45|G005	chy	POSITIVE	IT2a|f116r.45|G002	shey	thermal	hot	NO_PRIOR_THERMAL_ACTION						NOT_COMPARED		
AMV	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.38|G011	shy	POSITIVE	IT2a|f116r.38|G006	shey	moisture	wet	NONTHERMAL_FEATURE						NOT_COMPARED		
AMV	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.45|G005	chy	NEGATIVE	IT2a|f116r.45|G002	shey	thermal	hot	NO_PRIOR_THERMAL_ACTION						NOT_COMPARED		
NRC	IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.43|G012	dy	POSITIVE	IT2a|f75v.43|G006	shey			NO_STANDALONE_FEATURE	IT2a|f75v.43|G007	qokeey	hot			NOT_COMPARED	qotedy olkedy chey tal	
NRC	IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.45|G012	dy	POSITIVE	IT2a|f75v.45|G002	qokar			NO_STANDALONE_FEATURE	IT2a|f75v.45|G011	qoky	warm			NOT_COMPARED		
AMV	IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.43|G012	dy	NEGATIVE	IT2a|f75v.43|G006	shey			NO_STANDALONE_FEATURE	IT2a|f75v.43|G007	qokeey	hot			NOT_COMPARED	qotedy olkedy chey tal	
AMV	IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.45|G012	dy	POSITIVE	IT2a|f75v.45|G002	qokar			NO_STANDALONE_FEATURE	IT2a|f75v.45|G011	qoky	warm			NOT_COMPARED		
