cell_ordinal	register	gdt584_rule_id	carrier_root	portable_core	assignment_count	host_count	page_count	pages	strict_selection_signature_count	selected_lemmas_de	carrier_root_signatures	packet_rules	exact_foreign_assignment_count	same_cell_foreign_assignment_count	register_root_fallback_assignment_count	page_private_assignment_count	cell_mobility_profile	example_carrier_slot_ids	guard
1	SOURCE_SECTION_T	CHD_REST_PROCESS	Y	POSTEN	12	12	2	f1r|f66r	1	Arbeitsmaterial	Y	DEFAULT_GDT584_OBJECT_COMPOSITION	12	0	0	0	EVERY_ASSIGNMENT_EXACT_OTHER_PAGE	RUNNING:G407-E0102@2|RUNNING:G515-E0326@2|RUNNING:G515-E0330@2|RUNNING:G515-E0331@2|RUNNING:G515-E0389@3|RUNNING:G515-E0402@2	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
2	SOURCE_SECTION_T	SH_SOURCE_REST	Y	POSTEN	35	31	2	f1r|f66r	3	Arbeitsmaterial	Y|Y+AIIN|Y+OR	DEFAULT_GDT584_OBJECT_COMPOSITION	32	3	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0006@3|RUNNING:G407-E0010@4|RUNNING:G407-E0046@1|RUNNING:G407-E0046@7|RUNNING:G407-E0054@5|RUNNING:G407-E0055@1	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
3	SOURCE_SECTION_T	SH_SOURCE_REST	AIIN	WERT	8	8	2	f1r|f66r	4	Arbeitsflüssigkeit	AIIN|AIIN+AIN|AIIN+OR|Y+AIIN	DEFAULT_GDT584_OBJECT_COMPOSITION	4	4	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0100@3|RUNNING:G407-E0161@2|RUNNING:G407-E0183@3|RUNNING:G515-E0357@5|RUNNING:G515-E0415@6|RUNNING:G515-E0563@1	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
4	SOURCE_SECTION_T	SH_SOURCE_REST	AIN	ANTEIL	3	2	1	f1r	2	Teilmenge	AIIN+AIN|AIN	DEFAULT_GDT584_OBJECT_COMPOSITION	0	0	0	3	TRULY_PAGE_PRIVATE_CELL	RUNNING:G407-E0085@4|RUNNING:G407-E0095@2|RUNNING:G407-E0097@1	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
5	SOURCE_SECTION_T	SH_SOURCE_REST	OR	EINHEIT	10	8	2	f1r|f66r	3	Ansatz	AIIN+OR|OR|Y+OR	DEFAULT_GDT584_OBJECT_COMPOSITION	3	7	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0006@2|RUNNING:G515-E0386@2|RUNNING:G515-E0415@4|RUNNING:G515-E0417@3|RUNNING:G515-E0430@2|RUNNING:G515-E0431@3	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
6	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	POSTEN	11	11	2	f1r|f66r	3	Arbeitsmaterial	Y|Y+AIIN|Y+OR	DEFAULT_GDT584_OBJECT_COMPOSITION|SOURCE_LIQUID_FROM_MATERIAL	9	2	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0008@1|RUNNING:G407-E0011@3|RUNNING:G407-E0022@2|RUNNING:G407-E0030@1|RUNNING:G407-E0032@3|RUNNING:G407-E0041@1	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
7	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	AIIN	WERT	7	6	2	f1r|f66r	2	Arbeitsflüssigkeit	AIIN|Y+AIIN	DEFAULT_GDT584_OBJECT_COMPOSITION|SOURCE_LIQUID_FROM_MATERIAL	6	1	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0029@3|RUNNING:G407-E0065@1|RUNNING:G407-E0073@5|RUNNING:G407-E0092@5|RUNNING:G515-E0462@1|RUNNING:G515-E0463@1	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
8	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	OR	EINHEIT	1	1	1	f1r	1	Ansatz	Y+OR	DEFAULT_GDT584_OBJECT_COMPOSITION	0	0	1	0	SINGLE_PAGE_CELL_REGISTER_ROOT_FALLBACK	RUNNING:G407-E0011@2	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
9	SOURCE_SECTION_T	T_SOURCE_FIX	Y	POSTEN	21	19	2	f1r|f66r	2	Arbeitsgut	Y|Y+AIN	DEFAULT_GDT584_OBJECT_COMPOSITION|SOURCE_PART_OF_MATERIAL	18	3	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0027@5|RUNNING:G407-E0059@5|RUNNING:G407-E0061@1|RUNNING:G407-E0076@1|RUNNING:G407-E0093@4|RUNNING:G407-E0105@3	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
10	SOURCE_SECTION_T	T_SOURCE_FIX	AIIN	WERT	6	6	1	f1r	1	Flüssigkeitsmenge	AIIN	DEFAULT_GDT584_OBJECT_COMPOSITION	0	0	6	0	SINGLE_PAGE_CELL_REGISTER_ROOT_FALLBACK	RUNNING:G407-E0004@3|RUNNING:G407-E0016@3|RUNNING:G407-E0036@1|RUNNING:G407-E0043@3|RUNNING:G407-E0146@4|RUNNING:G407-E0188@1	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
11	SOURCE_SECTION_T	T_SOURCE_FIX	AIN	ANTEIL	3	3	1	f1r	2	Teilmenge	AIN|Y+AIN	DEFAULT_GDT584_OBJECT_COMPOSITION|SOURCE_PART_OF_MATERIAL	0	0	0	3	TRULY_PAGE_PRIVATE_CELL	RUNNING:G407-E0021@1|RUNNING:G407-E0062@1|RUNNING:G407-E0076@3	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
12	SOURCE_SECTION_T	T_SOURCE_FIX	OR	EINHEIT	1	1	1	f1r	1	Ansatz	OR	DEFAULT_GDT584_OBJECT_COMPOSITION	0	0	1	0	SINGLE_PAGE_CELL_REGISTER_ROOT_FALLBACK	RUNNING:G407-E0208@3	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
13	HERBAL	CHD_HP_DRY_GRIND_CONFIRMED	Y	POSTEN	2	2	1	f95v	1	Pflanzenmaterial	Y	DEFAULT_GDT584_OBJECT_COMPOSITION	0	0	2	0	SINGLE_PAGE_CELL_REGISTER_ROOT_FALLBACK	RUNNING:G407-E4476@4|RUNNING:G407-E4490@3	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
14	HERBAL	CHD_HP_MATERIAL_COMMINUTE	Y	POSTEN	13	13	4	f31r|f55v|f56r|f95v	3	Pflanzenmaterial	Y|Y+AIN|Y+OR	DEFAULT_GDT584_OBJECT_COMPOSITION	11	2	0	0	PARTIAL_EXACT_OTHER_PAGE	RUNNING:G407-E0691@6|RUNNING:G407-E0707@2|RUNNING:G407-E0740@3|RUNNING:G407-E0746@2|RUNNING:G407-E0828@2|RUNNING:G407-E4410@3	OBSERVED_ACTION_ROOT_CELL__NO_UNOBSERVED_MATRIX_FILL
