reader_local_card_ordinal	local_card_host_key	source_event_id	physical_page	register	locus	record_id	record_governor_key	bundle_id	bundle_governor_key	owner_de	surface	component_recipe	complete_slot_count	base_reader_source	primary_reader_source	base_exact_trace_source	base_exact_slot_trace_de	name_override_count	name_override_slot_ids	raw_name_core_sequence	gdt582_legacy_default_sequence	gdt585_primary_default_sequence	exact_name_override_trace_de	gdt585_selected_model	gdt585_source_grammar_reading_de	gdt585_composition_hypothesis_de	compound_group_id	legacy_reader_de	gdt586_primary_reader_de	running_statement_link_status	name_layer_status	guard	gdt587_carrier_assignment_count	gdt587_carrier_slot_ids	gdt587_base_reader_de	gdt587_primary_reader_de	gdt587_reader_changed	gdt587_layer_status	gdt587_guard	gdt588_base_reader_de	gdt588_primary_reader_de	gdt588_multiplicity_repair	gdt588_guard
1	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	P1003-E0079	f17r	HERBAL	f17r.13	G475-R001	LOCAL_RECORD:G475-R001	G474-B001	LOCAL_BUNDLE:G474-B001	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	OT	2	GDT582_CONCRETE_LOCAL_CARD	GDT585_GRAMMAR_AWARE_NAME_LABEL	GDT582_EXACT_SLOT_TRACE	[1:OT=danach / neuer Arbeitsgang|LOCAL_COMPONENT:P1003-E0079@1|LOCAL_CONTROL:P1003-E0079@1:OT] [1:eeeon=ganze blühende Heilpflanze|LOCAL_NAME:P1003-E0079:NAME_1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079]	1	LOCAL_NAME:P1003-E0079:NAME_1	eeeon	ganze blühende Heilpflanze	rechte Blütenform	[LOCAL_NAME:P1003-E0079:NAME_1:ganze blühende Heilpflanze=>rechte Blütenform]	CATALOGUE	Pflanzenname »eeeon« — Folgevermerk.	Linke Blütenform oiil; daneben als nächste die rechte Blütenform eeeon derselben einzigen Pflanze.	GDT585-C001	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079]: ganze blühende Heilpflanze; im Rahmen [LOCAL_CONTROL:P1003-E0079@1:OT]: danach / neuer Arbeitsgang.	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	EXACT_GDT585_NAME_LABEL_SELECTED	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
2	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	P1003-E0080	f17r	HERBAL	f17r.13	G475-R001	LOCAL_RECORD:G475-R001	G474-B001	LOCAL_BUNDLE:G474-B001	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	NONE	1	GDT582_CONCRETE_LOCAL_CARD	GDT585_GRAMMAR_AWARE_NAME_LABEL	GDT582_EXACT_SLOT_TRACE	[1:oiil=ganze Heilpflanze B|LOCAL_NAME:P1003-E0080:NAME_1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080]	1	LOCAL_NAME:P1003-E0080:NAME_1	oiil	ganze Heilpflanze B	linke Blütenform	[LOCAL_NAME:P1003-E0080:NAME_1:ganze Heilpflanze B=>linke Blütenform]	CATALOGUE	Pflanzenname »oiil«.	Linke Blütenform oiil; daneben als nächste die rechte Blütenform eeeon derselben einzigen Pflanze.	GDT585-C001	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080]: ganze Heilpflanze B.	Pflanzenname »linke Blütenform [oiil]«.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	EXACT_GDT585_NAME_LABEL_SELECTED	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Pflanzenname »linke Blütenform [oiil]«.	Pflanzenname »linke Blütenform [oiil]«.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Pflanzenname »linke Blütenform [oiil]«.	Pflanzenname »linke Blütenform [oiil]«.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
3	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1749	P912-E1749	f67r2	CELESTIAL	f67r2.1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	ykshy	Y+K+Y	3	GDT582_CONCRETE_LOCAL_CARD	GDT582_CONCRETE_LOCAL_CARD	GDT582_EXACT_SLOT_TRACE	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1749@1|LOCAL_ACTION:P912-E1749@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1749@2|LOCAL_ACTION:P912-E1749@2:K] [3:Y=Ringposition|LOCAL_COMPONENT:P912-E1749@3|LOCAL_ACTION:P912-E1749@2:K]	0	NONE	NONE	NONE	NONE	NONE	ORDERED_INSTRUCTION_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	Ordne zu: Ringposition, Ringposition.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Ordne zu: Ringposition, Ringposition.	Ordne zu: Ringposition, Ringposition.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Ordne zu: Ringposition, Ringposition.	Ordne zu: Ringposition, Ringposition.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
4	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1750	P912-E1750	f67r2	CELESTIAL	f67r2.1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	s	S	1	GDT584_POLISHED_LOCAL_CARD	GDT584_POLISHED_LOCAL_CARD	GDT584_EXACT_SLOT_TRACE	[LOCAL_COMPONENT:P912-E1750@1=S:Wähle aus|LOCAL_ACTION:P912-E1750@1:S]	0	NONE	NONE	NONE	NONE	NONE	ORDERED_INSTRUCTION_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	Wähle die Einheit aus.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Wähle die Einheit aus.	Wähle die Einheit aus.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Wähle die Einheit aus.	Wähle die Einheit aus.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
5	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	P912-E1751	f67r2	CELESTIAL	f67r2.1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	aram	AR+AM_ADDR	2	GDT582_CONCRETE_LOCAL_CARD	GDT582_CONCRETE_LOCAL_CARD	GDT582_EXACT_SLOT_TRACE	[1:AR=von der Ausgangsposition|LOCAL_COMPONENT:P912-E1751@1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751] [2:AM_ADDR=an der mittleren Ringstelle|LOCAL_COMPONENT:P912-E1751@2|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]	0	NONE	NONE	NONE	NONE	NONE	COORDINATE_OR_CATALOGUE_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]: von der Ausgangsposition, an der mittleren Ringstelle.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]: von der Ausgangsposition, an der mittleren Ringstelle.	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]: von der Ausgangsposition, an der mittleren Ringstelle.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]: von der Ausgangsposition, an der mittleren Ringstelle.	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]: von der Ausgangsposition, an der mittleren Ringstelle.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
6	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	P912-E1752	f67r2	CELESTIAL	f67r2.2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	ykecho	Y+K+E+CH+O	5	GDT582_CONCRETE_LOCAL_CARD	GDT582_CONCRETE_LOCAL_CARD	GDT582_EXACT_SLOT_TRACE	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1752@1|LOCAL_ACTION:P912-E1752@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1752@2|LOCAL_ACTION:P912-E1752@2:K] [3:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1752@3|LOCAL_ACTION:P912-E1752@2:K] [4:CH=Lies ab|LOCAL_COMPONENT:P912-E1752@4|LOCAL_ACTION:P912-E1752@4:CH] [5:O=in Eintragsform|LOCAL_COMPONENT:P912-E1752@5|LOCAL_ACTION:P912-E1752@4:CH]	0	NONE	NONE	NONE	NONE	NONE	ORDERED_INSTRUCTION_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	Ordne zu: Ringposition, auf Ringstufe I; Lies ab: in Eintragsform.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Ordne zu: Ringposition, auf Ringstufe I; Lies ab: in Eintragsform.	Ordne zu: Ringposition, auf Ringstufe I; Lies ab: in Eintragsform.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Ordne zu: Ringposition, auf Ringstufe I; Lies ab: in Eintragsform.	Ordne zu: Ringposition, auf Ringstufe I; Lies ab: in Eintragsform.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
7	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1753	P912-E1753	f67r2	CELESTIAL	f67r2.2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	ols	OL+S	2	GDT584_POLISHED_LOCAL_CARD	GDT584_POLISHED_LOCAL_CARD	GDT584_EXACT_SLOT_TRACE	[LOCAL_COMPONENT:P912-E1753@1=OL:weiter im selben Arbeitsgang|LOCAL_CONTROL:P912-E1753@1:OL] [LOCAL_COMPONENT:P912-E1753@2=S:Wähle aus|LOCAL_ACTION:P912-E1753@2:S]	0	NONE	NONE	NONE	NONE	NONE	ORDERED_INSTRUCTION_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	Fahre im selben Arbeitsgang fort. Wähle die Einheit aus.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Fahre im selben Arbeitsgang fort. Wähle die Einheit aus.	Fahre im selben Arbeitsgang fort. Wähle die Einheit aus.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Fahre im selben Arbeitsgang fort. Wähle die Einheit aus.	Fahre im selben Arbeitsgang fort. Wähle die Einheit aus.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
8	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	P912-E1754	f67r2	CELESTIAL	f67r2.2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	eesydy	EE+S+Y+D_ADDR+Y	5	GDT584_POLISHED_LOCAL_CARD	GDT584_POLISHED_LOCAL_CARD	GDT584_EXACT_SLOT_TRACE	[LOCAL_COMPONENT:P912-E1754@1=EE:auf Ringstufe II|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@2=S:Wähle aus|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@3=Y:Ringposition|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@4=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@5=Y:Ringposition|LOCAL_ACTION:P912-E1754@2:S]	0	NONE	NONE	NONE	NONE	NONE	ORDERED_INSTRUCTION_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	2	LOCAL_COMPONENT:P912-E1754@3|LOCAL_COMPONENT:P912-E1754@5	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	NO	ACTION_NOUN_RERENDER	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
9	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	P912-E1755	f67r2	CELESTIAL	f67r2.3	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	ey	E+Y	2	GDT582_CONCRETE_LOCAL_CARD	GDT582_CONCRETE_LOCAL_CARD	GDT582_EXACT_SLOT_TRACE	[1:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1755@1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755] [2:Y=Ringposition|LOCAL_COMPONENT:P912-E1755@2|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]	0	NONE	NONE	NONE	NONE	NONE	COORDINATE_OR_CATALOGUE_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]: auf Ringstufe I, Ringposition.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]: auf Ringstufe I, Ringposition.	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]: auf Ringstufe I, Ringposition.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]: auf Ringstufe I, Ringposition.	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]: auf Ringstufe I, Ringposition.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
10	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1756	P912-E1756	f67r2	CELESTIAL	f67r2.3	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	zwei lokale Himmelsraeder	shs	SH+S	2	GDT584_POLISHED_LOCAL_CARD	GDT584_POLISHED_LOCAL_CARD	GDT584_EXACT_SLOT_TRACE	[LOCAL_COMPONENT:P912-E1756@1=SH:Halte die Position fest|LOCAL_ACTION:P912-E1756@1:SH] [LOCAL_COMPONENT:P912-E1756@2=S:Wähle aus|LOCAL_ACTION:P912-E1756@2:S]	0	NONE	NONE	NONE	NONE	NONE	ORDERED_INSTRUCTION_CARD	NOT_APPLICABLE	NONE	NONE	SAME_AS_PRIMARY__NO_NAME_OVERRIDE	Halte die Position fest. Wähle die Einheit aus.	NONE__LOCAL_CARD_GUARD_FORBIDS_RUNNING_SENTENCE_INHERITANCE	UNCHANGED_BY_NAME_LAYER	FIXED_744_LOCAL_CARDS__OWNER_RECORD_BUNDLE_AND_LOCUS_RETAINED__NO_RUNNING_STATEMENT_ATTACHMENT	0	NONE	Halte die Position fest. Wähle die Einheit aus.	Halte die Position fest. Wähle die Einheit aus.	NO	GDT586_BYTE_RETAINED	FIXED_744_LOCAL_CARDS__LOCAL_OWNER_BOUNDARY_RETAINED	Halte die Position fest. Wähle die Einheit aus.	Halte die Position fest. Wähle die Einheit aus.	NO	GDT587_READER_PLUS_EXPLICIT_WRITTEN_CARRIER_MULTIPLICITY
