page_ordinal	physical_page	carrier_assignment_count	exact_selection_other_page_count	same_action_root_other_page_count	register_root_fallback_count	page_private_register_root_count	exact_selection_percent	same_action_lemma_or_better_percent	special_packet_host_count	packet_multiset_foreign_host_count	multiplicity_repair_count	readiness_note	guard
1	f1r	59	38	7	8	6	64.41	76.27	3	0	1	HAS_PAGE_PRIVATE_SOURCE_AIN	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
2	f10r	44	28	11	5	0	63.64	88.64	1	0	1	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
3	f11r	25	20	3	2	0	80.00	92.00	1	1	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
4	f13r	17	16	0	1	0	94.12	94.12	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
5	f17r	10	5	5	0	0	50.00	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
6	f18r	18	16	0	2	0	88.89	88.89	1	1	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
7	f24v	13	10	3	0	0	76.92	100.00	1	0	1	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
8	f55v	24	16	8	0	0	66.67	100.00	3	3	1	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
9	f56r	9	9	0	0	0	100.00	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
10	f67r2	53	31	17	5	0	58.49	90.57	4	2	1	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
11	f68r1	14	14	0	0	0	100.00	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
12	f71v	9	9	0	0	0	100.00	100.00	1	1	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
13	f72r	57	42	14	1	0	73.68	98.25	1	1	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
14	f75r	88	80	8	0	0	90.91	100.00	4	4	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
15	f76r	129	63	11	55	0	48.84	57.36	4	2	1	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
16	f77r	73	70	2	1	0	95.89	98.63	8	7	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
17	f81r	53	46	7	0	0	86.79	100.00	3	1	2	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
18	f81v	50	50	0	0	0	100.00	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
19	f82r	56	51	5	0	0	91.07	100.00	6	3	2	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
20	f83r	101	97	4	0	0	96.04	100.00	2	2	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
21	f88r	25	16	4	5	0	64.00	80.00	4	3	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
22	f88v	24	14	7	3	0	58.33	87.50	3	3	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
23	f89r	62	33	8	21	0	53.23	66.13	11	10	2	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
24	f95v	59	41	7	11	0	69.49	81.36	5	4	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
25	f4r	21	21	0	0	0	100.00	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
26	f20v	27	27	0	0	0	100.00	100.00	2	2	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
27	f31r	22	21	0	1	0	95.45	95.45	5	5	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
28	f66r	59	46	13	0	0	77.97	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
29	f69v	21	21	0	0	0	100.00	100.00	1	0	1	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
30	f70v	21	19	2	0	0	90.48	100.00	0	0	0	NO_PAGE_PRIVATE_REGISTER_ROOT	OLD_PAGE_PROVENANCE_PROFILE__NO_PAGE_REFIT
