selection_ordinal	register	gdt584_rule_id	carrier_root	carrier_root_signature	gdt587_context_family	gdt587_lemma_de	gdt587_object_form_de	gdt587_genitive_form_de	gdt587_packet_rule_id	assignment_count	host_count	page_count	pages	layer_profile	strict_type_mobility	example_carrier_slot_ids	guard
1	BIOLOGICAL	CHD_BIO_TREAT	AIIN	AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	5	5	2	f77r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2424@2|RUNNING:G407-E2502@2|RUNNING:G407-E2516@2|RUNNING:G407-E3751@2|RUNNING:G407-E3776@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
2	BIOLOGICAL	CHD_BIO_TREAT	AIIN	Y+AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	des Stationsmaßes	DEFAULT_GDT584_OBJECT_COMPOSITION	11	10	4	f76r|f77r|f81r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1869@1|RUNNING:G407-E2044@2|RUNNING:G407-E2369@2|RUNNING:G407-E2458@2|RUNNING:G407-E2610@2|RUNNING:G407-E2850@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
3	BIOLOGICAL	CHD_BIO_TREAT	AIN	AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	3	3	3	f76r|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1894@2|RUNNING:G407-E3313@2|RUNNING:G407-E3653@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
4	BIOLOGICAL	CHD_BIO_TREAT	AIN	Y+AIN	BIOLOGICAL_PART_OR_PORTION	Teil	den Teil	des Teils	BIOLOGICAL_BODY_PART	5	4	4	f75r|f76r|f77r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1689@1|RUNNING:G407-E2293@2|RUNNING:G407-E2294@1|RUNNING:G407-E2614@2|RUNNING:G407-E3686@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
5	BIOLOGICAL	CHD_BIO_TREAT	OR	OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	1	1	1	f76r	RUNNING_ATOM	SINGLE_PAGE	RUNNING:G407-E2359@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
6	BIOLOGICAL	CHD_BIO_TREAT	OR	Y+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	der Stationseinheit	DEFAULT_GDT584_OBJECT_COMPOSITION	9	8	5	f75r|f76r|f77r|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1559@1|RUNNING:G407-E1619@1|RUNNING:G407-E1832@2|RUNNING:G407-E2187@3|RUNNING:G407-E2189@2|RUNNING:G407-E2367@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
7	BIOLOGICAL	CHD_BIO_TREAT	Y	Y+AIN	BIOLOGICAL_BODY_OR_STATION	Körper	den Körper	des Körpers	BIOLOGICAL_BODY_PART	4	4	4	f75r|f76r|f77r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1686@2|RUNNING:G407-E2292@2|RUNNING:G407-E2615@2|RUNNING:G407-E3687@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
8	BIOLOGICAL	CHD_BIO_TREAT	Y	Y	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	130	120	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1425@3|RUNNING:G407-E1429@2|RUNNING:G407-E1437@2|RUNNING:G407-E1480@2|RUNNING:G407-E1484@2|RUNNING:G407-E1505@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
9	BIOLOGICAL	CHD_BIO_TREAT	Y	Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	12	10	4	f76r|f77r|f81r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1868@2|RUNNING:G407-E1869@2|RUNNING:G407-E2045@2|RUNNING:G407-E2368@2|RUNNING:G407-E2459@2|RUNNING:G407-E2611@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
10	BIOLOGICAL	CHD_BIO_TREAT	Y	Y+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	des Stationsansatzes	DEFAULT_GDT584_OBJECT_COMPOSITION	8	8	5	f75r|f76r|f77r|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1557@2|RUNNING:G407-E1618@2|RUNNING:G407-E1831@2|RUNNING:G407-E2186@2|RUNNING:G407-E2365@2|RUNNING:G407-E2541@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
11	BIOLOGICAL	SH_BIO_BATHE	AIIN	AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Badfüllung	die Badfüllung	der Badfüllung	BIOLOGICAL_BATH_FILL	5	5	3	f77r|f82r|f83r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2426@3|RUNNING:G407-E2648@2|RUNNING:G407-E3218@3|RUNNING:G407-E3441@3|RUNNING:G407-E3621@3	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
12	BIOLOGICAL	SH_BIO_BATHE	AIIN	Y+AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Badfüllung	die Badfüllung	der Badfüllung	BIOLOGICAL_BATH_FILL	6	6	2	f77r|f82r	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E2405@2|RUNNING:G407-E2509@2|RUNNING:G407-E2636@2|RUNNING:G407-E2651@1|RUNNING:G407-E3183@1|RUNNING:G407-E3342@1	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
13	BIOLOGICAL	SH_BIO_BATHE	AIN	AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	DEFAULT_GDT584_OBJECT_COMPOSITION	2	2	2	f75r|f81v	RUNNING_ATOM	MULTI_PAGE	RUNNING:G407-E1828@1|RUNNING:G407-E3112@2	OBSERVED_STRICT_SELECTION_SIGNATURE_ONLY
