repair_ordinal	reader_unit_id	primary_governor_key	physical_page	register	gdt587_packet_rule_id	written_carrier_slot_ids	written_root_sequence	written_root_multiset	carrier_count_trace_de	collapsed_written_slot_count	gdt587_reader_clause_de	gdt588_count_safe_clause_de	count_interpretation	guard
1	G407-S003	ACTION:G407-E0059@4:T	f1r	SOURCE_SECTION_T	SOURCE_PART_OF_MATERIAL	RUNNING:G407-E0059@5|RUNNING:G407-E0061@1|RUNNING:G407-E0062@1	Y+Y+AIN	Y*2+AIN*1	Arbeitsgut ×2; Teilmenge ×1	1	Lege die Teilmenge des Arbeitsmaterials fest	Lege [Arbeitsmaterial ×2; Teilmenge] fest	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
2	G407-S009	ACTION:G407-E0265@1:T	f10r	HERBAL	HP_MEASURE_FOR_MATERIAL	RUNNING:G407-E0265@2|RUNNING:G407-E0266@1|RUNNING:G407-E0267@2	AIIN+Y+Y	Y*2+AIIN*1	Pflanzenmaterial ×2; Auszugsmenge ×1	1	Stelle die Auszugsmenge für das Pflanzenmaterial an der Pflanzen-Arbeitsstelle ein	Stelle [Auszugsmenge; Pflanzenmaterial ×2] an der Pflanzen-Arbeitsstelle ein	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
3	G407-S031	ACTION:G407-E0636@4:S	f24v	HERBAL	HP_EXTRACT_OF_MATERIAL	RUNNING:G407-E0637@3|RUNNING:G407-E0638@1|RUNNING:G407-E0638@2	OR+OR+AIIN	AIIN*1+OR*2	Pflanzenauszug ×1; Pflanzenansatz ×2	1	Seihe den Pflanzenauszug aus dem Pflanzenansatz in Zubereitungsform, auf Grad I, an der Pflanzen-Arbeitsstelle und über den Materialkontakt ab	Seihe [Pflanzenauszug; Pflanzenansatz ×2] in Zubereitungsform, auf Grad I, an der Pflanzen-Arbeitsstelle und über den Materialkontakt ab	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
4	G407-S037	ACTION:G407-E0792@1:S	f55v	HERBAL	HP_EXTRACT_OF_MATERIAL	RUNNING:G407-E0794@1|RUNNING:G407-E0795@1	AIIN+AIIN	AIIN*2	Pflanzenauszug ×2	1	Seihe den Pflanzenauszug vom Ausgangsmaterial oder -gefäß und über den Materialkontakt ab	Seihe [Pflanzenauszug ×2] vom Ausgangsmaterial oder -gefäß und über den Materialkontakt ab	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
5	G407-S047	ACTION:G407-E0955@2:T	f67r2	CELESTIAL	CELESTIAL_POSITION_SEGMENT_VALUE	RUNNING:G407-E0955@1|RUNNING:G407-E0955@3|RUNNING:G407-E0956@1|RUNNING:G407-E0957@1	Y+OR+AIIN+OR	Y*1+AIIN*1+OR*2	Ringposition ×1; Positionswert ×1; Ringsegment ×2	1	Stelle die Ringposition des Ringsegments auf den Positionswert ein	Stelle [Ringposition; Ringsegment ×2; Positionswert] ein	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
6	G407-S287	ACTION:G407-E2292@1:CHD	f76r	BIOLOGICAL	BIOLOGICAL_BODY_PART	RUNNING:G407-E2292@2|RUNNING:G407-E2293@2|RUNNING:G407-E2294@1	Y+AIN+AIN	Y*1+AIN*2	Körper ×1; Teil ×2	1	Behandle den Körperteil	Behandle [Körper; Teil ×2]	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
7	G407-S425	ACTION:G407-E2858@1:S	f81r	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	RUNNING:G407-E2859@1|RUNNING:G407-E2860@2	Y+Y	Y*2	Strom ×2	1	Leite den Strom in Anwendungsform, auf der Anwendungsstufe und über den Stationskontakt oder die Leitung um	Leite [Strom ×2] in Anwendungsform, auf der Anwendungsstufe und über den Stationskontakt oder die Leitung um	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
8	G407-S440	ACTION:G407-E2920@3:S	f81r	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	RUNNING:G407-E2922@1|RUNNING:G407-E2923@1|RUNNING:G407-E2923@3	OR+OR+AIIN	AIIN*1+OR*2	Mengenangabe ×1; Beckeninhalt ×2	1	Leite die angegebene Menge des Beckeninhalts in der Innenform und von der Ausgangsstation oder aus dem Ausgangsbecken um	Leite [Beckeninhalt ×2; Mengenangabe] in der Innenform und von der Ausgangsstation oder aus dem Ausgangsbecken um	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
9	G407-S531	ACTION:G407-E3341@4:SH	f82r	BIOLOGICAL	BIOLOGICAL_BATH_FILL	RUNNING:G407-E3341@6|RUNNING:G407-E3342@1|RUNNING:G407-E3343@1	Y+AIIN+Y	Y*2+AIIN*1	Stationsansatz ×2; Badfüllung ×1	1	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	Halte im Bad [Stationsansatz ×2; Badfüllung] auf Grad I und über den Stationskontakt oder die Leitung	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
10	G407-S670	ACTION:G407-E4124@4:S	f89r	PHARMA	HP_EXTRACT_OF_MATERIAL	RUNNING:G407-E4125@1|RUNNING:G407-E4126@1|RUNNING:G407-E4127@3|RUNNING:G407-E4128@1	AIIN+Y+AIIN+Y	Y*2+AIIN*2	Drogenmaterial ×2; Arzneiauszug ×2	2	Seihe den Arzneiauszug des Drogenmaterials in Arzneiform, auf Grad I, als neuer Arzneiansatz und über den Gefäßkontakt ab	Seihe [Arzneiauszug ×2; Drogenmaterial ×2] in Arzneiform, auf Grad I, als neuer Arzneiansatz und über den Gefäßkontakt ab	×N_COUNTS_WRITTEN_CARRIERS__NOT_REAL_OBJECTS	FLUENT_CHANNEL_REPAIR_ONLY__EXACT_LEDGER_AND_TRACE_ALREADY_COMPLETE
