mobility_ordinal	carrier_slot_id	primary_governor_key	statement_or_record_id	physical_page	layer	register	gdt584_rule_id	carrier_root	carrier_root_signature	gdt587_context_family	gdt587_lemma_de	gdt587_packet_rule_id	strict_exact_foreign_page_count	strict_exact_foreign_pages	same_action_root_foreign_page_count	same_action_root_foreign_pages	same_action_root_lemma_foreign_pages	same_register_root_foreign_page_count	same_register_root_foreign_pages	same_register_root_lemma_foreign_pages	cross_register_same_root_lemma_foreign_pages	transfer_tier	transfer_tier_short	tier_supporting_pages	foreign_example_carrier_slot_id	same_layer_transfer_tier	same_layer_supporting_pages	future_intake_action	guard
1	RUNNING:G407-E0004@3	ACTION:G407-E0004@2:T	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	1	f66r	NONE	NONE	SAME_REGISTER_ROOT_OTHER_PAGE	R	f66r	RUNNING:G515-E0357@5	SAME_REGISTER_ROOT_OTHER_PAGE	f66r	USE_REGISTER_ROOT_FALLBACK_UNLESS_CELL_OBSERVED	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
2	RUNNING:G407-E0006@2	ACTION:G407-E0006@1:SH	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	OR	Y+OR	SOURCE_BATCH	Ansatz	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0471@2	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
3	RUNNING:G407-E0006@3	ACTION:G407-E0006@1:SH	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y+OR	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0470@5	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
4	RUNNING:G407-E0008@1	ACTION:G407-E0007@5:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0480@2	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
5	RUNNING:G407-E0010@4	ACTION:G407-E0010@1:SH	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	SH_SOURCE_REST	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0328@3	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
6	RUNNING:G407-E0011@2	ACTION:G407-E0011@1:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	OR	Y+OR	SOURCE_BATCH	Ansatz	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	1	f66r	f66r	f66r	SAME_REGISTER_ROOT_OTHER_PAGE	R	f66r	RUNNING:G515-E0386@2	SAME_REGISTER_ROOT_OTHER_PAGE	f66r	USE_REGISTER_ROOT_FALLBACK_UNLESS_CELL_OBSERVED	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
7	RUNNING:G407-E0011@3	ACTION:G407-E0011@1:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	Y+OR	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	1	f66r	f66r	1	f66r	f66r	f66r	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	C	f66r	RUNNING:G515-E0480@2	SAME_ACTION_ROOT_LEMMA_OTHER_PAGE	f66r	REUSE_ACTION_ROOT_LEMMA_REBUILD_PACKET_COUNTS	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
8	RUNNING:G407-E0016@3	ACTION:G407-E0016@2:T	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIIN	AIIN	SOURCE_LIQUID_OR_MEASURE	Flüssigkeitsmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	1	f66r	NONE	NONE	SAME_REGISTER_ROOT_OTHER_PAGE	R	f66r	RUNNING:G515-E0357@5	SAME_REGISTER_ROOT_OTHER_PAGE	f66r	USE_REGISTER_ROOT_FALLBACK_UNLESS_CELL_OBSERVED	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
9	RUNNING:G407-E0021@1	ACTION:G407-E0020@2:T	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	AIN	AIN	SOURCE_PART	Teilmenge	DEFAULT_GDT584_OBJECT_COMPOSITION	0	NONE	0	NONE	NONE	0	NONE	NONE	f75r|f76r	PAGE_PRIVATE_REGISTER_ROOT	P	NONE	RUNNING:G407-E1542@2	PAGE_PRIVATE_REGISTER_ROOT	NONE	KEEP_CROSS_REGISTER_RIVAL_AND_PORTABLE_CORE	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
10	RUNNING:G407-E0022@2	ACTION:G407-E0022@1:S	G407-S001	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	Y	Y	SOURCE_ACTION_OBJECT	Arbeitsmaterial	DEFAULT_GDT584_OBJECT_COMPOSITION	1	f66r	1	f66r	f66r	1	f66r	f66r	f66r	EXACT_SELECTION_OTHER_PAGE	E	f66r	RUNNING:G515-E0480@2	EXACT_SELECTION_OTHER_PAGE	f66r	REUSE_EXACT_SELECTION_AND_PACKET	FOREIGN_PAGE_PROVENANCE_ONLY__NOT_INDEPENDENT_SEMANTIC_CONFIRMATION
