packet_host_ordinal	primary_governor_key	reader_unit_id	source_event_or_card_id	physical_page	layer_profile	register	gdt584_rule_id	gdt587_packet_rule_id	written_carrier_slot_count	distinct_root_count	written_root_sequence	written_root_multiset	presence_signature	lemma_count_trace	carrier_count_trace_de	repeated_root	packet_multiset_foreign_pages	ordered_sequence_foreign_pages	multiset_transfer_status	gdt587_reader_clause_de	count_safe_action	guard
1	ACTION:G407-E0028@4:S	G407-S001	G407-E0029	f1r	RUNNING_ATOM	SOURCE_SECTION_T	S_SOURCE_SORT_OUT	SOURCE_LIQUID_FROM_MATERIAL	2	2	AIIN+Y	Y*1+AIIN*1	Y+AIIN	Y*1=Arbeitsmaterial|AIIN*1=Arbeitsflüssigkeit	Arbeitsmaterial ×1; Arbeitsflüssigkeit ×1	NO	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Sondere die Arbeitsflüssigkeit vom Arbeitsmaterial an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß aus	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
2	ACTION:G407-E0059@4:T	G407-S003	G407-E0059	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	SOURCE_PART_OF_MATERIAL	3	2	Y+Y+AIN	Y*2+AIN*1	Y+AIN	Y*2=Arbeitsgut|AIN*1=Teilmenge	Arbeitsgut ×2; Teilmenge ×1	YES	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Lege die Teilmenge des Arbeitsmaterials fest	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
3	ACTION:G407-E0076@2:T	G407-S005	G407-E0076	f1r	RUNNING_ATOM	SOURCE_SECTION_T	T_SOURCE_FIX	SOURCE_PART_OF_MATERIAL	2	2	Y+AIN	Y*1+AIN*1	Y+AIN	Y*1=Arbeitsgut|AIN*1=Teilmenge	Arbeitsgut ×1; Teilmenge ×1	NO	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Lege die Teilmenge des Arbeitsmaterials fest	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
4	ACTION:G407-E0265@1:T	G407-S009	G407-E0265	f10r	RUNNING_ATOM	HERBAL	T_HP_MEASURE_SET	HP_MEASURE_FOR_MATERIAL	3	2	AIIN+Y+Y	Y*2+AIIN*1	Y+AIIN	Y*2=Pflanzenmaterial|AIIN*1=Auszugsmenge	Pflanzenmaterial ×2; Auszugsmenge ×1	YES	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Stelle die Auszugsmenge für das Pflanzenmaterial an der Pflanzen-Arbeitsstelle ein	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
5	ACTION:G407-E0360@1:S	G407-S011	G407-E0361	f11r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	2	AIIN+Y	Y*1+AIIN*1	Y+AIIN	Y*1=Pflanzenmaterial|AIIN*1=Pflanzenauszug	Pflanzenmaterial ×1; Pflanzenauszug ×1	NO	f31r|f89r	f31r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug des Pflanzenmaterials ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
6	ACTION:G407-E0586@1:S	G407-S029	G407-E0586	f18r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f20v|f31r|f55v|f88r|f88v|f89r|f95v	f20v|f31r|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
7	ACTION:G407-E0636@4:S	G407-S031	G407-E0637	f24v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	3	2	OR+OR+AIIN	AIIN*1+OR*2	AIIN+OR	AIIN*1=Pflanzenauszug|OR*2=Pflanzenansatz	Pflanzenauszug ×1; Pflanzenansatz ×2	YES	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Seihe den Pflanzenauszug aus dem Pflanzenansatz in Zubereitungsform, auf Grad I, an der Pflanzen-Arbeitsstelle und über den Materialkontakt ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
8	ACTION:G407-E0708@1:S	G407-S034	G407-E0709	f55v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f31r|f88r|f88v|f89r|f95v	f18r|f20v|f31r|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug vom Ausgangsmaterial oder -gefäß ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
9	ACTION:G407-E0768@1:S	G407-S036	G407-E0769	f55v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f31r|f88r|f88v|f89r|f95v	f18r|f20v|f31r|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
10	ACTION:G407-E0792@1:S	G407-S037	G407-E0794	f55v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	1	AIIN+AIIN	AIIN*2	AIIN	AIIN*2=Pflanzenauszug	Pflanzenauszug ×2	YES	f89r	f89r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug vom Ausgangsmaterial oder -gefäß und über den Materialkontakt ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
