rule_gate_ordinal	rule_id	gate_class	parent_rule_id	action_root	registers	priority	selection_requirements	old_action_occurrence_count	old_carrier_slot_count	old_carrier_host_count	future_runtime_action	guard
1	T_SOURCE_FIX	AUTO_CONTEXT	T_SOURCE_FIX	T	SOURCE_SECTION_T	10	REGISTER_AND_ACTION_ROOT_ONLY	48	31	27	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
2	T_CELESTIAL_SET	AUTO_CONTEXT	T_CELESTIAL_SET	T	CELESTIAL	20	REGISTER_AND_ACTION_ROOT_ONLY	73	71	52	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
3	T_AFTER_SH_COOL	AUTO_CONTEXT	T_AFTER_SH_COOL	T	HERBAL|BIOLOGICAL|PHARMA	30	previous_actions=SH	12	9	8	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
4	T_HP_BEFORE_CHD_DRY	AUTO_CONTEXT	T_HP_BEFORE_CHD_DRY	T	HERBAL|PHARMA	40	next_actions=CHD	3	1	1	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
5	T_HP_BEFORE_SH_WARM	AUTO_CONTEXT	T_HP_BEFORE_SH_WARM	T	HERBAL|PHARMA	50	next_actions=SH	10	2	2	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
6	T_PHYSICAL_GRADE_TEMPER	AUTO_CONTEXT	T_PHYSICAL_GRADE_TEMPER	T	HERBAL|BIOLOGICAL|PHARMA	60	direct_any=E,EE,EEE	51	40	31	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
7	T_HP_FORM_SET	AUTO_CONTEXT	T_HP_FORM_SET	T	HERBAL|PHARMA	70	direct_any=O,IIN,DA	13	10	7	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
8	T_BIO_STATION_REGULATE	AUTO_CONTEXT	T_BIO_STATION_REGULATE	T	BIOLOGICAL	80	physical_pages_not=f76r	54	50	38	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
9	T_HP_MEASURE_SET	AUTO_CONTEXT	T_HP_MEASURE_SET	T	HERBAL|PHARMA	90	direct_any=AIIN,AIN,OR,AL,AR,L,AIR,A_ADDR,D_ADDR,S_ADDR;direct_none=Y	19	12	10	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
10	T_PHYSICAL_BROAD	AUTO_CONTEXT	T_PHYSICAL_BROAD	T	HERBAL|BIOLOGICAL|PHARMA	99	REGISTER_AND_ACTION_ROOT_ONLY	101	123	77	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
11	SH_CH_BRIDGE_HOLD	SOURCE_ID_BOUND	SH_CH_BRIDGE_HOLD	SH	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	110	source_ids=G407-E0068,G407-E0118,G407-E0200,G407-E0298,G407-E0494,G407-E0682,G407-E1077,G407-E1963,G407-E2361,G407-E2533,G407-E3497,G407-E3858	12	4	2	DO_NOT_REUSE_OLD_SOURCE_ID__FALL_THROUGH_TO_NEXT_RULE	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
12	SH_CELESTIAL_FIX	AUTO_CONTEXT	SH_CELESTIAL_FIX	SH	CELESTIAL	120	REGISTER_AND_ACTION_ROOT_ONLY	89	40	33	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
13	SH_BIO_BATHE	AUTO_CONTEXT	SH_BIO_BATHE	SH	BIOLOGICAL	130	physical_pages_not=f76r;host_any=Y,AIIN,AIN,OR,E,EE,EEE,O,IIN,LOCAL_CHAR_F	254	140	105	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
14	SH_HP_EXTRACT_STEEP	AUTO_CONTEXT	SH_HP_EXTRACT_STEEP	SH	HERBAL|PHARMA	140	host_any=AIIN	17	31	17	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
15	SH_HP_SOAK	AUTO_CONTEXT	SH_HP_SOAK	SH	HERBAL|PHARMA	150	host_any_groups=Y/AIN/OR+E/EE/EEE/O/IIN/LOCAL_CHAR_F	40	39	35	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
16	SH_SOURCE_REST	AUTO_CONTEXT	SH_SOURCE_REST	SH	SOURCE_SECTION_T	160	REGISTER_AND_ACTION_ROOT_ONLY	110	56	42	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
17	SH_REST_HOLD	AUTO_CONTEXT	SH_REST_HOLD	SH	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	169	REGISTER_AND_ACTION_ROOT_ONLY	272	72	65	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
18	CHD_CELESTIAL_CALCULATE	AUTO_CONTEXT	CHD_CELESTIAL_CALCULATE	CHD	CELESTIAL	170	REGISTER_AND_ACTION_ROOT_ONLY	18	13	11	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
19	CHD_BIO_TREAT	AUTO_CONTEXT	CHD_BIO_TREAT	CHD	BIOLOGICAL	180	REGISTER_AND_ACTION_ROOT_ONLY	261	188	151	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
20	CHD_HP_DRY_GRIND	AUTO_CONTEXT	CHD_HP_DRY_GRIND	CHD	HERBAL|PHARMA	190	host_any=Y,AIN,OR,LOCAL_CHAR_F;host_none=AIIN	23	0	0	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
21	CHD_REST_PROCESS	AUTO_CONTEXT	CHD_REST_PROCESS	CHD	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	199	REGISTER_AND_ACTION_ROOT_ONLY	39	18	16	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
22	S_BIO_CHD_CARRIER_SELECT	SOURCE_ID_BOUND	S_BIO_CHD_CARRIER_SELECT	S	BIOLOGICAL	200	source_ids=G407-E1883	1	0	0	DO_NOT_REUSE_OLD_SOURCE_ID__FALL_THROUGH_TO_NEXT_RULE	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
23	S_CELESTIAL_SELECT	AUTO_CONTEXT	S_CELESTIAL_SELECT	S	CELESTIAL	210	REGISTER_AND_ACTION_ROOT_ONLY	91	51	40	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
24	S_BIO_DIVERT	AUTO_CONTEXT	S_BIO_DIVERT	S	BIOLOGICAL	220	host_any=AL,AR,L,AIR	44	19	12	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
25	S_HP_STRAIN	AUTO_CONTEXT	S_HP_STRAIN	S	HERBAL|PHARMA	230	host_any=AIIN	34	44	33	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
26	S_HP_SIEVE	AUTO_CONTEXT	S_HP_SIEVE	S	HERBAL|PHARMA	240	host_any=AIN,OR,LOCAL_CHAR_F	16	18	11	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
27	S_HP_SEPARATE	AUTO_CONTEXT	S_HP_SEPARATE	S	HERBAL|PHARMA	250	host_any=Y	15	17	15	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
28	S_SOURCE_SORT_OUT	AUTO_CONTEXT	S_SOURCE_SORT_OUT	S	SOURCE_SECTION_T	260	REGISTER_AND_ACTION_ROOT_ONLY	39	19	16	AUTO_SELECT_FROM_COMPLETE_HOST	FIXED_GDT583_RULE_GATE__NO_NEW_SURFACE_OR_ACTION_SENSE
