matrix_ordinal	register	automatic_gdt583_rule_id	action_root	rule_priority	carrier_root	portable_core	matrix_state	observed_assignment_count	observed_host_count	observed_page_count	observed_pages	observed_lemmas_de	fallback_lemma_de	fallback_object_form_de	fallback_genitive_form_de	selection_requirements	guard
1	SOURCE_SECTION_T	T_SOURCE_FIX	T	10	Y	POSTEN	OBSERVED_CELL	21	19	2	f1r|f66r	Arbeitsgut	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
2	SOURCE_SECTION_T	T_SOURCE_FIX	T	10	AIIN	WERT	OBSERVED_CELL	6	6	1	f1r	Flüssigkeitsmenge	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
3	SOURCE_SECTION_T	T_SOURCE_FIX	T	10	AIN	ANTEIL	OBSERVED_CELL	3	3	1	f1r	Teilmenge	Teilmenge	die Teilmenge	der Teilmenge	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
4	SOURCE_SECTION_T	T_SOURCE_FIX	T	10	OR	EINHEIT	OBSERVED_CELL	1	1	1	f1r	Ansatz	Ansatz	den Ansatz	des Ansatzes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
5	SOURCE_SECTION_T	SH_SOURCE_REST	SH	160	Y	POSTEN	OBSERVED_CELL	35	31	2	f1r|f66r	Arbeitsmaterial	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
6	SOURCE_SECTION_T	SH_SOURCE_REST	SH	160	AIIN	WERT	OBSERVED_CELL	8	8	2	f1r|f66r	Arbeitsflüssigkeit	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
7	SOURCE_SECTION_T	SH_SOURCE_REST	SH	160	AIN	ANTEIL	OBSERVED_CELL	3	2	1	f1r	Teilmenge	Teilmenge	die Teilmenge	der Teilmenge	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
8	SOURCE_SECTION_T	SH_SOURCE_REST	SH	160	OR	EINHEIT	OBSERVED_CELL	10	8	2	f1r|f66r	Ansatz	Ansatz	den Ansatz	des Ansatzes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
9	SOURCE_SECTION_T	SH_REST_HOLD	SH	169	Y	POSTEN	KEEP_BROAD	0	0	0	NONE	NONE	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
10	SOURCE_SECTION_T	SH_REST_HOLD	SH	169	AIIN	WERT	KEEP_BROAD	0	0	0	NONE	NONE	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	REGISTER_AND_ACTION_ROOT_ONLY	DECLARED_AUTO_RULE_REGISTER_ROOT_CONTRACT__RUNTIME_STILL_USES_COMPLETE_HOST
