fallback_ordinal	register	carrier_root	portable_core	decision	lemma_de	object_form_de	genitive_form_de	observed_assignment_count	observed_action_rule_count	observed_lemma_inventory_de	guard
1	SOURCE_SECTION_T	Y	POSTEN	KEEP_BROAD	Arbeitsgut	das Arbeitsgut	des Arbeitsguts	79	4	Arbeitsgut|Arbeitsmaterial	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
2	SOURCE_SECTION_T	AIIN	WERT	KEEP_BROAD	Flüssigkeitsmaß	das Flüssigkeitsmaß	des Flüssigkeitsmaßes	21	3	Arbeitsflüssigkeit|Flüssigkeitsmenge	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
3	SOURCE_SECTION_T	AIN	ANTEIL	REGISTER_INVARIANT	Teilmenge	die Teilmenge	der Teilmenge	6	2	Teilmenge	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
4	SOURCE_SECTION_T	OR	EINHEIT	REGISTER_INVARIANT	Ansatz	den Ansatz	des Ansatzes	12	3	Ansatz	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
5	HERBAL	Y	POSTEN	REGISTER_INVARIANT	Pflanzenmaterial	das Pflanzenmaterial	des Pflanzenmaterials	176	19	Pflanzenmaterial	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
6	HERBAL	AIIN	WERT	KEEP_BROAD	Pflanzenauszug	den Pflanzenauszug	des Pflanzenauszugs	53	6	Auszugsmenge|Pflanzenauszug	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
7	HERBAL	AIN	ANTEIL	REGISTER_INVARIANT	Pflanzenportion	die Pflanzenportion	der Pflanzenportion	16	9	Pflanzenportion	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
8	HERBAL	OR	EINHEIT	KEEP_BROAD	Pflanzen- oder Arbeitseinheit	die Pflanzen- oder Arbeitseinheit	der Pflanzen- oder Arbeitseinheit	44	15	Arbeitseinheit|Pflanzenansatz|Pflanzeneinheit	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
9	CELESTIAL	Y	POSTEN	REGISTER_INVARIANT	Ringposition	die Ringposition	der Ringposition	123	4	Ringposition	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
10	CELESTIAL	AIIN	WERT	REGISTER_INVARIANT	Positionswert	den Positionswert	des Positionswerts	32	4	Positionswert	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
11	CELESTIAL	AIN	ANTEIL	REGISTER_INVARIANT	Sektoranteil	den Sektoranteil	des Sektoranteils	6	3	Sektoranteil	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
12	CELESTIAL	OR	EINHEIT	REGISTER_INVARIANT	Ringsegment	das Ringsegment	des Ringsegments	14	3	Ringsegment	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
13	BIOLOGICAL	Y	POSTEN	KEEP_BROAD	Stationsansatz	den Stationsansatz	des Stationsansatzes	406	9	Körper|Stationsansatz|Strom	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
14	BIOLOGICAL	AIIN	WERT	KEEP_BROAD	Stations- oder Badmaß	das Stations- oder Badmaß	des Stations- oder Badmaßes	62	6	Badfüllung|Mengenangabe|Stationsmaß	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
15	BIOLOGICAL	AIN	ANTEIL	KEEP_BROAD	Anwendungsportion	die Anwendungsportion	der Anwendungsportion	44	8	Anwendungsportion|Teil|Teilmenge	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
16	BIOLOGICAL	OR	EINHEIT	KEEP_BROAD	Becken- oder Körpereinheit	die Becken- oder Körpereinheit	der Becken- oder Körpereinheit	38	6	Badeinheit|Beckeninhalt|Stationseinheit	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
17	PHARMA	Y	POSTEN	REGISTER_INVARIANT	Drogenmaterial	das Drogenmaterial	des Drogenmaterials	58	13	Drogenmaterial	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
18	PHARMA	AIIN	WERT	KEEP_BROAD	Dosis- oder Mengenmaß	das Dosis- oder Mengenmaß	des Dosis- oder Mengenmaßes	32	7	Arzneiauszug|Dosismaß	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
19	PHARMA	AIN	ANTEIL	REGISTER_INVARIANT	Zutatenportion	die Zutatenportion	der Zutatenportion	5	5	Zutatenportion	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
20	PHARMA	OR	EINHEIT	KEEP_BROAD	Gefäß- oder Arbeitseinheit	die Gefäß- oder Arbeitseinheit	der Gefäß- oder Arbeitseinheit	16	7	Arzneiansatz|Materialeinheit	REGISTER_ROOT_FALLBACK_ONLY__NO_UNSEEN_ACTION_CELL_INVENTION
