statement_order	statement_id	record_unit_id	page	physical_loci	visible_surface_sequence	owner_sequence	owner_status_sequence	literal_atom_reading_de	creative_practical_reading_de	connection_rule
41	B2-S001	B2	f82r	f82r.2	dchedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	DIRECT_VISIBLE_OWNER	Vorgang=umsetzen; Schluss	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	SINGLE_LOCAL_OWNER
42	B2-S002	B2	f82r	f82r.2	qolchedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE_OWNER	Vorgang=weiterführen→umsetzen; Reihenfolge=weiter; Schluss	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	SINGLE_LOCAL_OWNER
43	B2-S003	B2	f82r	f82r.2	qokain dy qokeedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE_OWNER	Vorgang=ansetzen; Posten=Posten; Wert=Anteil || Vorgang=ansetzen; Grad=länger; Schluss	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	SINGLE_LOCAL_OWNER
44	B2-S004	B2	f82r	f82r.2|f82r.3	qokal lcheckhy lched qokeey lcheckhedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE_OWNER	Vorgang=ansetzen; Ziel=gesetzt || Vorgang=abführen→durchleiten; Posten=Posten || Vorgang=abführen→umsetzen || Vorgang=ansetzen; Posten=Posten; Grad=länger || Vorgang=abführen→trennen; Schluss	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	SINGLE_LOCAL_OWNER
45	B2-S005	B2	f82r	f82r.3|f82r.4	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE_OWNER	Vorgang=ansetzen; Posten=Posten; Ziel=gesetzt || Vorgang=sammeln; Wert=Sollmaß || Vorgang=durchleiten; Posten=Posten || Vorgang=ansetzen; Wert=Sollmaß || Vorgang=ansetzen; Wert=Sollmaß || Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Zustand=bereit || Vorgang=wärmen; Posten=Posten; Grad=länger || Vorgang=abführen; Schluss	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.	SINGLE_LOCAL_OWNER
46	B2-S006	B2	f82r	f82r.4	oteey qokal sheckhy qoky	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERITED_VISIBLE_OWNER	Vorgang=folgen→ansetzen; Reihenfolge=danach; Posten=Posten; Ziel=gesetzt; Grad=länger || Vorgang=durchleiten; Posten=Posten; Grad=kurz || Vorgang=ansetzen; Posten=Posten	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	SINGLE_LOCAL_OWNER
47	B2-S007	B2	f82r	f82r.7	dshedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	DIRECT_VISIBLE_OWNER	Vorgang=absetzen; Grad=kurz; Schluss	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	SINGLE_LOCAL_OWNER
48	B2-S008	B2	f82r	f82r.7	sotaiin qokar shedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERITED_VISIBLE_OWNER	Vorgang=folgen→ansetzen; Reihenfolge=danach; Quelle=gesetzt; Wert=Sollmaß || Vorgang=absetzen; Grad=kurz; Schluss	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	SINGLE_LOCAL_OWNER
49	B2-S009	B2	f82r	f82r.7	solshedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERITED_VISIBLE_OWNER	Vorgang=weiterführen→absetzen; Reihenfolge=weiter; Schluss	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	SINGLE_LOCAL_OWNER
50	B2-S010	B2	f82r	f82r.7	qokeey qoky ls cheey	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERITED_VISIBLE_OWNER	Vorgang=ansetzen; Posten=Posten; Grad=länger || Vorgang=ansetzen; Posten=Posten || Vorgang=abführen; Posten=Ergebnis; Zustand=Ergebnis	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	SINGLE_LOCAL_OWNER
51	B2-S011	B2	f82r	f82r.19	okain char okain qokeedy	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	CREATIVE_VISIBLE_OWNER	Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Quelle=gesetzt; Wert=Anteil || Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Wert=Anteil || Am Besitzer Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken: Vorgang=ansetzen; Grad=länger; Schluss	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	SINGLE_LOCAL_OWNER
