family	entry_shell	exercise_frame	literal_backread	surface_registered
Y	CHE	checthy chey daiin	Bereit | Diesposten | Sollmaß	YES
Y	CH	checthy chy daiin	Bereit | Diesposten | Sollmaß	YES
Y	D	checthy dy daiin	Bereit | Diesposten | Sollmaß	YES
Y	SH	checthy shy daiin	Bereit | Diesposten | Sollmaß	YES
Y	S	checthy sy daiin	Bereit | Diesposten | Sollmaß	YES
Y	BARE	checthy y daiin	Bereit | Diesposten | Sollmaß	YES
AIIN	BARE	dy aiin shckhy	Diesposten | Sollmaß | durchleiten	YES
AIIN	CH	dy chaiin shckhy	Diesposten | Sollmaß | durchleiten	YES
AIIN	D	dy daiin shckhy	Diesposten | Sollmaß | durchleiten	YES
AIIN	S	dy saiin shckhy	Diesposten | Sollmaß | durchleiten	YES
AIIN	T	dy taiin shckhy	Diesposten | Sollmaß | durchleiten	YES
