event_serial	event_id	family	core_value_de	surface	entry_shell	page	locus	field_id	statement_id	field_ordinal	field_length	field_position	left_surface	right_surface	joint_tuple_id
9	E009	AIIN	Sollmaß	daiin	D	f10r	f10r.2	F001	H1-S001	9	10	MIDDLE	oky	etyd	2f1c5e56e8f0ff459065
20	E020	Y	Diesposten	dy	D	f10r	f10r.6	F003	H2-S001	6	9	MIDDLE	qoctholy	chy	b921a237be883a820352
21	E021	Y	Diesposten	chy	CH	f10r	f10r.6	F003	H2-S001	7	9	MIDDLE	dy	taiin	b921a237be883a820352
22	E022	AIIN	Sollmaß	taiin	T	f10r	f10r.6	F003	H2-S001	8	9	MIDDLE	chy	shy	2f1c5e56e8f0ff459065
23	E023	Y	Diesposten	shy	SH	f10r	f10r.6	F003	H2-S001	9	9	LAST	taiin	FIELD_END	b921a237be883a820352
30	E030	AIIN	Sollmaß	daiin	D	f10r	f10r.8	F004	H2-S002	7	8	MIDDLE	chol	dar	2f1c5e56e8f0ff459065
35	E035	Y	Diesposten	chy	CH	f10r	f10r.9	F005	H2-S003	4	7	MIDDLE	chor	kaiiin	b921a237be883a820352
37	E037	Y	Diesposten	dy	D	f10r	f10r.9	F005	H2-S003	6	7	MIDDLE	kaiiin	chodaiin	b921a237be883a820352
48	E048	Y	Diesposten	chy	CH	f11r	f11r.4	F008	H3-S003	2	5	MIDDLE	dchol	kchy	b921a237be883a820352
50	E050	Y	Diesposten	dy	D	f11r	f11r.4	F008	H3-S003	4	5	MIDDLE	kchy	daiin	b921a237be883a820352
51	E051	AIIN	Sollmaß	daiin	D	f11r	f11r.4	F008	H3-S003	5	5	LAST	dy	FIELD_END	2f1c5e56e8f0ff459065
55	E055	Y	Diesposten	dy	D	f11r	f11r.7	F009	H3-S004	4	4	LAST	cthy	FIELD_END	b921a237be883a820352
57	E057	AIIN	Sollmaß	chaiin	CH	f55v	f55v.5	F010	H4-S001	2	5	MIDDLE	qokaiin	ykain	2f1c5e56e8f0ff459065
61	E061	AIIN	Sollmaß	daiin	D	f55v	f55v.5	F011	H4-S002	1	3	FIRST	FIELD_START	chedy	2f1c5e56e8f0ff459065
68	E068	AIIN	Sollmaß	aiin	BARE	f55v	f55v.11	F013	H4-S004	1	6	FIRST	FIELD_START	okal	2f1c5e56e8f0ff459065
72	E072	Y	Diesposten	y	BARE	f55v	f55v.11	F013	H4-S004	5	6	MIDDLE	or	orain	b921a237be883a820352
77	E077	AIIN	Sollmaß	daiin	D	f56r	f56r.5	F014	H5-S001	4	4	LAST	chodaly	FIELD_END	2f1c5e56e8f0ff459065
100	E100	AIIN	Sollmaß	daiin	D	f56r	f56r.19	F020	H5-S006	3	3	LAST	keol	FIELD_END	2f1c5e56e8f0ff459065
116	E116	AIIN	Sollmaß	daiin	D	f81v	f81v.7	F023	B1-S002	4	8	MIDDLE	sheckhal	qokeedal	2f1c5e56e8f0ff459065
118	E118	AIIN	Sollmaß	daiin	D	f81v	f81v.7	F023	B1-S002	6	8	MIDDLE	qokeedal	chckhy	2f1c5e56e8f0ff459065
132	E132	Y	Diesposten	chey	CHE	f81v	f81v.18	F030	B1-S008	1	5	FIRST	FIELD_START	ol	b921a237be883a820352
170	E170	Y	Diesposten	dy	D	f82r	f82r.2	F047	B2-S003	2	3	MIDDLE	qokain	qokeedy	b921a237be883a820352
207	E207	AIIN	Sollmaß	daiin	D	f82r	f82r.23	F059	B2-S012	5	7	MIDDLE	lcheey	chey	2f1c5e56e8f0ff459065
208	E208	Y	Diesposten	chey	CHE	f82r	f82r.23	F059	B2-S012	6	7	MIDDLE	daiin	qokeeedy	b921a237be883a820352
217	E217	AIIN	Sollmaß	aiin	BARE	f82r	f82r.26	F063	B2-S016	4	7	MIDDLE	ches	oteey	2f1c5e56e8f0ff459065
232	E232	Y	Diesposten	chey	CHE	f83r	f83r.3	F073	B3-S003	1	4	FIRST	FIELD_START	daiin	b921a237be883a820352
233	E233	AIIN	Sollmaß	daiin	D	f83r	f83r.3	F073	B3-S003	2	4	MIDDLE	chey	chey	2f1c5e56e8f0ff459065
234	E234	Y	Diesposten	chey	CHE	f83r	f83r.3	F073	B3-S003	3	4	MIDDLE	daiin	lchedy	b921a237be883a820352
273	E273	Y	Diesposten	sy	S	f83r	f83r.14	F092	B3-S021	4	4	LAST	dal	FIELD_END	b921a237be883a820352
274	E274	AIIN	Sollmaß	saiin	S	f83r	f83r.15	F093	B3-S021	1	7	FIRST	FIELD_START	shedal	2f1c5e56e8f0ff459065
277	E277	Y	Diesposten	chey	CHE	f83r	f83r.15	F093	B3-S021	4	7	MIDDLE	shecthy	tal	b921a237be883a820352
299	E299	AIIN	Sollmaß	saiin	S	f83r	f83r.20	F103	B3-S030	2	2	LAST	qoky	FIELD_END	2f1c5e56e8f0ff459065
332	E332	AIIN	Sollmaß	saiin	S	f83r	f83r.28	F117	B4-S008	1	4	FIRST	FIELD_START	cheeky	2f1c5e56e8f0ff459065
338	E338	AIIN	Sollmaß	saiin	S	f83r	f83r.35	F120	B4-S011	1	5	FIRST	FIELD_START	cheky	2f1c5e56e8f0ff459065
349	E349	Y	Diesposten	chey	CHE	f83r	f83r.38	F124	B4-S014	2	4	MIDDLE	or	qockhey	b921a237be883a820352
369	E369	AIIN	Sollmaß	aiin	BARE	f83r	f83r.48	F132	B5-S003	5	5	LAST	chdal	FIELD_END	2f1c5e56e8f0ff459065
377	E377	AIIN	Sollmaß	daiin	D	f83r	f83r.54	F135	B6-S001	1	5	FIRST	FIELD_START	ol	2f1c5e56e8f0ff459065
380	E380	Y	Diesposten	chey	CHE	f83r	f83r.54	F135	B6-S001	4	5	MIDDLE	dain	ldalor	b921a237be883a820352
