family	core_value_de	surface	entry_shell	occurrences	event_ids	page_profile	first	middle	last	only	shared_shell_across_families	teaching_reading
Y	Diesposten	chey	CHE	7	E132|E208|E232|E234|E277|E349|E380	f81v:1|f82r:1|f83r:5	2	5	0	0	NO	CHE+Y = Diesposten
Y	Diesposten	chy	CH	3	E021|E035|E048	f10r:2|f11r:1	0	3	0	0	YES	CH+Y = Diesposten
Y	Diesposten	dy	D	5	E020|E037|E050|E055|E170	f10r:2|f11r:2|f82r:1	0	4	1	0	YES	D+Y = Diesposten
Y	Diesposten	shy	SH	1	E023	f10r:1	0	0	1	0	NO	SH+Y = Diesposten
Y	Diesposten	sy	S	1	E273	f83r:1	0	0	1	0	YES	S+Y = Diesposten
Y	Diesposten	y	BARE	1	E072	f55v:1	0	1	0	0	YES	BARE+Y = Diesposten
AIIN	Sollmaß	aiin	BARE	3	E068|E217|E369	f55v:1|f82r:1|f83r:1	1	1	1	0	YES	BARE+AIIN = Sollmaß
AIIN	Sollmaß	chaiin	CH	1	E057	f55v:1	0	1	0	0	YES	CH+AIIN = Sollmaß
AIIN	Sollmaß	daiin	D	11	E009|E030|E051|E061|E077|E100|E116|E118|E207|E233|E377	f10r:2|f11r:1|f55v:1|f56r:2|f81v:2|f82r:1|f83r:2	2	6	3	0	YES	D+AIIN = Sollmaß
AIIN	Sollmaß	saiin	S	4	E274|E299|E332|E338	f83r:4	3	0	1	0	YES	S+AIIN = Sollmaß
AIIN	Sollmaß	taiin	T	1	E022	f10r:1	0	1	0	0	NO	T+AIIN = Sollmaß
