joint_tuple_id	B1_events	B1_surfaces	transferred_value_de	B1_statement_ids
276a7c2d74d1143446f4	1	qoky	verwende dies	B1-S011
2f1c5e56e8f0ff459065	2	daiin	Mass	B1-S002
308e8ea2d5d190c498e8	2	okal|qokal	an die Stelle setzen	B1-S002|B1-S016
4d4559019a961b834aa1	1	sar	dasselbe	B1-S002
6f7ff8287eddf4da9fdb	2	chedy	dies umsetzen	B1-S004|B1-S014
b5fcea1eaed06b2f2291	1	okaiin	nach Mass ansetzen	B1-S002
b921a237be883a820352	1	chey	dies	B1-S008
dcda95c81a5460feb191	9	ol|qol	fortsetzen	B1-S002|B1-S003|B1-S004|B1-S008|B1-S014|B1-S016
dd0ecaf5e27d81befffc	3	al|chal|sal	Stelle	B1-S002|B1-S017|B1-S021
dec401773c1f0347793d	1	olor	Fortsetzungsansatz	B1-S002
