statement_id	events	event_ids	card_sequence_de	continuous_reading_de	owner
B1-S001	1	E101	kurz ansetzen; Schluss	Kurz ansetzen und den Schritt schließen.	B1_SHARED_TWO_ROW_POOL
B1-S002	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	nach Mass ansetzen > Beckenwasser > an die Stelle setzen > dasselbe > fortsetzen > eine Portion > weitere Portion > Stelle > fortsetzen > noch warm > Badzusatz > Fortsetzungsansatz > fortsetzen > mäßige Menge > Mass > länger an der Stelle halten > Mass > durchführen > umsetzen; Schluss	Nach Maß ansetzen. Beckenwasser an die Stelle bringen; mit demselben Bestand fortsetzen, eine Portion und eine weitere Portion an der Stelle führen, noch warm halten, Badzusatz und Fortsetzungsansatz zuführen, mäßige Menge bemessen, länger an der Stelle halten und durch den Durchlass umsetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S003	2	E121|E122	fortsetzen > Sonderumsetzung; Schluss	Fortsetzen und unter der Sonderbedingung umsetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S004	3	E123|E124|E125	dies umsetzen > fortsetzen > absetzen; Schluss	Dies umsetzen, fortsetzen und absetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S005	1	E126	fortsetzen; Schluss	Die Fortsetzung umsetzen und schließen.	B1_SHARED_TWO_ROW_POOL
B1-S006	4	E127|E128|E129|E130	eine Portion zugeben > durchführen > Badzusatz > abkühlen	Eine Portion zugeben, durch den Durchlass führen, Badzusatz zugeben und abkühlen.	B1_SHARED_TWO_ROW_POOL
B1-S007	1	E131	Ansatz umsetzen; Schluss	Den Ansatz umsetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S008	5	E132|E133|E134|E135|E136	dies > fortsetzen > kurz wärmen > fortsetzen > absetzen; Schluss	Dies fortsetzen, kurz wärmen, weiterführen und absetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S009	1	E137	kurz ansetzen; Schluss	Kurz ansetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S010	1	E138	kurz ansetzen; Schluss	Kurz ansetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S011	2	E139|E140	durchführen > verwende dies	Durch den Durchlass führen und dies verwenden.	B1_SHARED_TWO_ROW_POOL
B1-S012	3	E141|E142|E143	Waschgang > kurz ansetzen > waschen; Schluss	Einen Waschgang beginnen, kurz ansetzen, waschen und schließen.	B1_SHARED_TWO_ROW_POOL
B1-S013	1	E144	waschen; Schluss	Waschen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S014	5	E145|E146|E147|E148|E149	dies umsetzen > Arbeitsstelle > Auslass > fortsetzen > Folgeauslass	Dies umsetzen, an die Arbeitsstelle und zum Auslass führen, fortsetzen und den Folgeauslass wählen.	B1_SHARED_TWO_ROW_POOL
B1-S015	2	E150|E151	füllen > Ansatz umsetzen; Schluss	Füllen, den Ansatz umsetzen und schließen.	B1_SHARED_TWO_ROW_POOL
B1-S016	4	E152|E153|E154|E155	an die Stelle setzen > länger ansetzen > fortsetzen > absetzen; Schluss	An die Stelle setzen, länger ansetzen, fortsetzen und absetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S017	3	E156|E157|E158	Stelle > erste Öffnung > umsetzen; Schluss	An der Stelle die erste Öffnung wählen und den Posten umsetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S018	4	E159|E160|E161|E162	Empfangsgefäß > einreiben > Sollstand > länger auffangen; Schluss	Das Empfangsgefäß einreiben, auf Sollstand bringen, länger auffangen und schließen.	B1_SHARED_TWO_ROW_POOL
B1-S019	1	E163	absetzen; Schluss	Absetzen; Schluss.	B1_SHARED_TWO_ROW_POOL
B1-S020	2	E164|E165	kurz wärmen > seihen; Schluss	Kurz wärmen, seihen und schließen.	B1_SHARED_TWO_ROW_POOL
B1-S021	1	E166	Stelle	An der bezeichneten Stelle fortsetzen.	B1_SHARED_TWO_ROW_POOL
