atom_ordinal	atom	fixed_value_de	semantic_layer	factor_family	controlled_realization_de	recipe_occurrence_count	surface_count	bracketed_if_not_portable	meaning_changed
1	AIIN	WERT	PORTABLE_WORKING_WORD	ARGUMENT	Wert	11	11	NOT_APPLICABLE	NO
2	AIN	ANTEIL	PORTABLE_WORKING_WORD	ARGUMENT	Anteil	1	1	NOT_APPLICABLE	NO
3	AIR	BAHN	PORTABLE_WORKING_WORD	RELATION	Bahn	5	5	NOT_APPLICABLE	NO
4	AL	ZIELORT	PORTABLE_WORKING_WORD	RELATION	Zielort	18	17	NOT_APPLICABLE	NO
5	AM_ADDR	HIER	STRUCTURAL_OR_LOCAL_TAG	LOCAL_OR_CLASS_SIGN	[hier: AM-Adresse]	2	2	YES	NO
6	AR	AUSGANG	PORTABLE_WORKING_WORD	RELATION	Ausgang	16	16	NOT_APPLICABLE	NO
7	A_ADDR	HIER	STRUCTURAL_OR_LOCAL_TAG	LOCAL_OR_CLASS_SIGN	[hier: A-Adresse]	10	10	YES	NO
8	CARRIER_Q	BEGINNMARKER	STRUCTURAL_OR_LOCAL_TAG	FORMAL_CONTROL	[Beginnmarker]	3	3	YES	NO
9	CH	NEHMEN	PORTABLE_WORKING_WORD	ACTION_HEAD	nehmen	59	54	NOT_APPLICABLE	NO
10	CHD	BEARBEITEN	PORTABLE_WORKING_WORD	ACTION_HEAD	bearbeiten	7	7	NOT_APPLICABLE	NO
11	DA	ZWEITE STUFE	STRUCTURAL_OR_LOCAL_TAG	FORMAL_CONTROL	[zweite Stufe]	3	3	YES	NO
12	DY	SCHLUSS	STRUCTURAL_OR_LOCAL_TAG	FORMAL_CONTROL	[Schluss]	16	16	YES	NO
13	D_ADDR	HIER	STRUCTURAL_OR_LOCAL_TAG	LOCAL_OR_CLASS_SIGN	[hier: D-Adresse]	44	43	YES	NO
14	E	GRAD I	STRUCTURAL_OR_LOCAL_TAG	GRADE	[Grad I]	57	52	YES	NO
15	EE	GRAD II	STRUCTURAL_OR_LOCAL_TAG	GRADE	[Grad II]	20	20	YES	NO
16	EEE	GRAD III	STRUCTURAL_OR_LOCAL_TAG	GRADE	[Grad III]	2	2	YES	NO
17	IIN	STUFE	STRUCTURAL_OR_LOCAL_TAG	FORMAL_CONTROL	[Stufe]	10	10	YES	NO
18	K	GEBEN	PORTABLE_WORKING_WORD	ACTION_HEAD	geben	41	40	NOT_APPLICABLE	NO
19	L	VERBINDUNG	PORTABLE_WORKING_WORD	RELATION	Verbindung	7	7	NOT_APPLICABLE	NO
20	LOCAL_C	LOKALES C-ZEICHEN	LEARNED_LOCAL_CORE_OR_SIGN	LOCAL_OPAQUE	[lokales c-Zeichen]	1	1	YES	NO
21	LOCAL_CHAR_F	HIER	STRUCTURAL_OR_LOCAL_TAG	LOCAL_OR_CLASS_SIGN	[hier: f-Kennmarke]	16	16	YES	NO
22	LOCAL_X	LOKALER X-KERN	LEARNED_LOCAL_CORE_OR_SIGN	LOCAL_OPAQUE	[lokaler X-Zeichen-/Namenskern]	3	3	YES	NO
23	M_LOCAL	HIER	STRUCTURAL_OR_LOCAL_TAG	LOCAL_OR_CLASS_SIGN	[hier: lokale m-Marke]	1	1	YES	NO
24	O	AUSFÜHRUNG	STRUCTURAL_OR_LOCAL_TAG	FORMAL_CONTROL	[Ausführung]	57	55	YES	NO
25	OK	SETZEN	PORTABLE_WORKING_WORD	ACTION_HEAD	setzen	12	12	NOT_APPLICABLE	NO
26	OL	FORTSETZEN	PORTABLE_WORKING_WORD	ORDER_CONTROL	fortsetzen	20	19	NOT_APPLICABLE	NO
27	OR	EINHEIT	PORTABLE_WORKING_WORD	ARGUMENT	Einheit	8	8	NOT_APPLICABLE	NO
28	OT	DANACH	PORTABLE_WORKING_WORD	ORDER_CONTROL	danach	9	9	NOT_APPLICABLE	NO
29	P	EINSETZEN	PORTABLE_WORKING_WORD	ACTION_HEAD	einsetzen	18	18	NOT_APPLICABLE	NO
30	R	MARKIEREN	PORTABLE_WORKING_WORD	ACTION_HEAD	markieren	9	9	NOT_APPLICABLE	NO
31	S	WÄHLEN	PORTABLE_WORKING_WORD	ACTION_HEAD	wählen	17	16	NOT_APPLICABLE	NO
32	SH	HALTEN	PORTABLE_WORKING_WORD	ACTION_HEAD	halten	43	41	NOT_APPLICABLE	NO
33	T	EINSTELLEN	PORTABLE_WORKING_WORD	ACTION_HEAD	einstellen	21	21	NOT_APPLICABLE	NO
34	Y	POSTEN	PORTABLE_WORKING_WORD	ARGUMENT	Posten	73	69	NOT_APPLICABLE	NO
