dictionary_ordinal	lock_key	surface	occurrence_count	physical_pages	final_working_recipe	literal_reading_de	old_working_phrase_de	controlled_order_reading_de	canonical_workshop_phrase_de	phrase_template	phrase_repair_status	atom_count	portable_atom_count	structural_or_local_atom_count	action_slot_count	argument_slot_count	all_slots_explicit	exact_recipe_roundtrip	special_route	route_class	route_source	resolution_status	lock_scope	local_record_policy	guard
1	PROSE_STREAM|aiicthy	aiicthy	1	f31r	AIIN+CH+T+Y	WERT · NEHMEN · EINSTELLEN · POSTEN	Den Wert nehmen, einstellen und posten.	Wert → nehmen → einstellen → Posten.	Den Wert und den Posten nehmen und einstellen.	MULTI_ACTION_WITH_ARGUMENT	NORMALIZED_EXISTING_PHRASE	4	4	0	2	2	YES	AIIN+CH+T+Y	YES	AII_RENDERER_SQUARE_PLUS_EXACT_CTHY	GDT536	RESOLVED_BY_AII_RENDERER_SQUARE_AND_EXACT_CTHY	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
2	PROSE_STREAM|akar	akar	1	f66r	A_ADDR+K+AR	[A_ADDR:STEUERUNG=HIER] · GEBEN · AUSGANG	INHERITED	[hier: A-Adresse] → geben → Ausgang.	Hier; geben; vom Ausgang.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	2	1	1	0	YES	A_ADDR+K+AR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
3	PROSE_STREAM|alkey	alkey	1	f66r	AL+K+E+Y	ZIELORT · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	INHERITED	Zielort → geben → [Grad I] → Posten.	Am Zielort; den Posten geben; auf Grad I.	ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	3	1	1	1	YES	AL+K+E+Y	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
4	PROSE_STREAM|axor	axor	1	f66r	A_ADDR+LOCAL_X+OR	[A_ADDR:STEUERUNG=HIER] · [LOKALES_X:ZEICHEN_ODER_NAMENSKERN] · EINHEIT	INHERITED	[hier: A-Adresse] → [lokaler X-Zeichen-/Namenskern] → Einheit.	Hier; mit lokalem X-Zeichen-/Namenskern; Einheit.	NOMINAL_ARGUMENT_OR_CONTROL	FILLED_INHERITED_PLACEHOLDER	3	1	2	0	1	YES	A_ADDR+LOCAL_X+OR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
5	PROSE_STREAM|c	c	1	f66r	LOCAL_C	[LOKALES_C:ZEICHEN]	INHERITED	[lokales c-Zeichen].	Lokales c-Zeichen.	LOCAL_SIGN_OR_CORE_ONLY	FILLED_INHERITED_PLACEHOLDER	1	0	1	0	0	YES	LOCAL_C	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
6	PROSE_STREAM|chady	chady	1	f66r	CH+A_ADDR+DY	NEHMEN · [A_ADDR:STEUERUNG=HIER] · [DY:STEUERUNG=SCHLUSS]	INHERITED	nehmen → [hier: A-Adresse] → [Schluss].	Nehmen; hier; abschließen.	ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	1	2	1	0	YES	CH+A_ADDR+DY	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
7	PROSE_STREAM|chap	chap	1	f66r	CH+A_ADDR+P	NEHMEN · [A_ADDR:STEUERUNG=HIER] · EINSETZEN	INHERITED	nehmen → [hier: A-Adresse] → einsetzen.	Nehmen und einsetzen; hier.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	3	2	1	2	0	YES	CH+A_ADDR+P	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
8	PROSE_STREAM|chckhedy	chckhedy	1	f66r	CH+CH+K+E+DY	NEHMEN · NEHMEN · GEBEN · [E:STEUERUNG=GRAD I] · [DY:STEUERUNG=SCHLUSS]	INHERITED	nehmen → nehmen → geben → [Grad I] → [Schluss].	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	5	3	2	3	0	YES	CH+CH+K+E+DY	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
9	PROSE_STREAM|chcpheor	chcpheor	1	f66r	CH+CH+P+E+OR	NEHMEN · NEHMEN · EINSETZEN · [E:STEUERUNG=GRAD I] · EINHEIT	INHERITED	nehmen → nehmen → einsetzen → [Grad I] → Einheit.	Die Einheit nehmen, erneut nehmen und einsetzen; auf Grad I.	MULTI_ACTION_WITH_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	5	4	1	3	1	YES	CH+CH+P+E+OR	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
10	PROSE_STREAM|chctho	chctho	1	f66r	CH+CH+T+O	NEHMEN · NEHMEN · EINSTELLEN · [O:STEUERUNG=AUSFÜHRUNG]	INHERITED	nehmen → nehmen → einstellen → [Ausführung].	Nehmen, erneut nehmen und einstellen; zur Ausführung.	MULTI_ACTION_NO_ARGUMENT	FILLED_INHERITED_PLACEHOLDER	4	3	1	3	0	YES	CH+CH+T+O	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	INHERITED_RESOLVED_WORKING_DEFAULT	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE	EDITORIAL_PHRASE_ONLY__FIXED_RECIPE_AND_ATOM_VALUES_RETAINED
