delta_ordinal	left_surface	left_recipe	right_surface	right_recipe	edit_operation	old_atom	new_atom	old_controlled_realization_de	new_controlled_realization_de	all_unchanged_slots_byte_identical	changed_slot_effect_explicit
1	akar	A_ADDR+K+AR	dkar	D_ADDR+K+AR	SUBSTITUTE	A_ADDR	D_ADDR	[hier: A-Adresse]	[hier: D-Adresse]	YES	YES
2	alkey	AL+K+E+Y	dalky	AL+K+Y	DELETE	E	NONE	[Grad I]	NONE	YES	YES
3	c	LOCAL_C	da	DA	SUBSTITUTE	LOCAL_C	DA	[lokales c-Zeichen]	[zweite Stufe]	YES	YES
4	c	LOCAL_C	f	LOCAL_CHAR_F	SUBSTITUTE	LOCAL_C	LOCAL_CHAR_F	[lokales c-Zeichen]	[hier: f-Kennmarke]	YES	YES
5	c	LOCAL_C	p	P	SUBSTITUTE	LOCAL_C	P	[lokales c-Zeichen]	einsetzen	YES	YES
6	c	LOCAL_C	x	LOCAL_X	SUBSTITUTE	LOCAL_C	LOCAL_X	[lokales c-Zeichen]	[lokaler X-Zeichen-/Namenskern]	YES	YES
7	chady	CH+A_ADDR+DY	chap	CH+A_ADDR+P	SUBSTITUTE	DY	P	[Schluss]	einsetzen	YES	YES
8	chady	CH+A_ADDR+DY	chpady	CH+P+A_ADDR+DY	INSERT	NONE	P	NONE	einsetzen	YES	YES
9	chedaiir	CHD+IIN+R	qokaiir	OK+IIN+R	SUBSTITUTE	CHD	OK	bearbeiten	setzen	YES	YES
10	chekchy	CH+K+Y	chekeey	CH+K+EE+Y	INSERT	NONE	EE	NONE	[Grad II]	YES	YES
11	chekchy	CH+K+Y	chory	CH+OR+Y	SUBSTITUTE	K	OR	geben	Einheit	YES	YES
12	chekchy	CH+K+Y	dalky	AL+K+Y	SUBSTITUTE	CH	AL	nehmen	Zielort	YES	YES
13	chekeody	CH+K+E+O+DY	shckheody	SH+CH+K+E+O+DY	INSERT	NONE	SH	NONE	halten	YES	YES
14	cheod	CH+E+O+D_ADDR	sheod	SH+E+O+D_ADDR	SUBSTITUTE	CH	SH	nehmen	halten	YES	YES
15	choiin	CH+O+IIN	doiiin	D_ADDR+O+IIN	SUBSTITUTE	CH	D_ADDR	nehmen	[hier: D-Adresse]	YES	YES
16	choiin	CH+O+IIN	qotchoiin	OT+CH+O+IIN	INSERT	NONE	OT	NONE	danach	YES	YES
17	choraiin	CH+OR+AIIN	chory	CH+OR+Y	SUBSTITUTE	AIIN	Y	Wert	Posten	YES	YES
18	choraiin	CH+OR+AIIN	cphaiin	CH+P+AIIN	SUBSTITUTE	OR	P	Einheit	einsetzen	YES	YES
19	choraly	CH+OR+AL+Y	chory	CH+OR+Y	DELETE	AL	NONE	Zielort	NONE	YES	YES
20	chpady	CH+P+A_ADDR+DY	cpholdy	CH+P+OL+DY	SUBSTITUTE	A_ADDR	OL	[hier: A-Adresse]	fortsetzen	YES	YES
21	cphaiin	CH+P+AIIN	pdaiin	P+AIIN	DELETE	CH	NONE	nehmen	NONE	YES	YES
22	da	DA	f	LOCAL_CHAR_F	SUBSTITUTE	DA	LOCAL_CHAR_F	[zweite Stufe]	[hier: f-Kennmarke]	YES	YES
23	da	DA	p	P	SUBSTITUTE	DA	P	[zweite Stufe]	einsetzen	YES	YES
24	da	DA	x	LOCAL_X	SUBSTITUTE	DA	LOCAL_X	[zweite Stufe]	[lokaler X-Zeichen-/Namenskern]	YES	YES
25	f	LOCAL_CHAR_F	p	P	SUBSTITUTE	LOCAL_CHAR_F	P	[hier: f-Kennmarke]	einsetzen	YES	YES
26	f	LOCAL_CHAR_F	qef	E+LOCAL_CHAR_F	INSERT	NONE	E	NONE	[Grad I]	YES	YES
27	f	LOCAL_CHAR_F	x	LOCAL_X	SUBSTITUTE	LOCAL_CHAR_F	LOCAL_X	[hier: f-Kennmarke]	[lokaler X-Zeichen-/Namenskern]	YES	YES
28	fary	LOCAL_CHAR_F+AR+Y	rary	R+AR+Y	SUBSTITUTE	LOCAL_CHAR_F	R	[hier: f-Kennmarke]	markieren	YES	YES
29	kardy	K+AR+DY	kody	K+O+DY	SUBSTITUTE	AR	O	Ausgang	[Ausführung]	YES	YES
30	kcheody	K+CH+E+O+D_ADDR+Y	kchody	K+CH+O+D_ADDR+Y	DELETE	E	NONE	[Grad I]	NONE	YES	YES
31	kcheody	K+CH+E+O+D_ADDR+Y	keody	K+E+O+D_ADDR+Y	DELETE	CH	NONE	nehmen	NONE	YES	YES
32	kchody	K+CH+O+D_ADDR+Y	kechody	K+E+CH+O+D_ADDR+Y	INSERT	NONE	E	NONE	[Grad I]	YES	YES
33	kchody	K+CH+O+D_ADDR+Y	keody	K+E+O+D_ADDR+Y	SUBSTITUTE	CH	E	nehmen	[Grad I]	YES	YES
34	kechody	K+E+CH+O+D_ADDR+Y	keody	K+E+O+D_ADDR+Y	DELETE	CH	NONE	nehmen	NONE	YES	YES
35	ld	L+D_ADDR	shd	SH+D_ADDR	SUBSTITUTE	L	SH	Verbindung	halten	YES	YES
36	lkeol	L+K+E+OL	ykeol	Y+K+E+OL	SUBSTITUTE	L	Y	Verbindung	Posten	YES	YES
37	lsheody	L+SH+E+O+D_ADDR+Y	psheody	P+SH+E+O+D_ADDR+Y	SUBSTITUTE	L	P	Verbindung	einsetzen	YES	YES
38	okedals	OK+AL+S	qokees	OK+EE+S	SUBSTITUTE	AL	EE	Zielort	[Grad II]	YES	YES
39	okedals	OK+AL+S	rals	R+AL+S	SUBSTITUTE	OK	R	setzen	markieren	YES	YES
40	otcheo	OT+CH+E+O	tcheo	T+CH+E+O	SUBSTITUTE	OT	T	danach	einstellen	YES	YES
41	p	P	pdaiin	P+AIIN	INSERT	NONE	AIIN	NONE	Wert	YES	YES
42	p	P	x	LOCAL_X	SUBSTITUTE	P	LOCAL_X	einsetzen	[lokaler X-Zeichen-/Namenskern]	YES	YES
43	qokaiir	OK+IIN+R	shokaiir	SH+OK+IIN+R	INSERT	NONE	SH	NONE	halten	YES	YES
44	qokee	OK+EE	qokees	OK+EE+S	INSERT	NONE	S	NONE	wählen	YES	YES
45	qokee	OK+EE	shee	SH+EE	SUBSTITUTE	OK	SH	setzen	halten	YES	YES
46	qokshd	OK+SH+D_ADDR	shd	SH+D_ADDR	DELETE	OK	NONE	setzen	NONE	YES	YES
47	qoteoly	OT+E+OL+Y	qotesy	OT+E+S+Y	SUBSTITUTE	OL	S	fortsetzen	wählen	YES	YES
48	raral	R+AR+AL	rary	R+AR+Y	SUBSTITUTE	AL	Y	Zielort	Posten	YES	YES
49	salf	S+AL+LOCAL_CHAR_F	saly	S+AL+Y	SUBSTITUTE	LOCAL_CHAR_F	Y	[hier: f-Kennmarke]	Posten	YES	YES
50	shain	SH+AIN	shd	SH+D_ADDR	SUBSTITUTE	AIN	D_ADDR	Anteil	[hier: D-Adresse]	YES	YES
51	shain	SH+AIN	shee	SH+EE	SUBSTITUTE	AIN	EE	Anteil	[Grad II]	YES	YES
52	shd	SH+D_ADDR	shddy	SH+D_ADDR+DY	INSERT	NONE	DY	NONE	[Schluss]	YES	YES
53	shd	SH+D_ADDR	shee	SH+EE	SUBSTITUTE	D_ADDR	EE	[hier: D-Adresse]	[Grad II]	YES	YES
54	shekair	SH+E+K+AIR	shekol	SH+E+K+OL	SUBSTITUTE	AIR	OL	Bahn	fortsetzen	YES	YES
55	shekaly	SH+E+K+AL+Y	shekeey	SH+E+K+EE+Y	SUBSTITUTE	AL	EE	Zielort	[Grad II]	YES	YES
56	shekaly	SH+E+K+AL+Y	shekey	SH+E+K+E+Y	SUBSTITUTE	AL	E	Zielort	[Grad I]	YES	YES
57	shekeefy	SH+E+K+EE+LOCAL_CHAR_F+Y	shekeey	SH+E+K+EE+Y	DELETE	LOCAL_CHAR_F	NONE	[hier: f-Kennmarke]	NONE	YES	YES
58	shekeey	SH+E+K+EE+Y	shekey	SH+E+K+E+Y	SUBSTITUTE	EE	E	[Grad II]	[Grad I]	YES	YES
59	sheod	SH+E+O+D_ADDR	sheodaiin	SH+E+O+D_ADDR+AIIN	INSERT	NONE	AIIN	NONE	Wert	YES	YES
60	sheod	SH+E+O+D_ADDR	sheoy	SH+E+O+Y	SUBSTITUTE	D_ADDR	Y	[hier: D-Adresse]	Posten	YES	YES
61	shtchy	SH+T+CH+Y	shytchy	SH+Y+T+CH+Y	INSERT	NONE	Y	NONE	Posten	YES	YES
62	yches	Y+CH+E+S	ypches	Y+P+CH+E+S	INSERT	NONE	P	NONE	einsetzen	YES	YES
