teaching_unit_id	recognition_forms	old_headword_de	selected_headword_de	occurrences	pages	observed_event_readings_de	change_status	headword_rule
W001	chary|ral	ABKÜHLEN	ABKÜHLEN	2	f81v|f83r	abkühlen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W002	lar|lo|sheey	ABLAUF	ABLAUF	5	f82r|f83r	Bodenablauf|Ablauf	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W003	kchal	ABSEIHEN	ABSEIHEN	1	f56r	abseihen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W004	oltchy|qotchol	ANWÄRMEN	ANWÄRMEN	2	f10r|f55v	anwärmen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W005	sotodan	ANWENDEN	ANWENDEN	1	f56r	anwenden	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W006	raly	ARM	SEITENARM	1	f83r	Seitenarm	SHORT_COMPOUND_REFINEMENT	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W007	kchol	AUFLEGEN	AUFLEGEN	2	f56r	auflegen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W008	shecthedchy	AUFSTREICHEN	AUFSTREICHEN	1	f83r	aufstreichen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W009	cheeckhody	AUFTRAGEN	AUFTRAGEN	1	f56r	auftragen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W010	skar	AUSGIESSEN	AUSGIESSEN	1	f83r	warm ausgießen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W011	cfhy	AUSWRINGEN	AUSWRINGEN	1	f11r	auswringen	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W012	cheedar|qolchey	BECKEN	BECKEN	2	f83r	Sammelbecken|Becken	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
W013	ls	DÜSE	DÜSE	1	f82r	Düse	KEEP	ONE_SHORT_WORKSHOP_WORD__CONTEXT_MAY_INFLECT_OR_SPECIFY
