teaching_unit_id	event_id	physical_page	locus	surface	complete_working_reading_de
L001	P912-E0152	f13r	f13r.1	torshor	Artikelkopf: die große sichtbare Speicherwurzel/Krone aktivieren.
L002	P912-E0160	f13r	f13r.1	dchg	Einen der kleinen sichtbaren Rundkörper am Wurzelhals abnehmen.
L003	P912-E0188	f13r	f13r.5	tshy	Den Anteil aus dem endständigen Blütenstand wählen.
L004	P912-E0193	f13r	f13r.5	cfholdy	Den ersten Ansatz weiter auspressen und den Teilgang schließen.
L005	P912-E0212	f13r	f13r.8	shochy	Einen Anteil aus der breiten Blattkrone nehmen.
W001	P912-E1018	f81v	f81v.17	ral	abkühlen
W001	P912-E1475	f83r	f83r.8	chary	abkühlen
W002	P912-E1302	f82r	f82r.23	lar	Bodenablauf
W002	P912-E1320	f82r	f82r.25	lar	Bodenablauf
W002	P912-E1450	f83r	f83r.5	lo	Bodenablauf
W002	P912-E1507	f83r	f83r.11	lo	Bodenablauf
W002	P912-E1642	f83r	f83r.28	sheey	Ablauf
W003	P912-E0412	f56r	f56r.13	kchal	abseihen
W004	P912-E0041	f10r	f10r.5	qotchol	anwärmen
W004	P912-E0322	f55v	f55v.11	oltchy	anwärmen
W005	P912-E0436	f56r	f56r.18	sotodan	anwenden
W006	P912-E1735	f83r	f83r.52	raly	Seitenarm
W007	P912-E0378	f56r	f56r.7	kchol	auflegen
W007	P912-E0387	f56r	f56r.9	kchol	auflegen
W008	P912-E1472	f83r	f83r.8	shecthedchy	aufstreichen
W009	P912-E0385	f56r	f56r.8	cheeckhody	auftragen
W010	P912-E1716	f83r	f83r.44	skar	warm ausgießen
W011	P912-E0095	f11r	f11r.1	cfhy	auswringen
W012	P912-E1548	f83r	f83r.16	cheedar	Sammelbecken
W012	P912-E1624	f83r	f83r.25	qolchey	Becken
W013	P912-E1167	f82r	f82r.7	ls	Düse
W014	P912-E1104	f81v	f81v.27	dsheol	einreiben
W015	P912-E1160	f82r	f82r.7	dshedy	Frischwasser
W015	P912-E1241	f82r	f82r.17	dshedy	Frischwasser
W016	P912-E1073	f81v	f81v.24	ytey	füllen
W017	P912-E0438	f56r	f56r.19	keol	Gabe
W018	P912-E0013	f10r	f10r.2	os	Gefäß
W019	P912-E1136	f82r	f82r.4	octheol	gleichstellen
W020	P912-E1080	f81v	f81v.24	teol	Hahn
W021	P912-E1553	f83r	f83r.16	chealror	klar
W022	P912-E0098	f11r	f11r.1	shey	Klarlauf
W022	P912-E1118	f82r	f82r.1	cheey	Klarlauf
W022	P912-E1120	f82r	f82r.1	shey	Klarlauf
W022	P912-E1168	f82r	f82r.7	cheey	Klarlauf
W022	P912-E1174	f82r	f82r.8	cheey	Klarlauf
W022	P912-E1207	f82r	f82r.13	cheey	Klarlauf
W022	P912-E1232	f82r	f82r.16	cheey	Klarlauf
W022	P912-E1294	f82r	f82r.23	cheey	Klarlauf
W022	P912-E1350	f82r	f82r.29	cheey	Klarlauf
W022	P912-E1412	f83r	f83r.2	cheey	Klarlauf
W022	P912-E1416	f83r	f83r.2	shey	Klarlauf
W022	P912-E1578	f83r	f83r.19	shey	Klarlauf
W022	P912-E1647	f83r	f83r.29	cheey	Klarlauf
W022	P912-E1682	f83r	f83r.36	shey	Klarlauf
W022	P912-E1695	f83r	f83r.39	shey	Klarlauf
W023	P912-E0093	f11r	f11r.1	tshol	Blütenkraut
W024	P912-E0099	f11r	f11r.1	tchody	kalt stellen
W024	P912-E0258	f55v	f55v.4	ody	kühlen
W024	P912-E0263	f55v	f55v.5	ody	kühlen
W025	P912-E0922	f81v	f81v.7	sheckhal	Mittelmaß
W026	P912-E0097	f11r	f11r.1	cphy	nachseihen
W027	P912-E0048	f10r	f10r.6	qoctholy	pressen
W028	P912-E0100	f11r	f11r.1	shoyty	Blütenreserve
W029	P912-E0018	f10r	f10r.2	etyd	Wurzelrest
W030	P912-E1734	f83r	f83r.52	qekey	roh
W031	P912-E1082	f81v	f81v.24	ly	Auffangschale
W032	P912-E1010	f81v	f81v.17	sshkchdy	schwenken
W033	P912-E1323	f82r	f82r.26	tshey	Spülwasser
W033	P912-E1585	f83r	f83r.20	cheeety	erste Spülung
W034	P912-E0406	f56r	f56r.12	sh	Stängel
W035	P912-E0096	f11r	f11r.1	shfydaiin	vorgeschriebene Stehzeit
W036	P912-E1052	f81v	f81v.21	qolky	Arbeitsstelle
W036	P912-E1297	f82r	f82r.23	lcheey	Nassstelle
W037	P912-E0094	f11r	f11r.1	schoal	Weinsud
W038	P912-E1327	f82r	f82r.26	ches	gleichteilen
W039	P912-E0071	f10r	f10r.9	oykchor	Topf
W040	P912-E0122	f11r	f11r.4	kchy	Trank
W041	P912-E1132	f82r	f82r.3	solkaiin	Seihtuch
W041	P912-E1491	f83r	f83r.10	dain	Tuch
W041	P912-E1635	f83r	f83r.27	dain	Tuch
W041	P912-E1743	f83r	f83r.54	dain	Tuch
W042	P912-E1141	f82r	f82r.4	sheckhy	Überlauf
W042	P912-E1155	f82r	f82r.6	sheckhy	Überlauf
W042	P912-E1692	f83r	f83r.38	qockhey	Überlauf
W043	P912-E0266	f55v	f55v.5	talam	verwahren
W044	P912-E0120	f11r	f11r.4	dchol	Voriges
W044	P912-E0382	f56r	f56r.8	schol	Voriges
W045	P912-E1604	f83r	f83r.22	qotedaiin	Wanne
W046	P912-E0879	f81v	f81v.2	rol	warm
W046	P912-E1071	f81v	f81v.23	rol	warm
W046	P912-E1539	f83r	f83r.15	shecthy	handwarm
W046	P912-E1614	f83r	f83r.23	shecthy	handwarm
W046	P912-E1725	f83r	f83r.48	lol	warm
W047	P912-E1333	f82r	f82r.27	rsheal	Warmwasser
W048	P912-E0383	f56r	f56r.8	choy	waschen
W048	P912-E1336	f82r	f82r.27	rshedy	Waschgang
W048	P912-E1594	f83r	f83r.21	lkedy	nachwaschen
W048	P912-E1686	f83r	f83r.37	lkedy	nachwaschen
W049	P912-E0009	f10r	f10r.2	dchey	Wurzel
W050	P912-E1697	f83r	f83r.39	chckhal	Haltezeit
W051	P912-E0408	f56r	f56r.12	kchey	zerreiben
