surface	entry	kind	working_meaning_de	composition	context_rule	status	accepted_round	source_locus	occurrences
cthoiin	cthoiin@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Blatt-/Krautzubereitung, Form III	cth+oiin	exact complete surface only; 2 audited occurrences; Herbal exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_01	1	f15v.10	2
choiin	choiin@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	trockene Zubereitungsform III	ch+oiin	exact complete surface only; 13 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_02	2	f28v.3	13
cthey	cthey@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	cth+e+y	exact complete surface only; 38 audited occurrences; section-sensitive exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_03	3	f4r.13	38
cthor	cthor@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	cth+or	exact complete surface only; 43 audited occurrences; section-sensitive exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_04	4	f15v.12	43
qotchol	qotchol@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Material: kalt und trocken	qo+t+ch+ol	exact complete surface only; 13 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_05	5	f10r.5	13
otchol	otchol@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	kalt-trockener Zubereitungsstoff	o+t+ch+ol	exact complete surface only; 27 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_06	6	f4r.3	27
kcho	kcho@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Zubereitung: heiß und trocken	k+ch+o	exact complete surface only; 7 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_07	7	f49r.12	7
chkaiin	chkaiin@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	heiß-trocken, Grad III	ch+k+aiin	exact complete surface only; 16 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_08	8	f28v.6	16
chtain	chtain@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	kalt-trocken, Grad II	ch+t+ain	exact complete surface only; 4 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_09	9	f36v.14	4
doiin	doiin@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Zubereitungsmaß, Form III	d+oiin	exact complete surface only; 11 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_10	10	f35v.21	11
dol	dol@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Materialmaß	d+ol	exact complete surface only; 76 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_11	11	f93r.21	76
oaiir	oaiir@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	Zubereitung, Teil-/Sortierklasse III	o+aiir	exact complete surface only; 4 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_12	12	f7r.5	4
qoky	qoky@GDT638_EXACT_WHOLE	EXACT_WHOLE_SURFACE_PROMOTION	heiße Grundform	qo+k+y	exact complete surface only; 138 audited occurrences; exact whole surface; no substring, bare-body or absent-cell transfer	NEW_V15_ACCEPTED_ROUND_13	13	f13v.5	138
