round	surface	decision	dictionary_entries	dictionary_sha256	physical_lines	known_token_positions	unknown_token_positions	complete_multi_token_lines	strict_complete_lines	one_unknown_lines	strict_one_unknown_lines	exact_glossary_surfaces
0	BASE_V14	BASE	259	d440778f846416e9060ec69c7c9ab4f42f1d64d490a98cbdb930ef99bb8175f8	4128	8867	23472	16	7	65	30	212
1	cthoiin	ACCEPT	260	5aea6a8fd3f4a482ec0585617111ec8b7d0ec91d3c7b2441f6def7e7ae7390be	4128	8869	23470	17	8	64	29	213
2	choiin	ACCEPT	261	4091e747b743574c2b270c49fb36d3efb7f994897c8ea6e262b4e8c12a69214e	4128	8882	23457	18	9	63	28	214
3	cthey	ACCEPT	262	1c210ca11d02460e134ae1a6a4f0973bc907c3c1ea9a3c68bebe856f0a7d322c	4128	8920	23419	19	10	62	27	215
4	cthor	ACCEPT	263	54648bb7d6854c3c4c3d27dab1788510ecb4a566471738093ce41ff588a90c06	4128	8963	23376	20	11	61	26	216
5	qotchol	ACCEPT	264	4f2723a0870535c6d6cfb40f0ba89e2a0377629ef4106814a1d1598d37545abb	4128	8976	23363	21	12	61	26	217
6	otchol	ACCEPT	265	149a26feb2d58abb11bde5a2c7b007604cca2e7ca9a2833c175301d05131a20b	4128	9003	23336	22	13	63	28	218
7	kcho	ACCEPT	266	05b2c3f758ee48802b5ba27d1e78787af506a8d7a5a205de7ec6dd600830c794	4128	9010	23329	23	14	62	27	219
8	chkaiin	ACCEPT	267	5054e1da56879365b6001f0f582499e592861b9f4d8b31772d05bd225bba626b	4128	9026	23313	24	15	62	27	220
9	chtain	ACCEPT	268	d475b70de3a3e9a12d30e27b65e0b6721d0bfbc0037c255e4ab169ead7a43f25	4128	9030	23309	25	16	61	26	221
10	doiin	ACCEPT	269	0c3946b82b9d43aca4317f2d6d3538898a92e381c7e7fbadcb0779b2ce60b41d	4128	9041	23298	26	17	61	25	222
11	dol	ACCEPT	270	5db75eed39b0ed60fcf9c78e8ceccc0cfacd69b9bf678a0832f9ae42636ed8f2	4128	9117	23222	27	18	62	25	223
12	oaiir	ACCEPT	271	28cdfda62f4496e99e6195aba16b8eefabe848714aadc1ba652007c5df2031e4	4128	9121	23218	28	19	62	24	224
13	qoky	ACCEPT	272	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	4128	9259	23080	30	20	62	24	225
14	keechy	HOLD	272	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	4128	9259	23080	30	20	62	24	225
15	chokshy	HOLD	272	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	4128	9259	23080	30	20	62	24	225
