round	surface	page	locus	strict_complete	zl3b_line	before_glosses_de	literal_after_de	smoothed_working_reading_de	all_present_exact	scope_clean
1	cthoiin	f15v	f15v.10	1	sor chor cthoiin cthy qokaiin	Samenportion | Pflanzen-/Reproduktionsteil | [cthoiin:?] | CTH-Drogenmaterial | heiß, Grad III	Samenportion; Pflanzen-/Reproduktionsteil; Blatt-/Krautzubereitung, Form III; CTH-Drogenmaterial; heiß, Grad III	Samenportion; Pflanzenteil; Blatt-/Krautzubereitung Form III; Blatt-/Krautmaterial; heiß Grad III.	1	1
2	choiin	f28v	f28v.3	1	chor chol chy choiin	Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | trocken, Grundform | [choiin:?]	Pflanzen-/Reproduktionsteil; trocken; nominal trockenes Gut/Material; trocken, Grundform; trockene Zubereitungsform III	Pflanzenteil; Trockengut; trockene Grundform; Trockenansatz Form III.	1	1
3	cthey	f4r	f4r.13	1	daiin cthey	Grad-/Maßwert III | [cthey:?]	Grad-/Maßwert III; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	Grad-/Maßwert III; Blatt-/Krautdroge Form I.	1	1
4	cthor	f15v	f15v.12	1	daiin cthor chol chor	Grad-/Maßwert III | [cthor:?] | trocken; nominal trockenes Gut/Material | Pflanzen-/Reproduktionsteil	Grad-/Maßwert III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; trocken; nominal trockenes Gut/Material; Pflanzen-/Reproduktionsteil	Grad-/Maßwert III; Portion Blatt-/Krautdroge; Trockengut; Pflanzenteil.	1	1
5	qotchol	f10r	f10r.5	1	qokchy qotchol chol cthy	heiß-trocken | [qotchol:?] | trocken; nominal trockenes Gut/Material | CTH-Drogenmaterial	heiß-trocken; Material: kalt und trocken; trocken; nominal trockenes Gut/Material; CTH-Drogenmaterial	Heiß-trocken; Material kalt und trocken; Trockengut; Blatt-/Krautmaterial.	1	1
6	otchol	f4r	f4r.3	1	otchol chol chy chaiin qotaiin daiin shain	[otchol:?] | trocken; nominal trockenes Gut/Material | trocken, Grundform | trocken, Grad III | kalt, Grad III | Grad-/Maßwert III | feucht, Grad II	kalt-trockener Zubereitungsstoff; trocken; nominal trockenes Gut/Material; trocken, Grundform; trocken, Grad III; kalt, Grad III; Grad-/Maßwert III; feucht, Grad II	Kalt-trockener Zubereitungsstoff; Trockengut; trockene Grundform; trocken Grad III; kalt Grad III; Grad-/Maßwert III; feucht Grad II.	1	1
7	kcho	f49r	f49r.12	1	podaiin cheo kcho daiin chcthy	Pulverzubereitung, Dosis III | trocken angesetzte Zubereitung | [kcho:?] | Grad-/Maßwert III | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	Pulverzubereitung, Dosis III; trocken angesetzte Zubereitung; Zubereitung: heiß und trocken; Grad-/Maßwert III; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	Pulverzubereitung Dosis III; Trockenansatz; Zubereitung heiß und trocken; Grad-/Maßwert III; trockenes Blatt-/Krautgut.	1	1
8	chkaiin	f28v	f28v.6	1	daiin chkaiin	Grad-/Maßwert III | [chkaiin:?]	Grad-/Maßwert III; heiß-trocken, Grad III	Grad-/Maßwert III; heiß-trocken Grad III.	1	1
9	chtain	f36v	f36v.14	1	soiin chtain	Samen/Saatgutzubereitung, Form III | [chtain:?]	Samen/Saatgutzubereitung, Form III; kalt-trocken, Grad II	Samenzubereitung Form III; kalt-trocken Grad II.	1	1
10	doiin	f35v	f35v.21	1	doiin chor chor	[doiin:?] | Pflanzen-/Reproduktionsteil | Pflanzen-/Reproduktionsteil	Zubereitungsmaß, Form III; Pflanzen-/Reproduktionsteil; Pflanzen-/Reproduktionsteil	Zubereitungsmaß Form III; Pflanzenteil; Pflanzenteil.	1	1
11	dol	f93r	f93r.21	1	dol shol daiin shcthy	[dol:?] | feucht; nominal feuchtes Gut/Material | Qualitätsgrad III | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	Materialmaß; feucht; nominal feuchtes Gut/Material; Qualitätsgrad III; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	Materialmaß; feuchtes Material; Qualitätsgrad III; feuchtes Blatt-/Krautgut.	1	1
12	oaiir	f7r	f7r.5	1	oaiir otaiin	[oaiir:?] | kalt im Zubereitungsrahmen, Grad III	Zubereitung, Teil-/Sortierklasse III; kalt im Zubereitungsrahmen, Grad III	Zubereitung: Teil-/Sortierklasse III; kalt im Zubereitungsrahmen, Grad III.	1	1
13	qoky	f13v	f13v.5	1	qoky daiin	[qoky:?] | Grad-/Maßwert III	heiße Grundform; Grad-/Maßwert III	Heiße Grundform; Grad-/Maßwert III.	1	1
13	qoky	f79v	f79v.4	0	qokeedy qokeedy qotain sol chedy rchey qoky lchedy	heißer Zustand, Bindungsstufe II | heißer Zustand, Bindungsstufe II | kalt im qo-Rahmen, Grad II | Samenmaterial/Saatgut | getrockneter Zustand | Wurzel/Wurzeldroge, trocken gebunden, Form I | [qoky:?] | getrocknetes Drogenholz	heißer Zustand, Bindungsstufe II; heißer Zustand, Bindungsstufe II; kalt im qo-Rahmen, Grad II; Samenmaterial/Saatgut; getrockneter Zustand; Wurzel/Wurzeldroge, trocken gebunden, Form I; heiße Grundform; getrocknetes Drogenholz	Heißer Zustand, Bindungsstufe II; heißer Zustand, Bindungsstufe II; kalt im qo-Rahmen, Grad II; Samenmaterial/Saatgut; getrockneter Zustand; Wurzel/Wurzeldroge, trocken gebunden, Form I; heiße Grundform; getrocknetes Drogenholz.	0	0
