candidate_id	candidate_order	surface	g637_strict_rank	g637_source_locus	g637_default_de	working_meaning_de	composition	scope	rival_de	occurrences	pages	reader_exact_occurrences	admission_barrier	decision	decision_basis
G638-C01	1	cthoiin	4	f15v.10	Blatt-/Krautzubereitung, Form III	Blatt-/Krautzubereitung, Form III	cth+oiin	Herbal exact whole surface	allgemeine CTH-Drogenzubereitung, Form III	2	2	2	NONE	ACCEPT	two reader-exact Herbal occurrences; visible cth drug head plus oiin form III
G638-C02	2	choiin	9	f28v.3	Trockenansatz, Form III	trockene Zubereitungsform III	ch+oiin	exact whole surface	Trockenansatz, Form III	13	12	10	NONE	ACCEPT	ch dry field plus inherited oiin preparation/form III; thirteen occurrences audited
G638-C03	3	cthey	28	f4r.13	Blatt-/Krautgut	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	cth+e+y	section-sensitive exact whole surface	CTH-Bindungsform I	38	33	32	NONE	ACCEPT	fills the visible cthy to cthey to ctheey base/form-I/form-II ladder
G638-C04	4	cthor	8	f15v.12	Blatt-/Krautportion	Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	cth+or	section-sensitive exact whole surface	allgemeine Drogenportion	43	33	39	NONE	ACCEPT	cth drug head plus inherited or part/portion carrier; forty-three occurrences audited
G638-C05	5	qotchol	7	f10r.5	kalt-trockenes Material	Material: kalt und trocken	qo+t+ch+ol	exact whole surface	kalt-trockener Zubereitungsstoff	13	11	13	NONE	ACCEPT	quality frame plus cold, dry and material fields; thirteen exact-reader occurrences
G638-C06	6	otchol	1	f4r.3	kalt-trockenes Zubereitungsmaterial	kalt-trockener Zubereitungsstoff	o+t+ch+ol	exact whole surface	Drogenform: kalt und trocken	27	25	24	NONE	ACCEPT	preparation frame plus cold, dry and material fields; twenty-seven occurrences audited
G638-C07	7	kcho	5	f49r.12	heiß-trockener Ansatz	Zubereitung: heiß und trocken	k+ch+o	exact whole surface	heiß-trockener Ansatz	7	7	4	NONE	ACCEPT	GDT636 concrete span plus seven occurrence contexts; current orientation k hot and ch dry
G638-C08	8	chkaiin	26	f28v.6	trocken	heiß-trocken, Grad III	ch+k+aiin	exact whole surface	trocken-heiß, Klasse III	16	12	14	NONE	ACCEPT	restores the visible hot and grade-III fields omitted by the GDT637 automatic default
G638-C09	9	chtain	27	f36v.14	trocken	kalt-trocken, Grad II	ch+t+ain	exact whole surface	trocken-kalt, Klasse II	4	4	3	NONE	ACCEPT	restores the visible cold and grade-II fields omitted by the GDT637 automatic default
G638-C10	10	doiin	13	f35v.21	Dosis der Zubereitungsform III	Zubereitungsmaß, Form III	d+oiin	exact whole surface	Dosis/Maß der Zubereitungsform III	11	11	9	NONE	ACCEPT	d value/measure head plus oiin form III; eleven occurrences contain no contrary concrete carrier
G638-C11	11	dol	10	f93r.21	abgemessenes Material	Materialmaß	d+ol	exact whole surface	abgemessenes Material	76	57	64	NONE	ACCEPT	d value/measure head plus ol material carrier; all seventy-six occurrences audited before admission
G638-C12	12	oaiir	18	f7r.5	Zubereitungs-Teilklasse III	Zubereitung, Teil-/Sortierklasse III	o+aiir	exact whole surface	Zubereitungs-Sortierklasse III	4	4	4	NONE	ACCEPT	direct o preparation plus aiir class-III composition; four occurrences and one informative completion
G638-C13	13	qoky	19	f13v.5	heiß, Grundform	heiße Grundform	qo+k+y	exact whole surface	heißer Grundzustand; GDT595 OK+Y action parse is out of this reader scope	138	65	125	NONE	ACCEPT	quality frame plus hot and base closure; all 138 occurrences audited and promoted last
G638-C14	14	keechy	2	f47v.4	heiß gebundene Trockenform II	heiß-trocken, Form II	k+ee+ch+y	worksheet proposal only	heiß gebundene Trockenform II	3	3	2	FIELD_ORDER_AMBIGUITY	HOLD	only one of three contexts is informative and the internal ee/ch/y field order is not yet secured
G638-C15	15	chokshy	3	f29r.6	trocken angesetzte heiß-feuchte Grundform	Trockenform mit heiß-feuchter Qualität	ch+o+k+sh+y	worksheet proposal only	Trockenansatz einer erhitzt eingeweichten Grundform	1	1	1	INTERNAL_DRY_MOIST_SCOPE_COLLISION	HOLD	singleton combines dry and moist fields without an independently visible scope or process order
