round	surface	decision	decision_reason	pre_dictionary_entries	post_dictionary_entries	pre_dictionary_sha256	post_dictionary_sha256	occurrences	audited_occurrences	reader_exact_occurrences	consistent_concrete	opaque_context	reader_boundary_warning	hard_contradiction	nonsense	trial_complete_gain	trial_strict_complete_gain	complete_before	complete_after	marginal_complete	strict_complete_before	strict_complete_after	marginal_strict_complete	one_unknown_before	one_unknown_after	new_complete_loci	new_strict_complete_loci
1	cthoiin	ACCEPT	two reader-exact Herbal occurrences; visible cth drug head plus oiin form III	259	260	d440778f846416e9060ec69c7c9ab4f42f1d64d490a98cbdb930ef99bb8175f8	5aea6a8fd3f4a482ec0585617111ec8b7d0ec91d3c7b2441f6def7e7ae7390be	2	2	2	1	1	0	0	0	1	1	16	17	1	7	8	1	65	64	f15v.10	f15v.10
2	choiin	ACCEPT	ch dry field plus inherited oiin preparation/form III; thirteen occurrences audited	260	261	5aea6a8fd3f4a482ec0585617111ec8b7d0ec91d3c7b2441f6def7e7ae7390be	4091e747b743574c2b270c49fb36d3efb7f994897c8ea6e262b4e8c12a69214e	13	13	10	4	6	3	0	0	1	1	17	18	1	8	9	1	64	63	f28v.3	f28v.3
3	cthey	ACCEPT	fills the visible cthy to cthey to ctheey base/form-I/form-II ladder	261	262	4091e747b743574c2b270c49fb36d3efb7f994897c8ea6e262b4e8c12a69214e	1c210ca11d02460e134ae1a6a4f0973bc907c3c1ea9a3c68bebe856f0a7d322c	38	38	32	2	30	6	0	0	1	1	18	19	1	9	10	1	63	62	f4r.13	f4r.13
4	cthor	ACCEPT	cth drug head plus inherited or part/portion carrier; forty-three occurrences audited	262	263	1c210ca11d02460e134ae1a6a4f0973bc907c3c1ea9a3c68bebe856f0a7d322c	54648bb7d6854c3c4c3d27dab1788510ecb4a566471738093ce41ff588a90c06	43	43	39	16	23	4	0	0	1	1	19	20	1	10	11	1	62	61	f15v.12	f15v.12
5	qotchol	ACCEPT	quality frame plus cold, dry and material fields; thirteen exact-reader occurrences	263	264	54648bb7d6854c3c4c3d27dab1788510ecb4a566471738093ce41ff588a90c06	4f2723a0870535c6d6cfb40f0ba89e2a0377629ef4106814a1d1598d37545abb	13	13	13	5	8	0	0	0	1	1	20	21	1	11	12	1	61	61	f10r.5	f10r.5
6	otchol	ACCEPT	preparation frame plus cold, dry and material fields; twenty-seven occurrences audited	264	265	4f2723a0870535c6d6cfb40f0ba89e2a0377629ef4106814a1d1598d37545abb	149a26feb2d58abb11bde5a2c7b007604cca2e7ca9a2833c175301d05131a20b	27	27	24	6	18	3	0	0	1	1	21	22	1	12	13	1	61	63	f4r.3	f4r.3
7	kcho	ACCEPT	GDT636 concrete span plus seven occurrence contexts; current orientation k hot and ch dry	265	266	149a26feb2d58abb11bde5a2c7b007604cca2e7ca9a2833c175301d05131a20b	05b2c3f758ee48802b5ba27d1e78787af506a8d7a5a205de7ec6dd600830c794	7	7	4	1	3	3	0	0	1	1	22	23	1	13	14	1	63	62	f49r.12	f49r.12
8	chkaiin	ACCEPT	restores the visible hot and grade-III fields omitted by the GDT637 automatic default	266	267	05b2c3f758ee48802b5ba27d1e78787af506a8d7a5a205de7ec6dd600830c794	5054e1da56879365b6001f0f582499e592861b9f4d8b31772d05bd225bba626b	16	16	14	4	10	2	0	0	1	1	23	24	1	14	15	1	62	62	f28v.6	f28v.6
9	chtain	ACCEPT	restores the visible cold and grade-II fields omitted by the GDT637 automatic default	267	268	5054e1da56879365b6001f0f582499e592861b9f4d8b31772d05bd225bba626b	d475b70de3a3e9a12d30e27b65e0b6721d0bfbc0037c255e4ab169ead7a43f25	4	4	3	1	2	1	0	0	1	1	24	25	1	15	16	1	62	61	f36v.14	f36v.14
10	doiin	ACCEPT	d value/measure head plus oiin form III; eleven occurrences contain no contrary concrete carrier	268	269	d475b70de3a3e9a12d30e27b65e0b6721d0bfbc0037c255e4ab169ead7a43f25	0c3946b82b9d43aca4317f2d6d3538898a92e381c7e7fbadcb0779b2ce60b41d	11	11	9	4	5	2	0	0	1	1	25	26	1	16	17	1	61	61	f35v.21	f35v.21
11	dol	ACCEPT	d value/measure head plus ol material carrier; all seventy-six occurrences audited before admission	269	270	0c3946b82b9d43aca4317f2d6d3538898a92e381c7e7fbadcb0779b2ce60b41d	5db75eed39b0ed60fcf9c78e8ceccc0cfacd69b9bf678a0832f9ae42636ed8f2	76	76	64	11	53	12	0	0	1	1	26	27	1	17	18	1	61	62	f93r.21	f93r.21
12	oaiir	ACCEPT	direct o preparation plus aiir class-III composition; four occurrences and one informative completion	270	271	5db75eed39b0ed60fcf9c78e8ceccc0cfacd69b9bf678a0832f9ae42636ed8f2	28cdfda62f4496e99e6195aba16b8eefabe848714aadc1ba652007c5df2031e4	4	4	4	1	3	0	0	0	1	1	27	28	1	18	19	1	62	62	f7r.5	f7r.5
13	qoky	ACCEPT	quality frame plus hot and base closure; all 138 occurrences audited and promoted last	271	272	28cdfda62f4496e99e6195aba16b8eefabe848714aadc1ba652007c5df2031e4	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	138	138	125	28	97	13	0	0	2	1	28	30	2	19	20	1	62	62	f13v.5|f79v.4	f13v.5
14	keechy	HOLD	only one of three contexts is informative and the internal ee/ch/y field order is not yet secured	272	272	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	3	3	2	1	1	1	0	0	1	1	30	30	0	20	20	0	62	62	NONE	NONE
15	chokshy	HOLD	singleton combines dry and moist fields without an independently visible scope or process order	272	272	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	b7752ddcf858951488ac8edc956a4ab21576deb52b045ca6cd58f3454af2ab0b	1	1	1	0	0	0	1	0	1	1	30	30	0	20	20	0	62	62	NONE	NONE
