component	shelf	fixed_default_de	contrast_axis	contrast_partners	component_events	distinct_recipes	distinct_surfaces	physical_pages	registers	positions	teaching_note_de
Y	PRODUCTIVE_CONTRAST_CORE	DIESER POSTEN	Endpunkt	DY	997	405	461	14	4	LAST:709,FIRST:124,MIDDLE:48,ONLY:116	Bedeutung durch Austauschpartner begrenzt
OK	PRODUCTIVE_CONTRAST_CORE	ANSETZEN	Handlung	SH,CHK	448	109	146	14	4	FIRST:424,MIDDLE:22,ONLY:2	Bedeutung durch Austauschpartner begrenzt
E	PRODUCTIVE_CONTRAST_CORE	KURZ	Grad	EE,EEE	429	221	238	14	4	MIDDLE:416,FIRST:12,LAST:1	Bedeutung durch Austauschpartner begrenzt
DY	PRODUCTIVE_CONTRAST_CORE	SCHLUSS	Endpunkt	Y	368	91	105	14	4	LAST:366,MIDDLE:2	Bedeutung durch Austauschpartner begrenzt
O	PRODUCTIVE_CONTRAST_CORE	AUSFUEHREN	Arbeitsgang	T	341	250	258	14	4	MIDDLE:197,FIRST:94,ONLY:10,LAST:40	Bedeutung durch Austauschpartner begrenzt
OL	PRODUCTIVE_CONTRAST_CORE	FORTSETZEN	Reihenfolge	OT,OS	325	122	149	14	4	LAST:110,ONLY:87,MIDDLE:54,FIRST:74	Bedeutung durch Austauschpartner begrenzt
EE	PRODUCTIVE_CONTRAST_CORE	LAENGER	Grad	E,EEE	264	103	117	11	4	MIDDLE:262,FIRST:2	Bedeutung durch Austauschpartner begrenzt
OT	PRODUCTIVE_CONTRAST_CORE	DANACH/NAECHSTER	Reihenfolge	OL,OS	239	97	118	14	4	FIRST:225,MIDDLE:12,ONLY:2	Bedeutung durch Austauschpartner begrenzt
AL	PRODUCTIVE_CONTRAST_CORE	ZIELSTELLE	Richtung	AR,AIR	229	113	126	14	4	LAST:112,FIRST:24,ONLY:37,MIDDLE:56	Bedeutung durch Austauschpartner begrenzt
CH	PRODUCTIVE_CONTRAST_CORE	ENTNEHMEN	Transferhandlung	K,P	222	163	165	14	4	MIDDLE:114,FIRST:103,LAST:2,ONLY:3	Bedeutung durch Austauschpartner begrenzt
SH	PRODUCTIVE_CONTRAST_CORE	HALTEN	Handlung	OK,CHK	219	116	122	14	4	FIRST:158,MIDDLE:59,ONLY:1,LAST:1	Bedeutung durch Austauschpartner begrenzt
AR	PRODUCTIVE_CONTRAST_CORE	ENTNAHMESTELLE	Richtung	AL,AIR	201	84	90	13	4	ONLY:25,LAST:143,MIDDLE:25,FIRST:8	Bedeutung durch Austauschpartner begrenzt
K	PRODUCTIVE_CONTRAST_CORE	ZUGEBEN	Transferhandlung	CH,P	194	135	142	14	4	FIRST:61,MIDDLE:128,ONLY:1,LAST:4	Bedeutung durch Austauschpartner begrenzt
AIIN	PRODUCTIVE_CONTRAST_CORE	SOLLMASS	Menge/Index	AIN,IIN	191	51	56	14	4	ONLY:78,LAST:110,MIDDLE:3	Bedeutung durch Austauschpartner begrenzt
S	PRODUCTIVE_CONTRAST_CORE	WAEHLEN	Zustandsentscheidung	CTH,R	182	105	107	14	4	FIRST:92,MIDDLE:27,ONLY:27,LAST:36	Bedeutung durch Austauschpartner begrenzt
CHD	PRODUCTIVE_CONTRAST_CORE	UMSETZEN	Transferhandlung	CH,K	164	58	66	10	3	MIDDLE:90,FIRST:67,LAST:6,ONLY:1	Bedeutung durch Austauschpartner begrenzt
OR	PRODUCTIVE_CONTRAST_CORE	ANSATZ	Inhalt	CHEO,HO	151	77	86	14	4	LAST:102,MIDDLE:20,ONLY:20,FIRST:9	Bedeutung durch Austauschpartner begrenzt
L	PRODUCTIVE_CONTRAST_CORE	LEITEN	Weg	CKH,AIR	131	69	71	10	4	LAST:27,FIRST:91,ONLY:8,MIDDLE:5	Bedeutung durch Austauschpartner begrenzt
T	PRODUCTIVE_CONTRAST_CORE	EINSTELLEN	Arbeitsgang	O	127	95	101	14	4	MIDDLE:83,FIRST:42,LAST:1,ONLY:1	Bedeutung durch Austauschpartner begrenzt
AIN	PRODUCTIVE_CONTRAST_CORE	PORTION	Menge/Index	AIIN,IIN	105	31	35	10	4	ONLY:21,LAST:81,MIDDLE:2,FIRST:1	Bedeutung durch Austauschpartner begrenzt
R	PRODUCTIVE_CONTRAST_CORE	KENNZEICHNEN	Zustandsentscheidung	S,CTH	73	43	43	12	4	LAST:22,MIDDLE:9,ONLY:10,FIRST:32	Bedeutung durch Austauschpartner begrenzt
P	PRODUCTIVE_CONTRAST_CORE	EINSETZEN	Transferhandlung	CH,K	60	50	52	11	4	FIRST:26,MIDDLE:33,LAST:1	Bedeutung durch Austauschpartner begrenzt
CTH	PRODUCTIVE_CONTRAST_CORE	BEREITSTELLEN	Zustandsentscheidung	S,R	59	38	40	11	4	MIDDLE:33,FIRST:24,ONLY:1,LAST:1	Bedeutung durch Austauschpartner begrenzt
CKH	PRODUCTIVE_CONTRAST_CORE	DURCHLASS	Weg	L,AIR	55	24	27	12	4	FIRST:15,MIDDLE:40	Bedeutung durch Austauschpartner begrenzt
CHEO	PRODUCTIVE_CONTRAST_CORE	AUSZUG/EINTRAG	Inhalt	OR,HO	45	20	21	11	4	MIDDLE:8,FIRST:33,LAST:3,ONLY:1	Bedeutung durch Austauschpartner begrenzt
DA	PRODUCTIVE_CONTRAST_CORE	ZWEITE STUFE	Menge/Index	IIN	38	33	34	10	4	FIRST:18,MIDDLE:19,LAST:1	Bedeutung durch Austauschpartner begrenzt
AIR	PRODUCTIVE_CONTRAST_CORE	LAUF	Richtung/Weg	AL,AR,L	33	21	23	10	3	LAST:23,MIDDLE:3,FIRST:2,ONLY:5	Bedeutung durch Austauschpartner begrenzt
CHK	PRODUCTIVE_CONTRAST_CORE	BEHANDELN	Handlung	OK,SH	30	15	20	9	3	FIRST:29,MIDDLE:1	Bedeutung durch Austauschpartner begrenzt
IIN	PRODUCTIVE_CONTRAST_CORE	STUFE	Menge/Index	AIN,AIIN,DA	26	18	20	9	3	MIDDLE:9,LAST:17	Bedeutung durch Austauschpartner begrenzt
EEE	PRODUCTIVE_CONTRAST_CORE	VOLLSTAENDIG	Grad	E,EE	18	14	14	8	4	MIDDLE:17,FIRST:1	Bedeutung durch Austauschpartner begrenzt
