component	shelf	fixed_default_de	contrast_axis	contrast_partners	component_events	distinct_recipes	distinct_surfaces	physical_pages	registers	positions	teaching_note_de
D_ADDR	FORMAL_ADDRESS_SIGN	TEILSTELLE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	222	149	153	14	4	MIDDLE:110,FIRST:88,LAST:17,ONLY:7	produktiver Unterplatz ohne Sachwort
AM_ADDR	FORMAL_ADDRESS_SIGN	INNENSTELLE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	47	31	31	11	4	ONLY:10,LAST:34,MIDDLE:1,FIRST:2	lokale Gegen-/Innenadresse
CARRIER_Q	LOCAL_WRITING_SIGN	Q-EINTRITTSTRAEGER	RENDERER_OR_LOCAL_MARK	NONE	36	34	34	9	4	FIRST:35,MIDDLE:1	Positionsallograph
A_ADDR	FORMAL_ADDRESS_SIGN	LOKALE ADRESSE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	35	32	33	11	4	MIDDLE:22,FIRST:5,LAST:7,ONLY:1	allgemeine lokale Stelle
S_ADDR	FORMAL_ADDRESS_SIGN	STERN-/S-STELLE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	24	21	21	4	2	MIDDLE:6,LAST:17,FIRST:1	registergebundene Adresse
LOCAL_CHAR_F	LOCAL_WRITING_SIGN	F-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	13	12	12	5	4	MIDDLE:13	lokales Kennzeichen
G_LABEL	LOCAL_WRITING_SIGN	G-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	7	7	7	4	2	LAST:5,ONLY:1,MIDDLE:1	lokales Kennzeichen
LOCAL_CHAR_G	LOCAL_WRITING_SIGN	G-LOKALZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	5	5	5	5	4	LAST:4,FIRST:1	lokales Kennzeichen
LOCAL_CHAR_I	LOCAL_WRITING_SIGN	I-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	5	5	5	5	3	MIDDLE:5	lokales Kennzeichen
D_LABEL	LOCAL_WRITING_SIGN	D-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	3	3	3	3	2	LAST:3	lokales Kennzeichen
S_LABEL	LOCAL_WRITING_SIGN	S-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	3	2	2	1	1	LAST:2,FIRST:1	lokales Kennzeichen
LOCAL_CHAR_B	LOCAL_WRITING_SIGN	B-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	2	1	1	2	2	LAST:2	lokales Kennzeichen
M_LOCAL	LOCAL_WRITING_SIGN	M-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	2	2	2	2	2	LAST:2	lokales Kennzeichen
Z_ADDR	FORMAL_ADDRESS_SIGN	Z-STELLE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	2	2	2	1	1	FIRST:1,MIDDLE:1	lokale z-spezifische Adresse
LOCAL_CHAR_J	LOCAL_WRITING_SIGN	J-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	1	1	1	1	1	MIDDLE:1	lokales Kennzeichen
LOCAL_CHAR_Z	LOCAL_WRITING_SIGN	Z-LOKALZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	1	1	1	1	1	MIDDLE:1	lokales Kennzeichen
