component	shelf	fixed_default_de	contrast_axis	contrast_partners	component_events	distinct_recipes	distinct_surfaces	physical_pages	registers	positions	teaching_note_de
SHED	LEARNED_WORKSHOP_ROOT	ABSETZEN	LEARNED_FUNCTION	NONE	59	10	10	4	1	FIRST:52,MIDDLE:4,LAST:3	häufige Bio-Fachkarte; kein vollständiges Austauschparadigma
SOLK	LEARNED_WORKSHOP_ROOT	AUFFANGEN	LEARNED_FUNCTION	NONE	22	11	14	5	2	FIRST:22	lokale Sammel-/Haltekartenfamilie
LSH	LEARNED_WORKSHOP_ROOT	SPUELEN	LEARNED_FUNCTION	NONE	17	11	11	5	2	FIRST:10,MIDDLE:7	Bio-/Pharma-Durchgangskarte
CPH	LEARNED_WORKSHOP_ROOT	RUECKFUEHREN	LEARNED_FUNCTION	NONE	12	11	11	8	4	FIRST:7,MIDDLE:5	registerübergreifender Gegen-/Empfangsgang
HO	LEARNED_WORKSHOP_ROOT	STOFFTEIL	LEARNED_FUNCTION	NONE	11	5	6	6	2	FIRST:5,ONLY:6	gelernter Inhaltsklassifikator
AN	LEARNED_WORKSHOP_ROOT	ZUSATZ	LEARNED_FUNCTION	NONE	9	9	9	5	3	LAST:9	gelernter Nachgabe-Klassifikator
CFH	LEARNED_WORKSHOP_ROOT	PRESSEN	LEARNED_FUNCTION	NONE	5	3	3	5	2	FIRST:3,MIDDLE:2	seltene Trennoperation
OS	LEARNED_WORKSHOP_ROOT	DAZU	LEARNED_FUNCTION	NONE	4	1	1	3	2	ONLY:4	gelernter additiver Aufruf
LD	LEARNED_WORKSHOP_ROOT	BEFESTIGEN	LEARNED_FUNCTION	NONE	1	1	1	1	1	MIDDLE:1	einmalige gebundene Fachoperation
RESUME_CARD	LEARNED_WORKSHOP_ROOT	WIEDERAUFNEHMEN	LEARNED_FUNCTION	NONE	1	1	1	1	1	ONLY:1	einmalige Wiederaufnahmekarte
