chain_stage	component_or_whole_card_family	joint_tuple_id	surface_family	occurrences	event_ids	event_locations	pages	records	statements	owner	visible_owner_and_geometry	image_hashes_verified	visible_direction_or_filter_claim	current_selected_parse	new_working_parse	short_concrete_default_de	owner_process_step_de	rival_or_boundary_de	decision	connected_passages_de
01_WASH_WET	GELERNTE_KETTENKARTE	9247e38d29c79a0d2fa5	cheeety	1	E296	E296@f83r:f83r.20/B3-S029	f83r	B3	B3-S029	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	cheeety=erste Spülung	cheeety=erste Spülung	erste Spülung	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B3-S029: Mit Vorigem weiter; erste Spülung; kurz benetzen; Schluss
01_WASH_WET	GELERNTE_KETTENKARTE	c10aec6d4dd877ec8bd8	choy	1	E084	E084@f56r:f56r.8/H5-S002	f56r	H5	H5-S002	abgebildete Pflanze f56r	f56r: ganze Pflanze mit Spiraltrieb; kein Filter- oder Flüssigkeitsgerät gezeichnet	f56r=d1bda13a2d5d9fe935baa1dff136149d3cccf025ca25bc05b93e61d0a4ce352c	NO_DRAWN_PROCESS_APPARATUS; plant is owner only	choy=mit Wasser waschen	choy=mit Wasser waschen	mit Wasser waschen	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	H5-S002: Vom vorigen Posten nehmen; mit Wasser waschen; den laufenden Posten einsetzen; äußerlich anwenden; Ende
01_WASH_WET	GELERNTE_KETTENKARTE	cbb42a4fe68068325d6b	dshedy	1	E189	E189@f82r:f82r.7/B2-S007	f82r	B2	B2-S007	lokale Becken-/Gerätestation f82r	f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch	f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	DSHE_CLEAN_WATER+DY_TERMINAL	DSHE_CLEAN_WATER+DY_TERMINAL	sauberes Wasser zugeben; Schluss	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B2-S007: Sauberes Wasser zugeben; Schluss
01_WASH_WET	GELERNTE_KETTENKARTE	b958a512ca6a3559e86e	lkedy	1	E344	E344@f83r:f83r.37/B4-S011	f83r	B4	B4-S011	lokale Gefäß-/Leitungsstation f83r	f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	lke=zweimal waschen + dy=Ende	lke=zweimal waschen + dy=Ende	zweimal waschen; Ende	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B4-S011: Vorgeschriebenes Maß; kurz oder mild erwärmen; länger mit dem Vorigen fortführen; eine Portion zugeben; den laufenden Posten umsetzen oder durcharbeiten; mit Vorigem weiter; zweimal waschen; Ende
01_WASH_WET	LSH_WASCHEN	2e7e89e0bd12b999c280	lshedy	2	E143|E144	E143@f81v:f81v.21/B1-S012 | E144@f81v:f81v.21/B1-S013	f81v	B1	B1-S012|B1-S013	gemeinsames Becken-/Figurenfeld f81v	f81v: großes grünes Becken-/Figurenfeld und lokaler Randlauf; kein Pfeil, Filtertuch oder Klärsegment	f81v=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	lsh=waschen + dy=Ende	LSH_WASH+DY_CLOSE	waschen/spülen; Schluss	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	apparative Spülung statt Waschen; beides bleibt unter LSH=SPÜLEN/WASCHEN vereinigt	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B1-S012: Spülung beginnen; den laufenden Posten kurz anlegen; waschen; Ende | B1-S013: Waschen; Ende
01_WASH_WET	LSH_WASCHEN	be0974b366c981dc1eef	lsho	1	E141	E141@f81v:f81v.21/B1-S012	f81v	B1	B1-S012	gemeinsames Becken-/Figurenfeld f81v	f81v: großes grünes Becken-/Figurenfeld und lokaler Randlauf; kein Pfeil, Filtertuch oder Klärsegment	f81v=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	lsh=waschen	LSH_WASH+O_START	Spülung beginnen	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Fluss öffnen; gewählt ist der kürzere Werkstattwert Spülung beginnen	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B1-S012: Spülung beginnen; den laufenden Posten kurz anlegen; waschen; Ende
01_WASH_WET	GELERNTE_KETTENKARTE	7db18b2f0fb7ed0fcfd3	qokedy	8	E101|E137|E138|E259|E294|E297|E318|E335	E101@f81v:f81v.2/B1-S001 | E137@f81v:f81v.18/B1-S009 | E138@f81v:f81v.18/B1-S010 | E259@f83r:f83r.11/B3-S013 | E294@f83r:f83r.20/B3-S028 | E297@f83r:f83r.20/B3-S029 | E318@f83r:f83r.25/B4-S002 | E335@f83r:f83r.28/B4-S008	f81v|f83r	B1|B3|B4	B1-S001|B1-S009|B1-S010|B3-S013|B3-S028|B3-S029|B4-S002|B4-S008	gemeinsames Becken-/Figurenfeld f81v | lokale Gefäß-/Leitungsstation f83r	f81v: großes grünes Becken-/Figurenfeld und lokaler Randlauf; kein Pfeil, Filtertuch oder Klärsegment | f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f81v=5065b13388c0307510ce5c27bc6df76996791e6fc51a705a5b0a6be228a88d44 | f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	OK+GRADE_1+DY_CLOSE	OK+GRADE_1+DY_CLOSE	kurz benetzen; Schluss	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B1-S001: Kurz benetzen; Schluss | B1-S009: Kurz benetzen; Schluss | B1-S010: Kurz benetzen; Schluss | B3-S013: Auf das vorgeschriebene Maß einstellen; eine Portion; den laufenden Posten gebrauchsfertig halten; kurz benetzen; Schluss | B3-S028: Den laufenden Posten länger einwirken lassen; kurz benetzen; Schluss | B3-S029: Mit Vorigem weiter; erste Spülung; kurz benetzen; Schluss | B4-S002: Gefäß füllen; den laufenden Posten länger einwirken lassen; kurz benetzen; Schluss | B4-S008: Vorgeschriebenes Maß; länger warm halten; erste Öffnung; kurz benetzen; Schluss
01_WASH_WET	GELERNTE_KETTENKARTE	7d25241b0e56c836372a	qokeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	E171@f82r:f82r.2/B2-S003 | E201@f82r:f82r.19/B2-S011 | E213@f82r:f82r.26/B2-S015 | E224@f82r:f82r.27/B2-S018 | E227@f82r:f82r.27/B2-S021 | E245@f83r:f83r.6/B3-S007 | E265@f83r:f83r.14/B3-S017 | E302@f83r:f83r.22/B3-S031 | E315@f83r:f83r.25/B4-S001 | E329@f83r:f83r.27/B4-S005	f82r|f83r	B2|B3|B4	B2-S003|B2-S011|B2-S015|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005	lokale Becken-/Gerätestation f82r | lokale Gefäß-/Leitungsstation f83r	f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch | f83r: lokale Stationen und echter blauer Verbindungsbogen mit unteren Läufen; kein Pfeil, keine Quelle/Senke und kein sichtbares Filtertuch	f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c | f83r=3d5b04d796f247d140930949cd080f57164c94920134012adf8811112bcd55e9	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	OK+GRADE_2+DY_CLOSE	OK+GRADE_2+DY_CLOSE	länger einweichen; Schluss	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B2-S003: Eine Portion zugeben; dieser Arbeitsposten; länger einweichen; Schluss | B2-S011: Eine Portion zugeben; aus demselben Vorrat; eine Portion zugeben; länger einweichen; Schluss | B2-S015: Spülung beginnen; länger einweichen; Schluss | B2-S018: Länger einweichen; Schluss | B2-S021: Länger einweichen; Schluss | B3-S007: Auf das vorgeschriebene Maß einstellen; den laufenden Posten umsetzen oder durcharbeiten; länger einweichen; Schluss | B3-S017: Länger einweichen; Schluss | B3-S031: Länger einweichen; Schluss | B4-S001: Länger einweichen; Schluss | B4-S005: Durch Tuch; den laufenden Posten umsetzen oder durcharbeiten; länger einweichen; Schluss
01_WASH_WET	GELERNTE_KETTENKARTE	d25110e0d8488927278f	qokeeedy	1	E209	E209@f82r:f82r.23/B2-S012	f82r	B2	B2-S012	lokale Becken-/Gerätestation f82r	f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch	f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	OK+GRADE_3+DY_CLOSE	OK+GRADE_3+DY_CLOSE	vollständig durchtränken; Schluss	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B2-S012: Den flüssigen Anteil des laufenden Postens abziehen; klare Flüssigkeit; den laufenden Posten gebrauchsfertig halten; den laufenden Posten länger einwirken lassen; benetzte Körperstelle; vorgeschriebenes Maß; dieser Arbeitsposten; vollständig durchtränken; Schluss
01_WASH_WET	GELERNTE_KETTENKARTE	7f68f60279efe6b28cd7	rshedy	1	E225	E225@f82r:f82r.27/B2-S019	f82r	B2	B2-S019	lokale Becken-/Gerätestation f82r	f82r: mehrere getrennte Stationsvignetten mit lokalen Bändern/Knoten; kein durchgehender gerichteter Lauf und kein sichtbares Tuch	f82r=81bd1aa1addeedd6b08411ec05105f45d6ba6b9f59ea39ff95cf2fd89cf49d6c	NO_DRAWN_DIRECTION_OR_FILTER_CLOTH; only local owner/connection is visible	RSHE_WASH_PART+DY_TERMINAL	RSHE_WASH_PART+DY_TERMINAL	Teil als Waschung; Schluss	KETTENSCHRITT 1: waschen, spülen, benetzen oder einweichen	Rivale: allgemeines Baden, Übertragen oder Halten ohne Stofftrennung; konkrete Kartenlesung bleibt kürzer	SELECT_CONCRETE_FILTRATION_CHAIN_VALUE	B2-S019: Teil als Waschung; Schluss
