chain_name	statement_id	record_unit_id	page	loci	surface_sequence	selected_card_sequence_de	process_stages_de	complete_workshop_reading_de
HERBAL_INFLOW_COLLECTION	H1-S001	H1	f10r	f10r.2	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Flüssigkeitszulauf · auffangen · den laufenden Posten einsetzen · vorgeschriebenes Maß · Wurzelteil	Flüssigkeitszulauf → auffangen	Wurzelteil; säubern; aus demselben Vorrat; zerkleinern; Gefäß; Flüssigkeitszulauf; auffangen; den laufenden Posten einsetzen; vorgeschriebenes Maß; Wurzelteil
HERBAL_PRESSING	H2-S001	H2	f10r	f10r.6	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Pflanzenspitzen · gebrauchsfertig · Zubereitung · Kraut zerstoßen · abpressen · dieser Arbeitsposten · dieser Arbeitsposten · vorgeschriebenes Maß · dieser Arbeitsposten	zerkleinern → abpressen	Pflanzenspitzen; gebrauchsfertig; Zubereitung; Kraut zerstoßen; abpressen; dieser Arbeitsposten; dieser Arbeitsposten; vorgeschriebenes Maß; dieser Arbeitsposten
COMPLETE_HERBAL_SEPARATION	H3-S001	H3	f11r	f11r.1	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · in Wein kochen · auswringen · für die vorgeschriebene Zeit stehen lassen · nachseihen · Klarauszug · abkühlen; Ende	auswringen → stehen lassen → nachseihen → Klarauszug → abkühlen	Blütenkraut; in Wein kochen; auswringen; für die vorgeschriebene Zeit stehen lassen; nachseihen; Klarauszug; abkühlen; Ende
HERBAL_STORAGE	H4-S002	H4	f55v	f55v.5	daiin · chedy · talam	vorgeschriebenes Maß · den laufenden Posten umsetzen oder durcharbeiten · verwahren	Maß → durcharbeiten → verwahren	Vorgeschriebenes Maß; den laufenden Posten umsetzen oder durcharbeiten; verwahren
HERBAL_STRAINING	H5-S004	H5	f56r	f56r.13	okchy · chokcheo · kchal	den laufenden Posten einsetzen · Auszugsflüssigkeit zugeben · abseihen	Auszugsflüssigkeit → abseihen	Den laufenden Posten einsetzen; Auszugsflüssigkeit zugeben; abseihen
WASH_CYCLE	B1-S012	B1	f81v	f81v.21	lsho · qokey · lshedy	Waschgang · den laufenden Posten kurz anlegen · waschen; Schluss	Waschgang → kurz anlegen → waschen → Schluss	Waschgang; den laufenden Posten kurz anlegen; waschen; Schluss
WARM_STRAIN	B1-S020	B1	f81v	f81v.27	cheky · shckhedy	kurz oder mild erwärmen · seihen; Schluss	mild erwärmen → seihen → Schluss	Kurz oder mild erwärmen; seihen; Schluss
OUTLET_STRAIN	B2-S004	B2	f82r	f82r.2|f82r.3	qokal · lcheckhy · lched · qokeey · lcheckhedy	an der Zielstelle einsetzen · zweite Öffnung · hinausführen · den laufenden Posten länger einwirken lassen · klar seihen; Schluss	Zielstelle → Auslass → hinausführen → seihen → Schluss	An der Zielstelle einsetzen; zweite Öffnung; hinausführen; den laufenden Posten länger einwirken lassen; klar seihen; Schluss
CLOTH_PASSAGE	B2-S005	B2	f82r	f82r.3|f82r.4	qokaly · solkaiin · chckhy · qokaiin · qokaiin · octheol · chkeey · ldy	den laufenden Posten an der Zielstelle einsetzen · Seihtuch · durch den Durchlauf führen · auf das vorgeschriebene Maß einstellen · auf das vorgeschriebene Maß einstellen · gleiche Einstellung · den laufenden Posten länger warm halten · abziehen; Ende	Seihtuch → Durchlauf → Maß → warm halten → abziehen	Den laufenden Posten an der Zielstelle einsetzen; Seihtuch; durch den Durchlauf führen; auf das vorgeschriebene Maß einstellen; auf das vorgeschriebene Maß einstellen; gleiche Einstellung; den laufenden Posten länger warm halten; abziehen; Ende
CLEAR_RESULT	B2-S010	B2	f82r	f82r.7	qokeey · qoky · ls · cheey	den laufenden Posten länger einwirken lassen · den laufenden Posten einsetzen · erste Öffnung · Klarauszug	länger einwirken → einsetzen → Klarauszug	Den laufenden Posten länger einwirken lassen; den laufenden Posten einsetzen; erste Öffnung; Klarauszug
