statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	filtration_revised_event_count	surface_sequence	card_sequence_de	event_slot_trace	canonical_slots_present	workshop_sentence_de	physical_line_note
H1-S001	H1	f10r	f10r.2	F001	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	10	1	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Flüssigkeitszulauf · auffangen · den laufenden Posten einsetzen · vorgeschriebenes Maß · Wurzelteil	E001[OWNER_ITEM] | E002[OPERATION] | E003[SOURCE] | E004[OPERATION] | E005[OPERATION] | E006[FLOW_TRANSFER] | E007[FLOW_TRANSFER] | E008[OWNER_ITEM+OPERATION] | E009[QUANTITY] | E010[OWNER_ITEM]	OWNER_ITEM>SOURCE>QUANTITY>OPERATION>FLOW_TRANSFER	Wurzelteil; säubern; aus demselben Vorrat; zerkleinern; Gefäß; Flüssigkeitszulauf; auffangen; den laufenden Posten einsetzen; vorgeschriebenes Maß; Wurzelteil	LOCAL_SEQUENCE
H1-S002	H1	f10r	f10r.5	F002	E011|E012|E013|E014	4	0	qokchy · qotchol · chol · cthy	den laufenden Posten einsetzen · gelind erwärmen · mit Vorigem weiter · gebrauchsfertig	E011[OWNER_ITEM+OPERATION] | E012[OPERATION] | E013[OPERATION] | E014[STATE_GRADE]	OWNER_ITEM>OPERATION>STATE_GRADE	Den laufenden Posten einsetzen; gelind erwärmen; mit Vorigem weiter; gebrauchsfertig	LOCAL_SEQUENCE
H2-S001	H2	f10r	f10r.6	F003	E015|E016|E017|E018|E019|E020|E021|E022|E023	9	1	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Pflanzenspitzen · gebrauchsfertig · Zubereitung · Kraut zerstoßen · abpressen · dieser Arbeitsposten · dieser Arbeitsposten · vorgeschriebenes Maß · dieser Arbeitsposten	E015[OWNER_ITEM] | E016[STATE_GRADE] | E017[PREPARATION] | E018[OPERATION] | E019[OPERATION] | E020[OWNER_ITEM] | E021[OWNER_ITEM] | E022[QUANTITY] | E023[OWNER_ITEM]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>STATE_GRADE	Pflanzenspitzen; gebrauchsfertig; Zubereitung; Kraut zerstoßen; abpressen; dieser Arbeitsposten; dieser Arbeitsposten; vorgeschriebenes Maß; dieser Arbeitsposten	LOCAL_SEQUENCE
H2-S002	H2	f10r	f10r.8	F004	E024|E025|E026|E027|E028|E029|E030|E031	8	0	qotchor · chor · otol · chol · cholor · chol · daiin · dar	die nächste Zubereitung · Zubereitung · danach weiter · mit Vorigem weiter · mit der vorigen Zubereitung · mit Vorigem weiter · vorgeschriebenes Maß · aus demselben Vorrat	E024[PREPARATION] | E025[PREPARATION] | E026[OPERATION] | E027[OPERATION] | E028[PREPARATION] | E029[OPERATION] | E030[QUANTITY] | E031[SOURCE]	SOURCE>QUANTITY>PREPARATION>OPERATION	Die nächste Zubereitung; Zubereitung; danach weiter; mit Vorigem weiter; mit der vorigen Zubereitung; mit Vorigem weiter; vorgeschriebenes Maß; aus demselben Vorrat	LOCAL_SEQUENCE
H2-S003	H2	f10r	f10r.9	F005	E032|E033|E034|E035|E036|E037|E038	7	0	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	glasiertes Gefäß · Zubereitung · Zubereitung · dieser Arbeitsposten · weiche Sollstufe · dieser Arbeitsposten · Geschwür	E032[OPERATION] | E033[PREPARATION] | E034[PREPARATION] | E035[OWNER_ITEM] | E036[QUANTITY+STATE_GRADE] | E037[OWNER_ITEM] | E038[OPERATION]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>STATE_GRADE	Glasiertes Gefäß; Zubereitung; Zubereitung; dieser Arbeitsposten; weiche Sollstufe; dieser Arbeitsposten; Geschwür	LOCAL_SEQUENCE
H3-S001	H3	f11r	f11r.1	F006	E039|E040|E041|E042|E043|E044|E045	7	3	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · in Wein kochen · auswringen · für die vorgeschriebene Zeit stehen lassen · nachseihen · Klarauszug · abkühlen; Ende	E039[OWNER_ITEM] | E040[OPERATION] | E041[OPERATION] | E042[QUANTITY+STATE_GRADE] | E043[OPERATION] | E044[PREPARATION] | E045[CLOSE]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>STATE_GRADE>CLOSE	Blütenkraut; in Wein kochen; auswringen; für die vorgeschriebene Zeit stehen lassen; nachseihen; Klarauszug; abkühlen; Ende	LOCAL_SEQUENCE
H3-S002	H3	f11r	f11r.1	F007	E046	1	0	shoyty	Blütenanteil zurückhalten	E046[OWNER_ITEM]	OWNER_ITEM	Blütenanteil zurückhalten	LOCAL_SEQUENCE
H3-S003	H3	f11r	f11r.4	F008	E047|E048|E049|E050|E051	5	0	dchol · chy · kchy · dy · daiin	vom vorigen Posten nehmen · dieser Arbeitsposten · als Trank geben · dieser Arbeitsposten · vorgeschriebenes Maß	E047[OWNER_ITEM+SOURCE+OPERATION] | E048[OWNER_ITEM] | E049[OPERATION] | E050[OWNER_ITEM] | E051[QUANTITY]	OWNER_ITEM>SOURCE>QUANTITY>OPERATION	Vom vorigen Posten nehmen; dieser Arbeitsposten; als Trank geben; dieser Arbeitsposten; vorgeschriebenes Maß	LOCAL_SEQUENCE
H3-S004	H3	f11r	f11r.7	F009	E052|E053|E054|E055	4	0	qotchy · okchol · cthy · dy	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · gebrauchsfertig · dieser Arbeitsposten	E052[OWNER_ITEM] | E053[OPERATION] | E054[STATE_GRADE] | E055[OWNER_ITEM]	OWNER_ITEM>OPERATION>STATE_GRADE	Zurückbehaltene Blüten; mit dem vorigen Arbeitsgut weiterarbeiten; gebrauchsfertig; dieser Arbeitsposten	LOCAL_SEQUENCE
H4-S001	H4	f55v	f55v.5	F010	E056|E057|E058|E059|E060	5	0	qokaiin · chaiin · ykain · ykan · ody	auf das vorgeschriebene Maß einstellen · vorgeschriebenes Maß · eine Portion des laufenden Postens · diese Portion · kühl lagern; Ende	E056[QUANTITY+OPERATION] | E057[QUANTITY] | E058[OWNER_ITEM+QUANTITY] | E059[OWNER_ITEM+QUANTITY] | E060[STATE_GRADE+CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>STATE_GRADE>CLOSE	Auf das vorgeschriebene Maß einstellen; vorgeschriebenes Maß; eine Portion des laufenden Postens; diese Portion; kühl lagern; Ende	LOCAL_SEQUENCE
