unit_serial	register	page	unit_id	visible_owner	group_count	surface_sequence	atom_sequence	literal_card_reading_de	owner_expansion_de	translation_mode
117	ASTRO	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	3	ykshy s aram	YK | S | AR+AM	bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt	right sector slot 01: bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
118	ASTRO	f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	3	ykecho ols eesydy	YK+HO | OL | EE+DY	bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten	right sector slot 02: bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
119	ASTRO	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	3	ey shs okar	SEL+Y | SH+S | OK+AR	aktuelle Auswahl; Nebenwert halten; Quelle aktivieren	right sector slot 03: aktuelle Auswahl; Nebenwert halten; Quelle aktivieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
120	ASTRO	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	2	shekchy sykos	SH+KCH+Y | YK+OS	aktuellen Posten beim Bearbeiten halten; Klassenfeld	right sector slot 04: aktuellen Posten beim Bearbeiten halten; Klassenfeld	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
121	ASTRO	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	2	ykeody okchy	YK+E+OD+Y | KCH	diesen Klassenposten kurz markieren; diesen Diagrammposten setzen	right sector slot 05: diesen Klassenposten kurz markieren; diesen Diagrammposten setzen	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
122	ASTRO	f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	1	dchetay	D+CH+T+A+Y	fester aktueller Hauptphasen-Zustand	right sector slot 06: fester aktueller Hauptphasen-Zustand	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
123	ASTRO	f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	3	ykchy kchey ykchys	YK+KCH | KCH | YK+KCH	bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH	right sector slot 07: bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
124	ASTRO	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	1	chkchdar	KCH+AR	Bearbeiten + Quelle	right sector slot 08: Bearbeiten + Quelle	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
125	ASTRO	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	2	ykar ykaly	YK+AR | YK+AL	bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL	right sector slot 09: bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
126	ASTRO	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	3	lkshy kchy okar	SH+Y | KCH | OK+AR	aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren	right sector slot 10: aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
