unit_serial	register	page	unit_id	visible_owner	group_count	surface_sequence	atom_sequence	literal_card_reading_de	owner_expansion_de	translation_mode
1	PROSE	f10r	H1-S001	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
2	PROSE	f10r	H1-S002	H1	4	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Nimm den Posten in Arbeit, führe ihn weiter und halte ihn bereit.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
3	PROSE	f10r	H2-S001	H2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm den Auszugsansatz, bringe ihn bis zum Bereitschaftsgrad und führe ihn nach Sollmaß weiter.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
4	PROSE	f10r	H2-S002	H2	8	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	Beginne den nächsten Ansatz, arbeite mit dem vorigen Ansatz weiter, stelle auf Sollmaß und entnimm vom Ausgang.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
5	PROSE	f10r	H2-S003	H2	7	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Bearbeite den laufenden Ansatz weiter, halte ihn auf der festgelegten Stufe und gib die vorgeschriebene Zutatenmenge zu.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
6	PROSE	f11r	H3-S001	H3	7	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Nimm den Pflanzenteil, bringe ihn zur Arbeitsstelle, wringe ihn aus, lasse ihn bis zum Sollwert stehen, seihe nach und stelle den Klarauszug beiseite.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
7	PROSE	f11r	H3-S002	H3	1	shoyty	HO+Y+TY	Zutatenteil	Lege einen Teil der Zutat zurück.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
8	PROSE	f11r	H3-S003	H3	5	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Nimm den vorigen Posten wieder auf, bearbeite ihn und arbeite nach Sollmaß.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
9	PROSE	f11r	H3-S004	H3	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Nimm den verbleibenden Pflanzenteil als nächsten Posten, setze die Fortsetzung an und halte sie bereit.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
10	PROSE	f55v	H4-S001	H4	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	Arbeite nach Sollmaß, nimm zwei bezeichnete Anteile und kühle den letzten ab.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
