unified_serial	register	page	source_group_id	reading_unit_id	visible_owner	visible_surface	surface_id	atom_sequence	short_value_de	unit_reading_de	lookup_mode	autonomy
1	PROSE	f10r	E001	H1-S001	H1	dchey	SF0119	DCHE+Y	Wurzel als aktueller Posten	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	COMPOSED_LEARNED_PROSE_BODY	FULL
2	PROSE	f10r	E002	H1-S001	H1	cthoor	SF0099	CTH+OR	Ansatz bereit	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
3	PROSE	f10r	E003	H1-S001	H1	char	SF0021	AR	aus dem Ansatz	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
4	PROSE	f10r	E004	H1-S001	H1	chty	SF0090	PARTITION+TY	Teil abtrennen	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	COMPOSED_LEARNED_PROSE_BODY	FULL
5	PROSE	f10r	E005	H1-S001	H1	os	SF0264	OS	Mischgefäß	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	NONE
6	PROSE	f10r	E006	H1-S001	H1	chair	SF0019	AIR	Wasserzulauf	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
7	PROSE	f10r	E007	H1-S001	H1	otytchol	SF0302	OT+TY+OL	naechsten Teilposten weiterfuehren	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
8	PROSE	f10r	E008	H1-S001	H1	oky	SF0243	OK+Y	aktuellen Posten ansetzen	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
9	PROSE	f10r	E009	H1-S001	H1	daiin	SF0105	AIIN	Sollmaß	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
10	PROSE	f10r	E010	H1-S001	H1	etyd	SF0137	E+TY	kleiner Restteil	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	PROSE_STATEMENT_ATTACHMENT	FULL
