model	edition	paragraph	at	word	kind	carrier	carrier_word	rule	recipient
N	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	ACTION	ZL3b|f18v.4|G002	qokay	IMMEDIATE_RIGHT_INPUT	ZL3b|f18v.1|G002
N	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.9|G002	qotchy	ACTION	ZL3b|f18v.9|G003	qokchy	IMMEDIATE_RIGHT_INPUT	ZL3b|f18v.6|G005
Q	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	ACTION	ZL3b|f18v.4|G002	qokay	IMMEDIATE_RIGHT_INPUT	ZL3b|f18v.1|G002
Q	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.6|G003	otchy	QUALITY	ZL3b|f18v.6|G002	chor	IMMEDIATE_LEFT_ELSE_RIGHT	
Q	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.9|G002	qotchy	ACTION	ZL3b|f18v.9|G003	qokchy	IMMEDIATE_RIGHT_INPUT	ZL3b|f18v.6|G005
N	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G002	chol	QUALITY	ZL3b|f19v.3|G001	otchy	LAST_PRIOR_MATERIAL	
N	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	ACTION	ZL3b|f19v.5|G002	qoteey	IMMEDIATE_RIGHT_INPUT	ZL3b|f19v.3|G001
Q	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G001	otchy	QUALITY			IMMEDIATE_LEFT_ELSE_RIGHT	
Q	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G002	chol	QUALITY			LAST_PRIOR_MATERIAL	
Q	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	ACTION	ZL3b|f19v.5|G002	qoteey	IMMEDIATE_RIGHT_INPUT	
N	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.2|G004	shol	QUALITY	ZL3b|f2v.1|G006	chor	LAST_PRIOR_MATERIAL	
N	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G004	chol	QUALITY	ZL3b|f2v.3|G002	chor	LAST_PRIOR_MATERIAL	
Q	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.2|G004	shol	QUALITY	ZL3b|f2v.1|G006	chor	LAST_PRIOR_MATERIAL	
Q	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G001	otchy	QUALITY	ZL3b|f2v.3|G002	chor	IMMEDIATE_LEFT_ELSE_RIGHT	
Q	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G004	chol	QUALITY	ZL3b|f2v.3|G002	chor	LAST_PRIOR_MATERIAL	
N	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.9|G003	shol	QUALITY			LAST_PRIOR_MATERIAL	
N	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G002	chol	QUALITY	ZL3b|f56r.10|G009	okaiin	LAST_PRIOR_MATERIAL	
N	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G004	qotchy	ACTION			IMMEDIATE_RIGHT_INPUT	ZL3b|f56r.10|G009
N	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.15|G003	chol	QUALITY	ZL3b|f56r.10|G009	okaiin	LAST_PRIOR_MATERIAL	
N	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.16|G001	qotchy	ACTION	ZL3b|f56r.16|G002	chody	IMMEDIATE_RIGHT_INPUT	ZL3b|f56r.15|G004
Q	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.9|G003	shol	QUALITY			LAST_PRIOR_MATERIAL	
Q	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.10|G003	otchy	QUALITY	ZL3b|f56r.10|G002	chor	IMMEDIATE_LEFT_ELSE_RIGHT	
Q	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G002	chol	QUALITY	ZL3b|f56r.10|G009	okaiin	LAST_PRIOR_MATERIAL	
Q	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G004	qotchy	ACTION			IMMEDIATE_RIGHT_INPUT	ZL3b|f56r.10|G009
Q	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.15|G003	chol	QUALITY	ZL3b|f56r.10|G009	okaiin	LAST_PRIOR_MATERIAL	
Q	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.16|G001	qotchy	ACTION	ZL3b|f56r.16|G002	chody	IMMEDIATE_RIGHT_INPUT	ZL3b|f56r.15|G004
N	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.4|G001	qotchy	ACTION	IT2a|f18v.4|G002	qokay	IMMEDIATE_RIGHT_INPUT	
N	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.9|G002	qotchy	ACTION	IT2a|f18v.9|G003	qokchy	IMMEDIATE_RIGHT_INPUT	IT2a|f18v.6|G005
Q	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.4|G001	qotchy	ACTION	IT2a|f18v.4|G002	qokay	IMMEDIATE_RIGHT_INPUT	
Q	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.6|G003	otchy	QUALITY	IT2a|f18v.6|G002	chor	IMMEDIATE_LEFT_ELSE_RIGHT	
Q	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.9|G002	qotchy	ACTION	IT2a|f18v.9|G003	qokchy	IMMEDIATE_RIGHT_INPUT	IT2a|f18v.6|G005
N	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G002	chol	QUALITY	IT2a|f19v.3|G001	otchy	LAST_PRIOR_MATERIAL	
N	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	ACTION	IT2a|f19v.5|G002	qoteey	IMMEDIATE_RIGHT_INPUT	IT2a|f19v.3|G001
Q	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G001	otchy	QUALITY			IMMEDIATE_LEFT_ELSE_RIGHT	
Q	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G002	chol	QUALITY			LAST_PRIOR_MATERIAL	
Q	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	ACTION	IT2a|f19v.5|G002	qoteey	IMMEDIATE_RIGHT_INPUT	
N	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.2|G004	shol	QUALITY	IT2a|f2v.1|G007	chor	LAST_PRIOR_MATERIAL	
N	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G004	chol	QUALITY	IT2a|f2v.3|G002	chor	LAST_PRIOR_MATERIAL	
Q	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.2|G004	shol	QUALITY	IT2a|f2v.1|G007	chor	LAST_PRIOR_MATERIAL	
Q	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G001	otchy	QUALITY	IT2a|f2v.3|G002	chor	IMMEDIATE_LEFT_ELSE_RIGHT	
Q	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G004	chol	QUALITY	IT2a|f2v.3|G002	chor	LAST_PRIOR_MATERIAL	
N	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.9|G003	shol	QUALITY			LAST_PRIOR_MATERIAL	
N	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.14|G003	qotchy	ACTION			IMMEDIATE_RIGHT_INPUT	IT2a|f56r.11|G005
N	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.15|G002	chol	QUALITY	IT2a|f56r.11|G005	chor	LAST_PRIOR_MATERIAL	
N	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.16|G001	qotchy	ACTION	IT2a|f56r.16|G002	chody	IMMEDIATE_RIGHT_INPUT	IT2a|f56r.15|G003
Q	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.9|G003	shol	QUALITY			LAST_PRIOR_MATERIAL	
Q	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.10|G002	otchy	QUALITY			IMMEDIATE_LEFT_ELSE_RIGHT	
Q	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.14|G003	qotchy	ACTION			IMMEDIATE_RIGHT_INPUT	IT2a|f56r.11|G005
Q	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.15|G002	chol	QUALITY	IT2a|f56r.11|G005	chor	LAST_PRIOR_MATERIAL	
Q	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.16|G001	qotchy	ACTION	IT2a|f56r.16|G002	chody	IMMEDIATE_RIGHT_INPUT	IT2a|f56r.15|G003
