edition	paragraph	at	word	N_carrier	Q_carrier	N_word	Q_word	N_recipient	Q_recipient
ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.6|G003	otchy	MATERIAL_NOT_PREDICATE	ZL3b|f18v.6|G002	otchy	chor		
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G002	chol	ZL3b|f19v.3|G001		otchy			
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	ZL3b|f19v.5|G002	ZL3b|f19v.5|G002	qoteey	qoteey	ZL3b|f19v.3|G001	
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G001	otchy	MATERIAL_NOT_PREDICATE		otchy			
ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G001	otchy	MATERIAL_NOT_PREDICATE	ZL3b|f2v.3|G002	otchy	chor		
ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.10|G003	otchy	MATERIAL_NOT_PREDICATE	ZL3b|f56r.10|G002	otchy	chor		
IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.6|G003	otchy	MATERIAL_NOT_PREDICATE	IT2a|f18v.6|G002	otchy	chor		
IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G002	chol	IT2a|f19v.3|G001		otchy			
IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	IT2a|f19v.5|G002	IT2a|f19v.5|G002	qoteey	qoteey	IT2a|f19v.3|G001	
IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G001	otchy	MATERIAL_NOT_PREDICATE		otchy			
IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G001	otchy	MATERIAL_NOT_PREDICATE	IT2a|f2v.3|G002	otchy	chor		
IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.10|G002	otchy	MATERIAL_NOT_PREDICATE		otchy			
