old_command_id	card_no	event_id	page	record	statement_id	position_in_statement	surface	previous_command_de	current_command_de	next_command_de	case_expansion_de
CMD095	PROC008	E008	f10r	H1	H1-S001	MIDDLE	oky	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	ANSETZEN · DIES	MASS	den laufenden Posten einsetzen
CMD095	PROC011	E011	f10r	H1	H1-S002	FIRST	qokchy	START	ANSETZEN · DIES	DANACH · ABZIEHEN · FORTSETZEN	den laufenden Posten einsetzen
CMD097	PROC013	E013	f10r	H1	H1-S002	MIDDLE	chol	DANACH · ABZIEHEN · FORTSETZEN	FORTSETZEN	BEREIT · DIES	danach den laufenden Posten weiter bis bereit abnehmen
CMD097	PROC013	E027	f10r	H2	H2-S002	MIDDLE	chol	DANACH · FORTSETZEN	FORTSETZEN	FORTSETZEN · ANSATZ	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben
CMD097	PROC013	E029	f10r	H2	H2-S002	MIDDLE	chol	FORTSETZEN · ANSATZ	FORTSETZEN	MASS	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben
CMD141	PROC031	E044	f11r	H3	H3-S001	MIDDLE	shey	HINEIN · DIES	HALTEN · LANG · DIES	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	den laufenden Posten länger halten
CMD097	PROC034	E047	f11r	H3	H3-S003	FIRST	dchol	START	FORTSETZEN	DIES	den laufenden Posten weiter zugeben
CMD121	PROC036	E052	f11r	H3	H3-S004	FIRST	qotchy	START	DANACH · DIES	ANSETZEN · FORTSETZEN	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen
CMD093	PROC037	E053	f11r	H3	H3-S004	MIDDLE	okchol	DANACH · DIES	ANSETZEN · FORTSETZEN	BEREIT · DIES	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen
CMD161	PROC039	E058	f55v	H4	H4-S001	MIDDLE	ykain	MASS	DIES · ZUFUEHREN · PORTION	DIES · ZUFUEHREN · PORTION	den laufenden Posten nach vorgeschriebenem Maß als Portion dosiert zugeben
CMD161	PROC040	E059	f55v	H4	H4-S001	MIDDLE	ykan	DIES · ZUFUEHREN · PORTION	DIES · ZUFUEHREN · PORTION	GANG; SCHLUSS	den laufenden Posten als Portion im Arbeitsgang zugeben und den Schritt schließen
CMD022	PROC042	E062	f55v	H4	H4-S002	MIDDLE	chedy	MASS	UMSETZEN · DIES	VERWAHREN	den laufenden Posten nach vorgeschriebenem Maß abmessen und umsetzen
CMD025	PROC046	E066	f55v	H4	H4-S003	MIDDLE	cheeky	ABZIEHEN · KURZ · GANG · QUELLE	WAERMEN · LANG · DIES	FORTSETZEN; SCHLUSS	den laufenden Posten weiter länger temperieren und den Schritt schließen
CMD095	PROC008	E081	f56r	H5	H5-S001	MIDDLE	choky	DANACH · ABZIEHEN · ANSATZ	ANSETZEN · DIES	ZIEL	den laufenden Posten einsetzen
CMD097	PROC034	E083	f56r	H5	H5-S002	FIRST	schol	START	FORTSETZEN	GABE · DIES	den laufenden Posten weiter an der bezeichneten Stelle anlegen
CMD095	PROC008	E085	f56r	H5	H5-S002	MIDDLE	choky	GABE · DIES	ANSETZEN · DIES	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	den laufenden Posten weiter an der bezeichneten Stelle anlegen
CMD095	PROC011	E091	f56r	H5	H5-S004	FIRST	okchy	START	ANSETZEN · DIES	ANSETZEN · ABZIEHEN · KURZ · GANG	den laufenden Posten einsetzen
CMD095	PROC011	E095	f56r	H5	H5-S005	MIDDLE	chokchy	GABE	ANSETZEN · DIES	ZUFUEHREN · GABE · QUELLE	den laufenden Posten ansetzen
CMD121	PROC065	E098	f56r	H5	H5-S006	FIRST	otchey	START	DANACH · DIES	ZUFUEHREN · KURZ · FORTSETZEN	danach den laufenden Posten weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zugeben
CMD097	PROC013	E106	f81v	B1	B1-S002	MIDDLE	ol	QUELLE	FORTSETZEN	ZUFUEHREN · PORTION	eine Portion weiter von dort dosiert zugeben
CMD097	PROC013	E110	f81v	B1	B1-S002	MIDDLE	ol	ZIEL	FORTSETZEN	KUEHLEN · FORTSETZEN	den laufenden Posten weiter an der bezeichneten Stelle abkühlen lassen
CMD097	PROC013	E114	f81v	B1	B1-S002	MIDDLE	ol	FORTSETZEN · ANSATZ	FORTSETZEN	HALTEN · KURZ · DURCHLASS · ZIEL	den Ansatz weiter an der bezeichneten Stelle durch den Durchlass kurz zurückhalten
CMD021	PROC076	E120	f81v	B1	B1-S002	LAST	schedy	DURCHLASS · DIES	UMSETZEN; SCHLUSS	END	den laufenden Posten nach vorgeschriebenem Maß durch den Durchlass durchleiten und den Schritt schließen
CMD097	PROC013	E121	f81v	B1	B1-S003	FIRST	qol	START	FORTSETZEN	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	den laufenden Posten weiter halten und zugeben und überführen und den Schritt schließen
CMD022	PROC042	E123	f81v	B1	B1-S004	FIRST	chedy	START	UMSETZEN · DIES	FORTSETZEN	den laufenden Posten umsetzen
CMD097	PROC013	E124	f81v	B1	B1-S004	MIDDLE	ol	UMSETZEN · DIES	FORTSETZEN	ABSETZEN; SCHLUSS	den laufenden Posten weiter absetzen lassen und den Schritt schließen
CMD084	PROC082	E131	f81v	B1	B1-S007	ONLY	qokchdy	START	ANSETZEN · UMSETZEN; SCHLUSS	END	den laufenden Posten einsetzen und überführen und den Schritt schließen
CMD097	PROC013	E133	f81v	B1	B1-S008	MIDDLE	ol	DIES	FORTSETZEN	WAERMEN · KURZ · DIES	den laufenden Posten weiter kurz warm halten
CMD097	PROC013	E135	f81v	B1	B1-S008	MIDDLE	ol	WAERMEN · KURZ · DIES	FORTSETZEN	ABSETZEN; SCHLUSS	den laufenden Posten weiter absetzen lassen und den Schritt schließen
CMD095	PROC008	E140	f81v	B1	B1-S011	LAST	qoky	DURCHLASS · DIES	ANSETZEN · DIES	END	den laufenden Posten durch den Durchlass einleiten
CMD022	PROC042	E145	f81v	B1	B1-S014	FIRST	chedy	START	UMSETZEN · DIES	AUFFANGEN · DIES	den laufenden Posten umsetzen
CMD097	PROC013	E148	f81v	B1	B1-S014	MIDDLE	qol	FUEHREN · UMSETZEN · ZIEL	FORTSETZEN	DANACH · QUELLE	danach den laufenden Posten weiter von dort kurz übertragen
