card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution
PROC001	dchey	CH+E+Y	CMD015	ABZIEHEN · KURZ · DIES	ACTION_COMMAND	1	H1	NO	CMD015	ABZIEHEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC002	cthoor	CTH+O+OR	CMD029	BEREIT · GANG · ANSATZ	STATE_OR_GRADE_FORMULA	1	H1	NO	CMD029	BEREIT · GANG · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC003	char|dar|sar	AR	CMD008	QUELLE	ARGUMENT_OR_OBJECT_FORMULA	5	H1|H2|B1|B2|B3	NO	CMD008	QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC004	chety|chty	T+Y	CMD156	EINTRAGEN · DIES	ACTION_COMMAND	2	H1|B3	NO	CMD156	EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC005	os	OS	CMD108	FACH	ARGUMENT_OR_OBJECT_FORMULA	1	H1	NO	CMD108	FACH	UNCHANGED_UNIQUE_COMMAND
PROC006	chair	CH+AIR	CMD011	ABZIEHEN · LAUF	ACTION_COMMAND	1	H1	NO	CMD011	ABZIEHEN · LAUF	UNCHANGED_UNIQUE_COMMAND
PROC007	otytchol	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	ACTION_COMMAND	1	H1	NO	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC008	choky|oky|qoky	OK+Y	CMD095	ANSETZEN · DIES	ACTION_COMMAND	10	H1|H5|B1|B2|B3|B4	YES	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	CMD001	MASS	ARGUMENT_OR_OBJECT_FORMULA	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	NO	CMD001	MASS	UNCHANGED_UNIQUE_COMMAND
PROC010	etyd	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	ACTION_COMMAND	1	H1	NO	CMD034	KURZ · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC011	chokchy|okchy|qokchy	OK+Y	CMD095	ANSETZEN · DIES	ACTION_COMMAND	3	H1|H5	YES	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC012	qotchol	OT+CH+OL	CMD112	DANACH · ABZIEHEN · FORTSETZEN	ACTION_COMMAND	1	H1	NO	CMD112	DANACH · ABZIEHEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC013	cheol|chol|ol|qol|sol|tol	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	19	H1|H2|B1|B3|B4|B5|B6	YES	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC014	checthy|cthy|shcthy	CTH+Y	CMD030	BEREIT · DIES	STATE_OR_GRADE_FORMULA	7	H1|H2|H3|B3	NO	CMD030	BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND
