group_no	old_command_id	old_semantic_parse	old_command_de	card_ids	surfaces	events	records	position_profile	decision	split_card_ids	revised_reading_de	rationale
DG01	CMD095	OK+Y	ANSETZEN · DIES	PROC008|PROC011	choky|oky|qoky || chokchy|okchy|qokchy	13	B1|B2|B3|B4|H1|H5	FIRST|LAST|MIDDLE|ONLY	HERBAL_LOCAL_Y_CHY_ALLOGRAPH	NONE	ANSETZEN · DIES	the CHY-shaped card is confined to Herbal but coexists with the Y-shaped card in H1 and H5; owner supplies the Herbal restriction.
DG02	CMD097	OL	FORTSETZEN	PROC013|PROC034|PROC115	cheol|chol|ol|qol|sol|tol || dchol|schol || ls	22	B1|B2|B3|B4|B5|B6|H1|H2|H3|H5	FIRST|MIDDLE	PARTIAL_SEMANTIC_SPLIT	PROC034	WIEDERAUFNEHMEN	dchol/schol is 2/2 statement-initial and becomes WIEDERAUFNEHMEN; ordinary OL and singleton LS remain FORTSETZEN.
DG03	CMD141	SH+EE+Y	HALTEN · LANG · DIES	PROC031|PROC157	cheey|shey || sheey	5	B2|B4|H3	LAST|MIDDLE	EE_GRADE_ALLOGRAPH	NONE	HALTEN · LANG · DIES	cheey/shey and sheey coexist in B4 and retain the same long-hold grade.
DG04	CMD121	OT+Y	DANACH · DIES	PROC036|PROC065	qotchy || otchey	3	B4|H3|H5	FIRST|MIDDLE	REGISTER_FRAME_ALLOGRAPH	NONE	DANACH · DIES	qotchy and otchey cross Herbal/Biological contexts without a stable semantic contrast.
DG05	CMD093	OK+OL	ANSETZEN · FORTSETZEN	PROC037|PROC160	okchol || qokol	2	B4|H3	FIRST|MIDDLE	REGISTER_VARIANT_SAME_COMMAND	NONE	ANSETZEN · FORTSETZEN	okchol is Herbal and qokol Biological, but both introduce or continue the same running operation.
DG06	CMD161	Y+K+AIN	DIES · ZUFUEHREN · PORTION	PROC039|PROC040	ykain || ykan	2	H4	MIDDLE	SEMANTIC_SPLIT_ADJACENT_PAIR	PROC040	DIES · ZUFUEHREN · NACHPORTION	ykain and ykan are adjacent in H4-S001; read AIN as PORTION and contracted AN as NACHPORTION rather than repeating one command.
DG07	CMD022	CHD+Y	UMSETZEN · DIES	PROC042|PROC133	chdy|chedy || chedchy	12	B1|B3|B4|B5|H4	FIRST|LAST|MIDDLE	Y_CHY_CARD_ALLOGRAPH	NONE	UMSETZEN · DIES	chedchy occurs in B3 beside the much commoner chdy/chedy family; no distinct operation follows from its context.
DG08	CMD025	CHK+EE+Y	WAERMEN · LANG · DIES	PROC046|PROC107	cheeky || chkeey	3	B2|B4|H4	MIDDLE	CORE_ORDER_ALLOGRAPH	NONE	WAERMEN · LANG · DIES	cheeky and chkeey both express the long warming command; the reordered core is a learned card spelling.
DG09	CMD021	CHD+DY	UMSETZEN; SCHLUSS	PROC076|PROC094	dchedy|schedy|tchedy || dchdy	5	B1|B2|B3	LAST|ONLY	PURE_CARD_ALLOGRAPH	NONE	UMSETZEN; SCHLUSS	dchdy is a compressed local spelling beside dchedy/schedy/tchedy; both occur terminally in B1.
DG10	CMD084	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	PROC082|PROC091	qokchdy || okchedy|qokchedy	5	B1|B3|B5	LAST|ONLY	PURE_CARD_ALLOGRAPH	NONE	ANSETZEN · UMSETZEN; SCHLUSS	qokchdy and okchedy/qokchedy overlap in B1 and B3 and occupy the same terminal operation slot.
DG11	CMD114	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	PROC145|PROC166	otchedy|qotchedy || otchdy	3	B3|B5	LAST|ONLY	LOCAL_FRAME_ALLOGRAPH	NONE	DANACH · UMSETZEN; SCHLUSS	otchedy/qotchedy and otchdy are section-local spellings of the same closed next-transfer command.
