event_id	case_id	phase	statement_id	page	record	surface	card_no	semantic_component_parse	command_id	standard_command_de	silent_owner_de	case_expansion_de	meaning_invariant_across_occurrences	old_semantic_component_parse	old_command_id	old_standard_command_de	resolution
E001	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	dchey	PROC001	CH+E+Y	CMD015	ABZIEHEN · KURZ · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten kurz abnehmen	YES	CH+E+Y	CMD015	ABZIEHEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
E002	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	cthoor	PROC002	CTH+O+OR	CMD029	BEREIT · GANG · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	YES	CTH+O+OR	CMD029	BEREIT · GANG · ANSATZ	UNCHANGED_UNIQUE_COMMAND
E003	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	char	PROC003	AR	CMD008	QUELLE	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	YES	AR	CMD008	QUELLE	UNCHANGED_UNIQUE_COMMAND
E004	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	chty	PROC004	T+Y	CMD156	EINTRAGEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	YES	T+Y	CMD156	EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
E005	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	os	PROC005	OS	CMD108	FACH	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	YES	OS	CMD108	FACH	UNCHANGED_UNIQUE_COMMAND
E006	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	chair	PROC006	CH+AIR	CMD011	ABZIEHEN · LAUF	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	YES	CH+AIR	CMD011	ABZIEHEN · LAUF	UNCHANGED_UNIQUE_COMMAND
E007	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	otytchol	PROC007	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter eintragen und abnehmen	YES	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
E008	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	oky	PROC008	OK+Y	CMD095	ANSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten einsetzen	YES	OK+Y	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
E009	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	daiin	PROC009	AIIN	CMD001	MASS	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	YES	AIIN	CMD001	MASS	UNCHANGED_UNIQUE_COMMAND
E010	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	etyd	PROC010	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	YES	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
E011	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	qokchy	PROC011	OK+Y	CMD095	ANSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten einsetzen	YES	OK+Y	CMD095	ANSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
E012	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	qotchol	PROC012	OT+CH+OL	CMD112	DANACH · ABZIEHEN · FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter bis bereit abnehmen	YES	OT+CH+OL	CMD112	DANACH · ABZIEHEN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
E013	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	chol	PROC013	OL	CMD097	FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter bis bereit abnehmen	YES	OL	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
E014	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	cthy	PROC014	CTH+Y	CMD030	BEREIT · DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter bis bereit abnehmen	YES	CTH+Y	CMD030	BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND
