chain_length	master_card_chain	surface_chain	short_value_chain_de	occurrence_count	same_field_occurrences	cross_field_occurrences	formula_status	formula_id	formula_name_de	formula_reading_de	contexts	promotion_rule_de
2	MC123+MC039	chy · taiin	dies + Sollmaß	4	3	1	RECURRENT_CHAIN_NOT_PROMOTED				H2-S001:E021-E022:F003/F003 | H3-S003:E050-E051:F008/F008 | B3-S003:E232-E233:F073/F073 | B3-S021:E273-E274:F092/F093	Subkette, Feldsprung oder keine zusätzliche Lehrersparnis
2	MC153+MC128	ol · shedy	weiter + kurz absetzen	4	4	0	TEACHABLE_RECIPE_FORMULA	F02	FORTSETZEN–ABSETZEN	Führe den laufenden Gang weiter und lass ihn kurz absetzen	B1-S004:E124-E125:F026/F026 | B1-S008:E135-E136:F030/F030 | B1-S016:E154-E155:F038/F038 | B4-S003:E324-E325:F112/F112	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC039+MC123	taiin · shy	Sollmaß + dies	3	3	0	RECURRENT_CHAIN_NOT_PROMOTED				H2-S001:E022-E023:F003/F003 | B2-S012:E207-E208:F059/F059 | B3-S003:E233-E234:F073/F073	Subkette, Feldsprung oder keine zusätzliche Lehrersparnis
2	MC080+MC123	chor · chy	Ansatz + dies	3	3	0	TEACHABLE_RECIPE_FORMULA	F03	ANSATZ–POSTEN	Verwende diesen laufenden Ansatz	H2-S003:E034-E035:F005/F005 | H4-S004:E071-E072:F013/F013 | B4-S014:E348-E349:F124/F124	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC002+MC026	qokeey · qoky	länger einwirken lassen + einsetzen	2	2	0	TEACHABLE_RECIPE_FORMULA	F04	LANG EINWIRKEN–EINSETZEN	Lass ihn länger einwirken und setze ihn danach ein	B2-S010:E194-E195:F056/F056 | B4-S003:E322-E323:F112/F112	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC002+MC083	qokeey · qokedy	länger einwirken lassen + kurz einwirken	2	2	0	TEACHABLE_RECIPE_FORMULA	F05	LANG–KURZ ABSCHLUSS	Lass ihn länger einwirken und schließe mit kurzem Einwirken	B3-S028:E293-E294:F101/F101 | B4-S002:E317-E318:F110/F110	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC026+MC039	oky · daiin	einsetzen + Sollmaß	2	2	0	TEACHABLE_RECIPE_FORMULA	F06	EINSETZEN–MASS	Setze den Posten nach dem vorgeschriebenen Maß ein	H1-S001:E008-E009:F001/F001 | B3-S030:E298-E299:F103/F103	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC039+MC153	aiin · sol	Sollmaß + weiter	2	1	1	RECURRENT_CHAIN_NOT_PROMOTED				B5-S003:E369-E370:F132/F133 | B6-S001:E377-E378:F135/F135	Subkette, Feldsprung oder keine zusätzliche Lehrersparnis
2	MC074+MC082	chedy · qokeedy	überführen + lange einwirken	2	2	0	TEACHABLE_RECIPE_FORMULA	F07	ÜBERFÜHREN–LANG EINWIRKEN	Führe ihn über und lass ihn dort lange einwirken	B3-S007:E244-E245:F077/F077 | B4-S005:E328-E329:F114/F114	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC074+MC153	chedy · ol	überführen + weiter	2	1	1	RECURRENT_CHAIN_NOT_PROMOTED				B1-S004:E123-E124:F026/F026 | B4-S011:E342-E343:F120/F121	Subkette, Feldsprung oder keine zusätzliche Lehrersparnis
2	MC097+MC154	olkain · al	weiterer Anteil + dorthin	2	2	0	TEACHABLE_RECIPE_FORMULA	F08	WEITERER ANTEIL–ZIEL	Nimm einen weiteren Anteil und führe ihn dorthin	B1-S002:E108-E109:F022/F022 | B4-S016:E358-E359:F127/F127	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC153+MC039	chol · daiin	weiter + Sollmaß	2	1	1	RECURRENT_CHAIN_NOT_PROMOTED				H2-S002:E029-E030:F004/F004 | B6-S001:E376-E377:F134/F135	Subkette, Feldsprung oder keine zusätzliche Lehrersparnis
2	MC154+MC153	al · ol	dorthin + weiter	2	2	0	TEACHABLE_RECIPE_FORMULA	F09	ZIEL–FORTSETZEN	Führe ihn dorthin und arbeite dort weiter	B1-S002:E109-E110:F022/F022 | B5-S003:E365-E366:F132/F132	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
2	MC157+MC153	cholor · chol	derselbe Ansatz + weiter	2	2	0	TEACHABLE_RECIPE_FORMULA	F10	GLEICHER ANSATZ–FORTSETZEN	Verwende denselben Ansatz weiter	H2-S002:E028-E029:F004/F004 | B1-S002:E113-E114:F023/F023	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
3	MC123+MC039+MC123	chy · taiin · shy	dies + Sollmaß + dies	2	2	0	TEACHABLE_RECIPE_FORMULA	F01	POSTEN–MASS–POSTEN	Bearbeite diesen Posten nach dem vorgeschriebenen Maß und halte ihn aktiv	H2-S001:E021-E023:F003/F003/F003 | B3-S003:E232-E234:F073/F073/F073	gleiche Reihenfolge, mindestens zwei Belege und dieselbe ausführbare Lesung
