formula_id	formula_name_de	master_card_chain	surface_chain	component_imperatives_de	formula_reading_de	occurrence_count	same_field_occurrences	statement_ids	teaching_rule_de
F01	POSTEN–MASS–POSTEN	MC123+MC039+MC123	chey · aiin · chey	Halte diesen Posten aktiv + Arbeite nach dem vorgeschriebenen Maß + Halte diesen Posten aktiv	Bearbeite diesen Posten nach dem vorgeschriebenen Maß und halte ihn aktiv	2	2	H2-S001|B3-S003	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F02	FORTSETZEN–ABSETZEN	MC153+MC128	cheol · cheedy	Arbeite weiter + Lass ihn kurz absetzen	Führe den laufenden Gang weiter und lass ihn kurz absetzen	4	4	B1-S004|B1-S008|B1-S016|B4-S003	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F03	ANSATZ–POSTEN	MC080+MC123	chor · chey	Verwende den Ansatz + Halte diesen Posten aktiv	Verwende diesen laufenden Ansatz	3	3	H2-S003|H4-S004|B4-S014	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F04	LANG EINWIRKEN–EINSETZEN	MC002+MC026	okeey · choky	Lass ihn länger einwirken + Setze den Posten ein	Lass ihn länger einwirken und setze ihn danach ein	2	2	B2-S010|B4-S003	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F05	LANG–KURZ ABSCHLUSS	MC002+MC083	okeey · qokedy	Lass ihn länger einwirken + Lass ihn kurz einwirken	Lass ihn länger einwirken und schließe mit kurzem Einwirken	2	2	B3-S028|B4-S002	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F06	EINSETZEN–MASS	MC026+MC039	choky · aiin	Setze den Posten ein + Arbeite nach dem vorgeschriebenen Maß	Setze den Posten nach dem vorgeschriebenen Maß ein	2	2	H1-S001|B3-S030	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F07	ÜBERFÜHREN–LANG EINWIRKEN	MC074+MC082	chdy · qokeedy	Führe den Posten über + Lass ihn lange einwirken	Führe ihn über und lass ihn dort lange einwirken	2	2	B3-S007|B4-S005	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F08	WEITERER ANTEIL–ZIEL	MC097+MC154	olkain · al	Nimm einen weiteren Anteil + Führe ihn dorthin	Nimm einen weiteren Anteil und führe ihn dorthin	2	2	B1-S002|B4-S016	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F09	ZIEL–FORTSETZEN	MC154+MC153	al · cheol	Führe ihn dorthin + Arbeite weiter	Führe ihn dorthin und arbeite dort weiter	2	2	B1-S002|B5-S003	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
F10	GLEICHER ANSATZ–FORTSETZEN	MC157+MC153	cholor · cheol	Verwende denselben Ansatz weiter + Arbeite weiter	Verwende denselben Ansatz weiter	2	2	H2-S002|B1-S002	als feste Reihenfolge lesen; Einzelkarten behalten außerhalb der Formel ihren Wert
