component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
AIIN	155	20	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AIN | OR | Y	WERT
AIIN+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OR+Y | Y+Y	WERT · POSTEN
AIN	63	15	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AIIN | OR | Y	ANTEIL
AIN+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ANTEIL · HIER
AIR	5	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AL | AR | L	BAHN
AIR+Y+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	BAHN · POSTEN · SCHLUSS
AL	75	18	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AIR | AR | L	ZIELORT
AL+AIIN	6	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	AL+OR | AL+Y | AR+AIIN | L+AIIN	ZIELORT · WERT
AL+AIIN+LOCAL_CHAR_I	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · WERT · VARIANTE
AL+AL	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+AL	ZIELORT · ZIELORT
AL+CHD	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+CHD	ZIELORT · BEARBEITEN
AL+CHD+DY	5	5	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+CHD+DY	ZIELORT · BEARBEITEN · SCHLUSS
AL+DY	4	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+DY	ZIELORT · SCHLUSS
AL+D_ADDR+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AL+D_ADDR+Y	ZIELORT · HIER · WERT
AL+D_ADDR+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AL+D_ADDR+AIIN	ZIELORT · HIER · POSTEN
AL+K+AIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+K+AIN	ZIELORT · GEBEN · ANTEIL
AL+LOCAL_CHAR_F+SH+E+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	ZIELORT · HIER · HALTEN · GRAD I · HIER
