collision_group_id	generic_workshop_phrase_de	recipe_count	component_recipes	intake_tiers	matcher_rule
PC001	Am Zielort hier.	4	A_ADDR+AL|D_ADDR+AL|D_ADDR+AL+O|O+D_ADDR+AL	T0_EXACT_OBSERVED|T4_NARROW_APPENDIX	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC002	Am Zielort.	2	AL|AL+O	T0_EXACT_OBSERVED	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC003	Anteil des Postens.	2	AIN+Y|Y+AIN	T0_EXACT_OBSERVED|T2_FUTURE_STRONG	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC004	Anteil hier.	2	AIN+D_ADDR|D_ADDR+AIN	T0_EXACT_OBSERVED|T4_NARROW_APPENDIX	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC005	Auf Grad III; schließe den Schritt.	2	EEE+DY|O+EEE+DY	T0_EXACT_OBSERVED	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC006	Auf der bezeichneten Stufe.	2	IIN|O+IIN	T0_EXACT_OBSERVED	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC007	Bearbeite am Zielort.	2	AL+CHD|CHD+AL	T0_EXACT_OBSERVED	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC008	Bearbeite den Posten über die Verbindung.	2	CHD+Y+L|L+CHD+Y	T0_EXACT_OBSERVED	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC009	Bearbeite entlang der Bahn.	2	AIR+CHD|CHD+AIR	T0_EXACT_OBSERVED|T4_NARROW_APPENDIX	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC010	Bearbeite vom Ausgang.	2	AR+CHD|CHD+AR	T0_EXACT_OBSERVED|T4_NARROW_APPENDIX	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC011	Bearbeite über die Verbindung.	2	CHD+L|L+CHD	T0_EXACT_OBSERVED|T2_FUTURE_STRONG	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
PC012	Danach und Weiter: Nimm.	2	CH+OT+OL|OT+CH+OL	T0_EXACT_OBSERVED	EXACT_COMPONENT_RECIPE_ONLY__NEVER_PHRASE
