event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	inherited_action_root	inherited_argument_root	catalog_tier	recipe_register_clause_variant_count	naive_first_event_id	naive_first_clause_matches_actual	context_key_id	context_key_clause_unique	actual_context_clause_de
G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	NONE	NONE	T0_EXACT_OBSERVED	1	G407-E0001	YES	CTX1007	YES	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.
G407-E0002	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	NONE	NONE	T0_EXACT_OBSERVED	1	G407-E0002	YES	CTX2377	YES	Ordne den laufenden Eintrag zu; zur Zielspalte.
G407-E0003	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	K	Y	T0_EXACT_OBSERVED	2	G407-E0003	YES	CTX0188	YES	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.
G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	NONE	NONE	T0_EXACT_OBSERVED	1	G407-E0004	YES	CTX0210	YES	Lege den Kennwert fest; an der bezeichneten Stelle.
G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	NONE	AIIN	T0_EXACT_OBSERVED	3	G407-E0005	YES	CTX2216	YES	Weiter halte den Kennwert [wie zuvor] fest.
G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	NONE	NONE	T0_EXACT_OBSERVED	1	G407-E0006	YES	CTX2227	YES	Halte die Eintragseinheit und den laufenden Eintrag fest.
G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NONE	Y	T0_EXACT_OBSERVED	1	G407-E0007	YES	CTX0562	YES	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.
G407-E0008	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	S	NONE	T0_EXACT_OBSERVED	6	G407-E0008	YES	CTX2334	YES	Im laufenden Gang wähle den laufenden Eintrag.
G407-E0009	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	NONE	NONE	T0_EXACT_OBSERVED	1	G407-E0009	YES	CTX0877	YES	Ordne die Eintragseinheit zu.
G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	NONE	NONE	T0_EXACT_OBSERVED	1	G407-E0010	YES	CTX2221	YES	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.
