component_recipe	original_tier	reversed_recipe	order_relation	reversed_intake_tier	original_phrase_de	reversed_phrase_de	exact_key_keeps_distinct
AIIN+AIN	T2_FUTURE_STRONG	AIN+AIIN	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Wert des Anteils.	NONE	YES
AIN+Y	T2_FUTURE_STRONG	Y+AIN	ORDER_CHANGED	T0_EXACT_OBSERVED	Anteil des Postens.	Anteil des Postens.	YES
AIR+AIIN	T2_FUTURE_STRONG	AIIN+AIR	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Entlang der Bahn: Wert.	NONE	YES
AIR+AIN	T3_SECOND_RING_AMBER	AIN+AIR	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Entlang der Bahn: Anteil.	NONE	YES
AIR+OL	T2_FUTURE_STRONG	OL+AIR	ORDER_CHANGED	T4_NARROW_APPENDIX	Weiter: Entlang der Bahn.	Weiter: Entlang der Bahn.	YES
AIR+Y	T2_FUTURE_STRONG	Y+AIR	ORDER_CHANGED	T2_FUTURE_STRONG	Entlang der Bahn: Posten.	Posten entlang der Bahn.	YES
AL+AIN	T1_FUTURE_HIGH	AIN+AL	ORDER_CHANGED	T4_NARROW_APPENDIX	Am Zielort: Anteil.	Anteil am Zielort.	YES
AR+AIN	T2_FUTURE_STRONG	AIN+AR	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Vom Ausgang: Anteil.	NONE	YES
AR+OR	T1_FUTURE_HIGH	OR+AR	ORDER_CHANGED	T4_NARROW_APPENDIX	Vom Ausgang: Einheit.	Einheit vom Ausgang.	YES
CARRIER_Q+O+Y	T2_FUTURE_STRONG	Y+O+CARRIER_Q	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Beginne mit der Ausführung des Postens.	NONE	YES
CH+AIN	T2_FUTURE_STRONG	AIN+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm den Anteil.	NONE	YES
CH+AR	T1_FUTURE_HIGH	AR+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm vom Ausgang.	NONE	YES
CH+E+O+AIR	T2_FUTURE_STRONG	AIR+O+E+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm entlang der Bahn auf Grad I als Ausführung.	NONE	YES
CH+K+L	T2_FUTURE_STRONG	L+K+CH	ORDER_CHANGED	T5_NO_LICENSED_RECIPE	Nimm; gib über die Verbindung.	NONE	YES
