scribe	record	event_position	event_id	statement_id	exact_card_id	source_surface	registered_variants	rendered_surface	surface_changed	component_recipe	decoded_meaning_de	registered_and_same_card
S1_BARE	H1	1	E001	H1-S001	PROC001	dchey	dchey	dchey	NO	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	YES
S1_BARE	H1	2	E002	H1-S001	PROC002	cthoor	cthoor	cthoor	NO	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	YES
S1_BARE	H1	3	E003	H1-S001	PROC003	char	char|dar|sar	dar	YES	AR	QUELLE	YES
S1_BARE	H1	4	E004	H1-S001	PROC004	chty	chety|chty	chty	NO	T+Y	BEARBEITEN · POSTEN	YES
S1_BARE	H1	5	E005	H1-S001	PROC005	os	os	os	NO	OS	DAZU	YES
S1_BARE	H1	6	E006	H1-S001	PROC006	chair	chair	chair	NO	CH+AIR	ENTNEHMEN · WASSER	YES
S1_BARE	H1	7	E007	H1-S001	PROC007	otytchol	otytchol	otytchol	NO	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	YES
S1_BARE	H1	8	E008	H1-S001	PROC008	oky	choky|oky|qoky	oky	NO	OK+Y	ANSETZEN · POSTEN	YES
S1_BARE	H1	9	E009	H1-S001	PROC009	daiin	aiin|chaiin|daiin|saiin|taiin	aiin	YES	AIIN	SOLLMASS	YES
S1_BARE	H1	10	E010	H1-S001	PROC010	etyd	etyd	etyd	NO	E+T+Y	KURZ · BEARBEITEN · POSTEN	YES
S1_BARE	H1	11	E011	H1-S002	PROC011	qokchy	chokchy|okchy|qokchy	okchy	YES	OK+Y	ANSETZEN · POSTEN	YES
S1_BARE	H1	12	E012	H1-S002	PROC012	qotchol	qotchol	qotchol	NO	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	YES
S1_BARE	H1	13	E013	H1-S002	PROC013	chol	cheol|chol|ol|qol|sol|tol	ol	YES	OL	WEITER	YES
S1_BARE	H1	14	E014	H1-S002	PROC014	cthy	checthy|cthy|shcthy	cthy	NO	CTH+Y	BEREITEN · POSTEN	YES
S2_CH	H1	1	E001	H1-S001	PROC001	dchey	dchey	dchey	NO	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	YES
S2_CH	H1	2	E002	H1-S001	PROC002	cthoor	cthoor	cthoor	NO	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	YES
S2_CH	H1	3	E003	H1-S001	PROC003	char	char|dar|sar	char	NO	AR	QUELLE	YES
S2_CH	H1	4	E004	H1-S001	PROC004	chty	chety|chty	chety	YES	T+Y	BEARBEITEN · POSTEN	YES
S2_CH	H1	5	E005	H1-S001	PROC005	os	os	os	NO	OS	DAZU	YES
S2_CH	H1	6	E006	H1-S001	PROC006	chair	chair	chair	NO	CH+AIR	ENTNEHMEN · WASSER	YES
S2_CH	H1	7	E007	H1-S001	PROC007	otytchol	otytchol	otytchol	NO	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	YES
S2_CH	H1	8	E008	H1-S001	PROC008	oky	choky|oky|qoky	choky	YES	OK+Y	ANSETZEN · POSTEN	YES
S2_CH	H1	9	E009	H1-S001	PROC009	daiin	aiin|chaiin|daiin|saiin|taiin	chaiin	YES	AIIN	SOLLMASS	YES
S2_CH	H1	10	E010	H1-S001	PROC010	etyd	etyd	etyd	NO	E+T+Y	KURZ · BEARBEITEN · POSTEN	YES
S2_CH	H1	11	E011	H1-S002	PROC011	qokchy	chokchy|okchy|qokchy	chokchy	YES	OK+Y	ANSETZEN · POSTEN	YES
S2_CH	H1	12	E012	H1-S002	PROC012	qotchol	qotchol	qotchol	NO	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	YES
S2_CH	H1	13	E013	H1-S002	PROC013	chol	cheol|chol|ol|qol|sol|tol	cheol	YES	OL	WEITER	YES
S2_CH	H1	14	E014	H1-S002	PROC014	cthy	checthy|cthy|shcthy	checthy	YES	CTH+Y	BEREITEN · POSTEN	YES
