model	edition	at	word	gloss
N	ZL3b	ZL3b|f53v.1|G001	tshor	Material [tshor]
N	ZL3b	ZL3b|f53v.1|G002	shey	feucht
N	ZL3b	ZL3b|f53v.1|G003	qodckhy	⟦qodckhy⟧
N	ZL3b	ZL3b|f53v.1|G004	e{ph}o	⟦e{ph}o⟧
N	ZL3b	ZL3b|f53v.1|G005	oltshey	⟦oltshey⟧
N	ZL3b	ZL3b|f53v.1|G006	daiin	Masse C·Uₚ
N	ZL3b	ZL3b|f53v.1|G007	qopchy	⟦qopchy⟧
N	ZL3b	ZL3b|f53v.2|G001	okeey	⟦okeey⟧
N	ZL3b	ZL3b|f53v.2|G002	daiin	Masse C·Uₚ
N	ZL3b	ZL3b|f53v.2|G003	sheekol	⟦sheekol⟧
N	ZL3b	ZL3b|f53v.2|G004	shom	⟦shom⟧
N	ZL3b	ZL3b|f53v.2|G005	shol	feucht
N	ZL3b	ZL3b|f53v.2|G006	cthy	Kraut
N	ZL3b	ZL3b|f53v.2|G007	dchom	⟦dchom⟧
N	ZL3b	ZL3b|f53v.2|G008	do	⟦do⟧
N	ZL3b	ZL3b|f53v.3|G001	ydaiin	⟦ydaiin⟧
N	ZL3b	ZL3b|f53v.3|G002	cph[o:a]m	⟦cph[o:a]m⟧
N	ZL3b	ZL3b|f53v.3|G003	chol	getrocknet
N	ZL3b	ZL3b|f53v.3|G004	dockhy	⟦dockhy⟧
N	ZL3b	ZL3b|f53v.3|G005	cthol	⟦cthol⟧
N	ZL3b	ZL3b|f53v.3|G006	dam	⟦dam⟧
N	ZL3b	ZL3b|f53v.3|G007	oty	⟦oty⟧
N	ZL3b	ZL3b|f53v.4|G001	qokol	⟦qokol⟧
N	ZL3b	ZL3b|f53v.4|G002	daiiin	⟦daiiin⟧
N	ZL3b	ZL3b|f53v.4|G003	qockhor	⟦qockhor⟧
N	ZL3b	ZL3b|f53v.4|G004	okchor	⟦okchor⟧
N	ZL3b	ZL3b|f53v.4|G005	daiio	⟦daiio⟧
N	ZL3b	ZL3b|f53v.4|G006	dain	Masse B·Uₚ
N	ZL3b	ZL3b|f53v.4|G007	d	⟦d⟧
N	ZL3b	ZL3b|f53v.5|G001	ysheey	⟦ysheey⟧
N	ZL3b	ZL3b|f53v.5|G002	ckhol	⟦ckhol⟧
N	ZL3b	ZL3b|f53v.5|G003	chckhey	⟦chckhey⟧
N	ZL3b	ZL3b|f53v.5|G004	daiin	Masse C·Uₚ
N	ZL3b	ZL3b|f53v.5|G005	ctheody	⟦ctheody⟧
N	ZL3b	ZL3b|f53v.5|G006	ydy	⟦ydy⟧
N	ZL3b	ZL3b|f53v.6|G001	ochoiky	⟦ochoiky⟧
N	ZL3b	ZL3b|f53v.6|G002	dshey	⟦dshey⟧
N	ZL3b	ZL3b|f53v.6|G003	chol	getrocknet
