model	edition	locus	at	patient	patient_at	status
N	ZL3b	f51v.4	ZL3b|f51v.4|G002			NO_ACTION_ASSERTED
N	ZL3b	f53v.10	ZL3b|f53v.10|G002			NO_ACTION_ASSERTED
N	ZL3b	f53v.9	ZL3b|f53v.9|G003			NO_ACTION_ASSERTED
N	ZL3b	f85r1.8	ZL3b|f85r1.8|G007			NO_ACTION_ASSERTED
N	IT2a	f51v.4	IT2a|f51v.4|G002			NO_ACTION_ASSERTED
N	IT2a	f53v.10	IT2a|f53v.10|G002			NO_ACTION_ASSERTED
N	IT2a	f53v.9	IT2a|f53v.9|G004			NO_ACTION_ASSERTED
N	IT2a	f85r1.8	IT2a|f85r1.8|G007			NO_ACTION_ASSERTED
N	RF1b	f51v.4	RF1b|f51v.4|G002			NO_ACTION_ASSERTED
N	RF1b	f53v.9	RF1b|f53v.9|G005			NO_ACTION_ASSERTED
N	RF1b	f85r1.8	RF1b|f85r1.8|G007			NO_ACTION_ASSERTED
N	ZL3b	f104r.35	ZL3b|f104r.35|G004			NO_ACTION_ASSERTED
N	ZL3b	f52r.6	ZL3b|f52r.6|G003			NO_ACTION_ASSERTED
N	ZL3b	f54v.9	ZL3b|f54v.9|G003			NO_ACTION_ASSERTED
N	IT2a	f104r.35	IT2a|f104r.35|G004			NO_ACTION_ASSERTED
N	IT2a	f52r.6	IT2a|f52r.6|G003			NO_ACTION_ASSERTED
N	IT2a	f54v.9	IT2a|f54v.9|G003			NO_ACTION_ASSERTED
N	RF1b	f104r.35	RF1b|f104r.35|G004			NO_ACTION_ASSERTED
N	RF1b	f52r.6	RF1b|f52r.6|G003			NO_ACTION_ASSERTED
N	RF1b	f54v.9	RF1b|f54v.9|G003			NO_ACTION_ASSERTED
L	ZL3b	f51v.4	ZL3b|f51v.4|G002	otaiin	ZL3b|f51v.4|G001	UNKNOWN_PATIENT
L	ZL3b	f53v.10	ZL3b|f53v.10|G002	ychocthy	ZL3b|f53v.10|G001	UNKNOWN_PATIENT
L	ZL3b	f53v.9	ZL3b|f53v.9|G003	shody	ZL3b|f53v.9|G002	ASSUMED_MATERIAL
L	ZL3b	f85r1.8	ZL3b|f85r1.8|G007	otchy	ZL3b|f85r1.8|G006	ASSUMED_MATERIAL
L	IT2a	f51v.4	IT2a|f51v.4|G002	otaiin	IT2a|f51v.4|G001	UNKNOWN_PATIENT
L	IT2a	f53v.10	IT2a|f53v.10|G002	ychocthy	IT2a|f53v.10|G001	UNKNOWN_PATIENT
L	IT2a	f53v.9	IT2a|f53v.9|G004	shody	IT2a|f53v.9|G003	ASSUMED_MATERIAL
L	IT2a	f85r1.8	IT2a|f85r1.8|G007	otchy	IT2a|f85r1.8|G006	ASSUMED_MATERIAL
L	RF1b	f51v.4	RF1b|f51v.4|G002	otaiin	RF1b|f51v.4|G001	UNKNOWN_PATIENT
L	RF1b	f53v.9	RF1b|f53v.9|G005	sho@152;y	RF1b|f53v.9|G004	UNKNOWN_PATIENT
L	RF1b	f85r1.8	RF1b|f85r1.8|G007	otchy	RF1b|f85r1.8|G006	ASSUMED_MATERIAL
L	ZL3b	f104r.35	ZL3b|f104r.35|G004	chedaiin	ZL3b|f104r.35|G003	UNKNOWN_PATIENT
L	ZL3b	f52r.6	ZL3b|f52r.6|G003	shedaiin	ZL3b|f52r.6|G002	UNKNOWN_PATIENT
L	ZL3b	f54v.9	ZL3b|f54v.9|G003	qockhey	ZL3b|f54v.9|G002	UNKNOWN_PATIENT
L	IT2a	f104r.35	IT2a|f104r.35|G004	chedaiin	IT2a|f104r.35|G003	UNKNOWN_PATIENT
L	IT2a	f52r.6	IT2a|f52r.6|G003	shedaiin	IT2a|f52r.6|G002	UNKNOWN_PATIENT
L	IT2a	f54v.9	IT2a|f54v.9|G003	qockhey	IT2a|f54v.9|G002	UNKNOWN_PATIENT
L	RF1b	f104r.35	RF1b|f104r.35|G004	chedaiin	RF1b|f104r.35|G003	UNKNOWN_PATIENT
L	RF1b	f52r.6	RF1b|f52r.6|G003	shedaiin	RF1b|f52r.6|G002	UNKNOWN_PATIENT
L	RF1b	f54v.9	RF1b|f54v.9|G003	qockhey	RF1b|f54v.9|G002	UNKNOWN_PATIENT
R	ZL3b	f51v.4	ZL3b|f51v.4|G002	yt[o:a]l	ZL3b|f51v.4|G003	UNKNOWN_PATIENT
